ETF,Variables,omega,alpha1,beta1,vxreg1,vxreg2,shape,AIC
CORN,Coef,8.746654619020173e-4,0.2996534040427477,0.258202184945495,0.016629552523734097,1.266604893652654e-9,20.308807951569513,-0.222601270827597
,COEF_SE,0.00225940256774482,0.039695098821249004,0.0717409522678263,0.0023823103256913935,0.0120099076835738,6.780763699712837,
SOYB,Coef,0.0038133934057666906,0.44628547607757346,0.4513301708784656,0.01286249437759751,4.973375384740744e-12,4.831050184892252,0.318564003545081
,COEF_SE,0.0028289441075310213,0.05917525716908153,0.05225837898712841,0.003057617440755761,0.013816471616981525,0.47356514496746965,
WEAT,Coef,0.0011978851872869877,0.12684636941210667,0.8517488694778896,0.0017329371297970728,5.063335330665071e-7,8.761533666318325,0.91617218368744
,COEF_SE,0.0021910324121577314,0.029535858682983855,0.033591788894031895,0.0014565710755669193,0.0055775049173800925,1.4939783284435955,
USO,Coef,2.4039005224937235e-7,0.41358331165343387,0.19095551441640302,0.045992582692101824,6.574494183700142e-15,8.054767502502692,1.12016572559561
,COEF_SE,1.1572427525716277e-4,0.05431956049831697,0.05468627337990582,0.0055510093797783225,0.014762548856071759,1.4697540070827786,
UGA,Coef,5.077055206220034e-10,0.48056868728943225,0.1768600042231954,0.04397017788772389,4.572094829701792e-9,8.941590790830016,1.06148899194353
,COEF_SE,1.1917323557828701e-4,0.05168590526437181,0.04914425056628087,0.004970887562652126,0.031442138468878965,1.432727380432463,
