ETF,Variables,omega,alpha1,beta1,vxreg1,vxreg2,shape,AIC
CORN,Coef,1.3493135297942398e-9,0.06582717048569017,0.9243842016342038,1.4087302660049227e-5,1.081334587352662e-8,10.182874783775333,-3.49570950710362
,COEF_SE,3.863675634964952e-6,0.007518699330080989,0.01073156715062669,2.464984499528259e-6,4.412075614805239e-5,1.7684616895134864,
SOYB,Coef,5.537359522722097e-11,0.03628509300928003,0.939372509722894,3.5325415680827106e-5,1.4483706989680644e-8,4.430840519269265,-3.3961922822707
,COEF_SE,6.921453597967082e-6,0.01813996951551322,0.023712757072397984,1.3492277930298666e-5,1.3595574471991144e-4,0.38500460233269623,
WEAT,Coef,1.6349784001902098e-12,0.07487028592261134,0.9188303044306066,2.8742160383585693e-6,1.4711522377315915e-7,7.566715672809127,-4.14261865384893
,COEF_SE,1.967709151698145e-6,0.003119877464041965,0.005968603340215052,4.193861235025453e-8,1.1351490957261702e-5,0.9869308421042333,
USO,Coef,2.0531203220292875e-5,0.10698495646718936,0.8986413446303695,5.120629084922411e-7,6.845796075649984e-15,4.526393629428466,-3.19325298086284
,COEF_SE,1.0470378978601557e-5,0.019481476637094517,0.01672897443643279,1.4482381531358503e-6,2.4791464166263717e-5,0.504023643581559,
UGA,Coef,0.0014233794952898144,0.11160595738444838,0.26076624775444057,0.004147093363687852,7.580967345412357e-17,5.435580105187122,-1.51117968702118
,COEF_SE,9.902761176593792e-4,0.03995507138544504,0.1286774851397371,9.432215354474426e-4,0.0032226257916404036,0.6884028320115965,
