"","Date","TDa","Volatility","Volume","Roll"
"2",2013-07-16,-0.286087906130056,0.88047,403738,0
"3",2013-07-17,0.229389722928076,0.95238,411396,0
"4",2013-07-18,0.0565205747819169,1.38237,604849,0
"5",2013-07-19,0.232793171939166,1.58648,755453,0
"6",2013-07-22,-0.516204975088128,1.37157,802068,0
"7",2013-07-23,0.178537218354202,1.23392,577058,0
"8",2013-07-24,-0.0954981799347006,2.03209,899236,0
"9",2013-07-25,0.386807066849456,1.67642,650254,0
"10",2013-07-26,-0.235906389539529,1.20935,400043,0
"11",2013-07-29,-0.0666181843570428,1.02343,340094,0
"12",2013-07-30,0.171166807268881,1.11808,656291,0
"13",2013-07-31,-0.0083352760773352,2.19486,783179,0
"14",2013-08-01,-0.278129077969048,0.91455,1106474,0
"15",2013-08-02,0.0203814763693271,0.73801,550863,0
"16",2013-08-05,0.0713045024442849,1.11023,341017,0
"17",2013-08-06,0.208507177753386,1.44154,761324,0
"18",2013-08-07,-0.336033434470766,1.35099,741450,1
"19",2013-08-08,0.512959062556536,1.38436,1357261,1
"20",2013-08-09,-0.246590938949777,1.62277,906521,1
"21",2013-08-12,0.116380404965622,1.37712,538523,1
"22",2013-08-13,-0.458948192042114,1.31926,558796,0
"23",2013-08-14,0.351653491200202,1.29955,637520,0
"24",2013-08-15,-0.194879058339611,1.09833,569968,0
"25",2013-08-16,0.325912658246178,1.45573,667602,0
"26",2013-08-19,-0.193823547216085,0.96935,425155,0
"27",2013-08-20,-0.0645729150430785,2.1855,845895,0
"28",2013-08-21,0.270193879073126,1.42588,685761,0
"29",2013-08-22,-0.137682065025824,1.35855,563977,0
"30",2013-08-23,-0.226962147670279,2.45059,742907,0
"31",2013-08-26,0.502365245462611,0.79031,712570,0
"32",2013-08-27,-0.504965254957542,0.84898,1811795,0
"33",2013-08-28,-0.454561642549056,1.17707,1616705,0
"34",2013-08-29,-0.0983540523018267,2.17729,1017724,0
"35",2013-08-30,0.80678890554282,1.6632,1295702,0
"36",2013-09-03,-0.09375884579222,1.67183,990047,0
"37",2013-09-04,0.126355259912363,1.06938,536654,0
"38",2013-09-05,-0.147261048611043,1.21478,551911,0
"39",2013-09-06,-0.255259979240615,1.29573,1304135,0
"40",2013-09-09,-0.136141166113145,1.33539,989159,1
"41",2013-09-10,0.340612574463492,1.06952,1337609,1
"42",2013-09-11,0.23574016478978,0.96154,693301,1
"43",2013-09-12,-0.0368394308460676,1.15785,612214,0
"44",2013-09-13,0.158203211827844,1.33848,404274,0
"45",2013-09-16,-0.654783309054354,1.07583,773058,0
"46",2013-09-17,0.324914438884799,1.05988,845203,0
"47",2013-09-18,0.141748954007787,2.55946,993770,0
"48",2013-09-19,-0.229283020505915,1.52311,861456,0
"49",2013-09-20,0.238401376096062,1.40323,703801,0
"50",2013-09-23,-0.214055632181402,0.80494,738907,0
"51",2013-09-24,0.312764522934427,1.20903,729714,0
"52",2013-09-25,-0.459150506108618,1.43709,614199,0
"53",2013-09-26,0.182793180044079,0.75512,367836,0
"54",2013-09-27,-0.167148103051686,1.27165,522749,0
"55",2013-09-30,0.233653944474535,1.6825,666072,0
"56",2013-10-01,-0.176909170934489,1.03599,792381,0
"57",2013-10-02,-0.000169510407504347,2.56547,1378299,0
"58",2013-10-03,0.0123412682932125,1.42703,605307,0
"59",2013-10-04,-0.0531853125225643,0.85768,346532,0
"60",2013-10-07,0.33166255741606,1.77706,575824,0
"61",2013-10-08,0.0127894256178098,0.72367,431417,0
"62",2013-10-09,-0.220535305181214,1.39535,1374858,1
"63",2013-10-10,0.0978315824128413,2.04852,852290,1
"64",2013-10-11,-0.0955217075004721,1.14286,768351,1
"65",2013-10-14,-0.0784337189798482,1.27204,333170,0
"66",2013-10-15,-0.0394910864390783,1.15163,684405,0
"67",2013-10-16,0.16848801148463,1.62514,612823,0
"68",2013-10-17,0.121513709364825,1.20946,1219614,0
"69",2013-10-18,-0.0437990059032586,0.68587,519646,0
"70",2013-10-21,0.019794799141658,1.28269,615274,0
"71",2013-10-22,-0.0900413365425132,2.14629,1277056,0
"72",2013-10-23,0.169954389272297,1.30186,1559734,0
"73",2013-10-24,-0.141397035407122,1.31466,697889,0
"74",2013-10-25,0.181390595200599,0.96263,479114,0
"75",2013-10-28,-0.191091727775895,1.15331,537382,0
"76",2013-10-29,0.0945434773189266,0.56481,291636,0
"77",2013-10-30,-0.125355298927868,0.91822,741159,0
"78",2013-10-31,-0.0549429083481249,1.03776,637587,0
"79",2013-11-01,0.224458266102705,1.25993,1221920,0
"80",2013-11-04,-0.26730358172486,0.76381,571652,0
"81",2013-11-05,0.238603325849041,1.30235,820731,0
"82",2013-11-06,0.0114506860398287,1.49171,1249428,0
"83",2013-11-07,-0.00732052147073259,0.73624,594309,1
"84",2013-11-08,-0.30738288321159,0.99971,465295,1
"85",2013-11-11,0.18705238478151,1.07998,316694,1
"86",2013-11-12,0.240720756595444,2.37842,942448,0
"87",2013-11-13,-0.260721836081664,1.08171,495698,0
"88",2013-11-14,0.174975998344333,1.97465,791041,0
"89",2013-11-15,-0.230630155393642,0.61983,495562,0
"90",2013-11-18,0.0949968629819152,1.63593,666623,0
"91",2013-11-19,0.075230072125076,0.91934,496091,0
"92",2013-11-20,-0.223106251328548,1.18941,645997,0
"93",2013-11-21,-0.085574786717495,1.49254,686328,0
"94",2013-11-22,0.25106570390797,1.26322,717496,0
"95",2013-11-25,0.150041547882577,0.97575,653320,0
"96",2013-11-26,0.0530334677914352,0.83111,407883,0
"97",2013-11-27,-0.00967432418548775,0.85869,980922,0
"98",2013-11-29,0.360363614806771,1.13568,483756,0
"99",2013-12-02,-0.521021443446208,1.0095,537280,0
"100",2013-12-03,0.0975790122107933,2.11562,1752078,0
"101",2013-12-04,-0.132449994951375,1.29014,1193995,0
"102",2013-12-05,-0.0398886529617348,0.77326,612059,0
