"","Estimate","Std..Error","t.value","Pr...t..","c(summary(TD_corn)$r.squared, NA, summary(TD_soyb)$r.squared, "
"(Intercept)",-0.0152221762552184,0.00547530413152702,-2.78015173030635,0.00548351745038092,0.959189852516665
"CORN$per_asset_return",0.981353749301844,0.00449493488762881,218.324352595802,0,NA
"(Intercept)1",-0.0168358091623491,0.0113189476563088,-1.48740056704524,0.137060910933579,0.797401740702568
"SOYB$per_asset_return",0.99099099485653,0.0109631485447008,90.3929186780507,0,NA
"(Intercept)2",-0.0173758019427945,0.0114147801312881,-1.52221959099914,0.128109281100527,0.88143208840209
"WEAT$per_asset_return",0.988348899761584,0.0080316342939682,123.057009767469,0,NA
"(Intercept)3",-0.00359842362636757,0.0145955685105378,-0.246542203804501,0.805300555545497,0.931013612980474
"USO$per_asset_return",0.904749962006879,0.00675061329653727,134.024854078217,0,NA
"(Intercept)4",-0.0037796588997501,0.0129069637686071,-0.292838731673141,0.769675058898651,0.93325815068262
"UGA$per_asset_return",0.894850642873446,0.00528532680751931,169.308479014082,0,NA
