Value,CORN,SOYB,WEAT,USO,UGA
Min,11.67,13.34,4.86,8.24,8.9
Median,21.24,18.972,8.94,12.78,32.52
Mean,24.815904972919743,19.657910052910054,11.034433823529412,17.63239580209895,38.48408621529469
Max,52.67,28.85,25.3,39.36,65.709
STD DEV,10.189367107797612,3.470096210121204,5.777171621699919,9.834252394935987,14.152348016942657
N,2031,2079,2040,1334,2053
Min,11.6991,13.3846,4.8853,8.1428,8.5214
Median,21.2488,18.9828,8.9353,12.79655,32.5224
Mean,24.82261260462826,19.66488181818182,11.029068529411765,17.636503673163418,38.48693700925475
Max,52.6786,28.7703,25.1685,39.4811,65.4449
STD DEV,10.190406214825847,3.477945382046271,5.773740241871637,9.838730020977323,14.163482021749223
N,2031,2079,2040,1334,2053
Min,320.47499999999997,834.2624999999999,421.87499999999994,28.35,0.4947
Median,394.29999999999995,990.175,535.7125,56.43,1.836
Mean,437.9900049236829,1057.9641233766233,574.5507843137254,62.87008245877062,2.0185846566000976
Max,774.225,1632.4624999999999,916.025,110.53,3.3987
STD DEV,99.27591275921291,179.38992629269262,112.0865529437539,20.325367128429033,0.6432530245857647
N,2031,2079,2040,1334,2053
