Value,CORN,SOYB,WEAT,USO,UGA
Min,-7.2604922077859015,-7.548194398562738,-6.531156309602329,-8.681589267662337,-25.291187271006322
Median,-0.05425717496205672,0,-0.14074597678798284,0,-0.017890687944670802
Mean,-0.05973308104876361,-0.02059211760935943,-0.06563680616058584,-0.07425499638257355,-0.04621812612559831
Max,6.339195116674926,9.219821504680297,7.719604798203823,11.467019267589318,17.95086154173399
STD DEV,1.2318323625428176,1.1458953219603787,1.5078503936767875,2.0213260872285512,2.24995322856336
N,2157,2151,2151,1648,2157
Min,-6.1899787446512855,-5.769654088265394,-5.957557878730534,-10.800863611322036,-26.517538734279388
Median,-0.05114016826819219,-0.0038795471644303245,-0.11762921596139733,0.017704702155832613,0.018434345629076417
Mean,-0.059686075848896916,-0.020689230145991833,-0.06596835699806745,-0.07496911689545271,-0.0462743522404445
Max,6.591835043467915,4.541958485350177,6.817553740085444,13.43114283102528,19.295583426988852
STD DEV,1.2292650119354618,1.029734842751098,1.4367507538319861,2.15826533647192,2.429587953643316
N,2157,2151,2151,1648,2157
