Date,Close,Open,Low,High
22-Jul-2021,95.506,94.327,94.17,95.544
21-Jul-2021,94.7,93.304,93.007,94.764
20-Jul-2021,93.312,92.451,92.346,93.393
19-Jul-2021,92.09,94.296,91.88,94.583
16-Jul-2021,94.431,94.177,93.908,94.743
15-Jul-2021,94.129,94.098,93.839,94.483
14-Jul-2021,94.409,94.321,94.094,95.162
13-Jul-2021,94.48,94.186,93.632,94.718
12-Jul-2021,93.966,93.345,92.745,94.003
09-Jul-2021,93.497,92.607,92.501,93.625
08-Jul-2021,92.576,92.216,91.814,92.833
07-Jul-2021,92.475,93.126,91.693,94.074
06-Jul-2021,92.797,95.897,92.621,96.137
02-Jul-2021,94.975,94.818,94.492,95.223
01-Jul-2021,94.689,94.649,94.577,96.171
30-Jun-2021,94.541,93.479,92.75,94.767
29-Jun-2021,93.199,92.891,92.455,93.916
28-Jun-2021,93.067,92.438,92.342,93.212
25-Jun-2021,92.437,92.509,91.866,92.862
24-Jun-2021,92.356,91.866,91.386,92.412
23-Jun-2021,92.251,91.775,91.733,92.86
22-Jun-2021,91.525,91.614,91.259,91.951
21-Jun-2021,91.56,90.822,90.147,91.59
18-Jun-2021,90.933,90.352,89.944,91.287
17-Jun-2021,90.102,92.522,89.923,92.796
16-Jun-2021,93.414,93.757,93.18,93.978
15-Jun-2021,93.542,93.968,93.246,94.084
14-Jun-2021,94.314,94.396,93.743,94.586
11-Jun-2021,94.99,95.249,94.563,95.557
10-Jun-2021,95.028,94.515,94.351,95.34
09-Jun-2021,94.803,94.788,94.415,95.05
08-Jun-2021,94.774,94.183,94.059,95.048
07-Jun-2021,94.159,94.918,94.122,94.981
04-Jun-2021,94.685,93.11,93.103,94.798
03-Jun-2021,93.263,94.93,93.064,94.995
02-Jun-2021,94.446,94.124,93.994,94.668
01-Jun-2021,94.139,93.763,93.735,95.105
28-May-2021,92.825,92.964,92.627,93.222
27-May-2021,92.803,91.428,91.33,92.824
26-May-2021,91.604,91.534,90.834,91.868
25-May-2021,91.39,91.715,91.131,91.959
24-May-2021,91.582,90.756,90.557,91.598
21-May-2021,90.895,90.584,90.41,91.27
20-May-2021,90.889,91.478,90.856,91.886
19-May-2021,91.441,92.772,90.782,92.772
18-May-2021,93.152,93.76,92.676,94.081
17-May-2021,93.25,92.249,92.136,93.388
14-May-2021,91.982,91.834,91.476,92.646
13-May-2021,91.701,93.524,91.496,93.536
12-May-2021,93.877,94.081,93.833,94.593
11-May-2021,93.865,92.844,92.8,94.001
10-May-2021,93.155,94.176,92.83,94.19
07-May-2021,93.735,93.226,92.967,93.866
06-May-2021,92.871,92.436,92.317,92.955
05-May-2021,92.225,92.04,91.738,92.35
04-May-2021,91.653,91.113,90.965,92.109
03-May-2021,90.965,90.881,90.511,91.375
30-Apr-2021,90.361,90.127,89.604,90.397
29-Apr-2021,90.167,90.572,89.757,90.959
28-Apr-2021,90.189,89.371,89.238,90.837
27-Apr-2021,90.077,89.654,89.595,90.541
26-Apr-2021,89.524,88.788,88.333,89.588
23-Apr-2021,88.403,88.187,87.83,88.41
22-Apr-2021,87.971,87.245,87.125,88.175
21-Apr-2021,87.267,86.971,86.482,87.481
20-Apr-2021,86.978,87.017,86.688,87.628
19-Apr-2021,86.785,86.496,86.496,87.056
16-Apr-2021,86.527,86.529,86.465,87.004
15-Apr-2021,86.561,85.787,85.767,86.59
14-Apr-2021,85.88,84.473,84.424,85.976
13-Apr-2021,84.317,83.57,83.507,84.593
12-Apr-2021,83.582,83.971,83.486,84.34
09-Apr-2021,84.028,84.379,83.971,84.459
08-Apr-2021,84.397,83.586,83.519,84.496
07-Apr-2021,83.765,83.559,83.271,83.837
06-Apr-2021,83.605,83.451,83.268,84.338
05-Apr-2021,83.009,83.972,82.709,83.991
01-Apr-2021,83.834,83.63,83.256,84.216
31-Mar-2021,83.445,82.737,82.514,83.959
30-Mar-2021,82.753,83.883,82.621,83.983
29-Mar-2021,83.933,84.027,83.169,84.137
26-Mar-2021,84.132,83.312,83.171,84.318
25-Mar-2021,82.993,83.797,82.619,83.924
24-Mar-2021,84.345,82.968,82.894,84.398
23-Mar-2021,83.18,84.483,83.135,84.483
22-Mar-2021,84.669,84.236,83.875,84.712
19-Mar-2021,84.52,83.678,83.185,84.615
18-Mar-2021,83.66,85.842,83.564,85.852
17-Mar-2021,85.692,85.905,85.367,86.156
16-Mar-2021,85.959,85.807,85.41,85.976
15-Mar-2021,85.963,86.274,85.503,86.322
12-Mar-2021,85.958,86.068,85.562,86.234
11-Mar-2021,86.275,85.594,85.581,86.287
10-Mar-2021,85.342,85.015,84.741,85.45
09-Mar-2021,85.421,85.43,84.857,85.806
08-Mar-2021,85.369,86.836,85.134,86.851
05-Mar-2021,85.859,84.866,84.829,85.978
04-Mar-2021,84.782,84.798,83.847,85.746
03-Mar-2021,84.871,85.19,84.599,85.538
02-Mar-2021,85.254,83.963,83.841,85.606
01-Mar-2021,84.782,86.117,84.572,86.297
26-Feb-2021,85.278,86.656,85.234,86.718
25-Feb-2021,87.118,87.824,86.807,88.123
24-Feb-2021,87.583,86.57,86.256,87.646
23-Feb-2021,86.619,87.386,85.954,87.445
22-Feb-2021,86.7,85.79,85.236,86.742
19-Feb-2021,85.3,84.479,84.468,86.028
18-Feb-2021,85.24,85.726,84.987,85.766
17-Feb-2021,85.2,85,84.58,85.41
16-Feb-2021,85.05,85.131,84.463,85.199
12-Feb-2021,84.062,83.261,82.998,84.265
11-Feb-2021,83.475,83.298,83.252,84.034
10-Feb-2021,83.531,83.607,83.285,83.971
09-Feb-2021,83.774,84.008,83.271,84.051
08-Feb-2021,83.542,82.822,82.755,83.628
05-Feb-2021,82.471,82.236,82.217,82.997
04-Feb-2021,81.978,81.893,81.182,81.999
03-Feb-2021,81.809,81.321,81.157,81.964
02-Feb-2021,81.265,81.749,81.201,82.055
01-Feb-2021,81.596,81.071,80.825,81.644
29-Jan-2021,80.098,80.168,79.924,81.012
28-Jan-2021,79.992,80.138,79.706,81.274
27-Jan-2021,80.452,80.543,79.765,80.902
26-Jan-2021,80.48,79.893,79.637,80.625
25-Jan-2021,79.977,79.152,79.079,79.989
22-Jan-2021,79.113,79.557,78.82,79.782
21-Jan-2021,80.29,80.489,80.116,80.629
20-Jan-2021,80.302,80.108,79.507,80.353
19-Jan-2021,80.05,80.221,79.976,80.629
15-Jan-2021,80.458,81.25,80.168,81.296
14-Jan-2021,81.216,80.451,80.273,81.332
13-Jan-2021,80.614,81.165,80.531,81.345
12-Jan-2021,80.626,79.602,79.573,80.873
11-Jan-2021,79.489,79.479,78.783,79.536
08-Jan-2021,79.659,80.3,79.445,80.5
07-Jan-2021,80.313,80.465,79.955,80.813
06-Jan-2021,80.275,80.404,80.094,81.108
05-Jan-2021,80.333,78.908,78.768,80.536
04-Jan-2021,78.638,79.286,78.291,79.822
31-Dec-2020,78.054,77.688,77.549,78.062
30-Dec-2020,77.592,77.136,76.981,77.621
29-Dec-2020,77.109,76.488,76.233,77.199
28-Dec-2020,76.505,76.996,76.327,77.05
24-Dec-2020,77.027,77.164,76.973,77.275
23-Dec-2020,77.03,76.179,76.166,77.317
22-Dec-2020,76.553,77.194,76.177,77.194
21-Dec-2020,76.965,77.079,75.854,77.455
18-Dec-2020,77.321,77.03,76.95,77.362
17-Dec-2020,76.859,76.467,76.417,76.995
16-Dec-2020,76.021,75.844,75.672,76.16
15-Dec-2020,75.708,75.121,75.068,75.716
14-Dec-2020,75.186,75.365,74.842,75.458
11-Dec-2020,74.868,74.908,74.457,75.036
10-Dec-2020,74.888,74.041,73.878,75.444
09-Dec-2020,73.948,73.855,73.734,74.25
08-Dec-2020,73.675,73.892,73.63,74.029
07-Dec-2020,73.942,73.775,73.171,74.323
04-Dec-2020,74.3,74.345,74.048,74.514
03-Dec-2020,74.067,74.46,73.793,74.606
02-Dec-2020,74.499,74.273,74.005,74.915
01-Dec-2020,74.552,74.727,74.392,75.11
30-Nov-2020,74.361,74.874,74.274,75.011
27-Nov-2020,74.815,74.851,74.563,75.098
25-Nov-2020,74.805,75.014,74.512,75.03
24-Nov-2020,74.733,74.092,73.879,74.747
23-Nov-2020,74.158,74.41,73.926,74.738
20-Nov-2020,74.135,73.773,73.757,74.307
19-Nov-2020,73.535,74.071,73.223,74.081
18-Nov-2020,74.189,73.74,73.727,74.612
17-Nov-2020,73.887,73.906,73.617,74.108
16-Nov-2020,73.772,73.863,73.563,74.07
13-Nov-2020,73.727,73.319,73.296,74.212
12-Nov-2020,73.72,74.075,73.662,74.238
11-Nov-2020,74.002,74.313,73.772,74.531
10-Nov-2020,73.964,72.887,72.81,74.071
09-Nov-2020,72.748,73.269,72.689,73.778
06-Nov-2020,72.822,73.101,72.699,73.491
05-Nov-2020,73.192,72.835,72.737,73.961
04-Nov-2020,72.692,71.947,71.432,72.732
03-Nov-2020,72.259,72.207,72.067,72.746
02-Nov-2020,72.125,71.529,71.214,72.153
30-Oct-2020,71.844,71.928,71.375,72.034
29-Oct-2020,71.614,72.267,70.747,72.431
28-Oct-2020,72.137,73.274,72.021,73.469
27-Oct-2020,73.584,73.257,73.152,73.751
26-Oct-2020,73.229,73.318,72.962,73.424
23-Oct-2020,73.566,73.76,73.402,73.988
22-Oct-2020,73.838,73.797,73.686,74.234
21-Oct-2020,74.127,74.114,74.045,74.543
20-Oct-2020,73.93,73.32,73.284,74.033
19-Oct-2020,73.569,73.465,73.333,73.93
16-Oct-2020,73.384,73.468,73.267,73.792
15-Oct-2020,73.436,73.073,72.401,73.455
14-Oct-2020,72.996,72.396,72.274,73.082
13-Oct-2020,72.57,72.641,72.332,72.99
12-Oct-2020,72.778,73.651,72.727,73.818
09-Oct-2020,73.251,72.634,72.582,73.502
08-Oct-2020,72.157,71.873,71.757,72.499
07-Oct-2020,71.801,70.86,70.86,72.035
06-Oct-2020,71.396,71.123,71.071,72.03
05-Oct-2020,71.045,70.198,69.981,71.424
02-Oct-2020,69.803,69.711,69.218,70.302
01-Oct-2020,70.248,71.071,69.804,71.301
30-Sep-2020,70.852,69.945,69.501,71.102
29-Sep-2020,70.269,70.885,69.861,70.961
28-Sep-2020,70.989,70.774,70.375,71.021
25-Sep-2020,70.687,70.738,70.385,71.161
24-Sep-2020,70.866,70.341,69.977,70.959
23-Sep-2020,70.767,70.818,70.079,71.116
22-Sep-2020,70.997,71.311,70.775,71.618
21-Sep-2020,71.158,72.81,70.557,72.962
18-Sep-2020,72.967,72.657,72.361,72.995
17-Sep-2020,72.387,71.902,71.41,72.456
16-Sep-2020,72.298,71.903,71.814,72.346
15-Sep-2020,71.796,71.812,71.486,72.086
14-Sep-2020,71.745,71.991,71.665,72.074
11-Sep-2020,71.556,71.283,71.184,71.789
10-Sep-2020,71.489,71.688,71.301,72.007
09-Sep-2020,71.704,71.105,70.92,71.828
08-Sep-2020,71.396,72.292,70.79,72.519
04-Sep-2020,72.391,72.313,71.829,72.798
03-Sep-2020,72.297,73.067,71.908,73.075
02-Sep-2020,72.834,73.406,72.666,73.578
01-Sep-2020,73.502,73.498,73.412,73.969
31-Aug-2020,73.315,73.462,73.067,73.644
28-Aug-2020,73.135,72.756,72.756,73.305
27-Aug-2020,72.616,72.207,72.073,72.936
26-Aug-2020,72.297,72.168,71.948,72.522
25-Aug-2020,72.017,71.919,71.658,72.12
24-Aug-2020,71.653,71.435,71.357,72.18
21-Aug-2020,71.459,71.947,70.912,72.09
20-Aug-2020,71.782,71.896,71.487,72.049
19-Aug-2020,72.335,72.369,72.138,72.596
18-Aug-2020,72.474,71.999,71.933,72.723
17-Aug-2020,72.018,71.049,71.043,72.026
14-Aug-2020,70.806,70.753,70.454,71.243
13-Aug-2020,70.837,70.36,70.155,70.849
12-Aug-2020,70.27,69.184,68.772,70.312
11-Aug-2020,69.891,70.987,69.863,71.03
10-Aug-2020,70.903,70.628,70.605,71.3
07-Aug-2020,70.45,71.529,70.36,71.534
06-Aug-2020,71.339,71.256,71.137,71.975
05-Aug-2020,71.192,70.606,70.476,71.94
04-Aug-2020,70.544,69.795,69.508,70.62
03-Aug-2020,69.905,68.813,68.708,70.037
31-Jul-2020,68.677,68.667,68.467,69
30-Jul-2020,68.253,68.995,67.821,69.096
29-Jul-2020,68.993,68.601,68.479,69.01
28-Jul-2020,68.531,69.024,67.852,69.062
27-Jul-2020,68.503,68.272,68.21,68.761
24-Jul-2020,68.15,68.038,67.658,68.228
23-Jul-2020,68.125,67.763,67.576,68.349
22-Jul-2020,67.739,67.564,66.853,67.775
21-Jul-2020,67.287,66.334,66.31,67.378
20-Jul-2020,66.31,66.245,65.94,66.45
17-Jul-2020,66.495,66.44,66.26,66.652
16-Jul-2020,66.473,66.676,66.371,66.813
15-Jul-2020,66.665,66.351,65.971,66.674
14-Jul-2020,66.176,65.909,65.72,66.49
13-Jul-2020,66.49,66.518,66.437,66.804
10-Jul-2020,66.636,66.325,65.931,66.829
09-Jul-2020,66.346,66.834,66.325,67.294
08-Jul-2020,66.793,66.379,66.334,66.927
07-Jul-2020,66.541,66.19,65.832,66.705
06-Jul-2020,66.18,65.734,65.715,66.319
02-Jul-2020,65.633,65.262,65.232,65.648
01-Jul-2020,65.184,65.117,64.695,65.424
30-Jun-2020,64.976,64.2,64.133,65.151
29-Jun-2020,64.243,63.267,63.061,64.341
26-Jun-2020,63.219,63.573,62.982,63.732
25-Jun-2020,63.448,63.549,63.028,63.641
