Date,Close,Open,Low,High
22-Jul-2021,58.007,57.663,57.208,58.245
21-Jul-2021,58.071,57.705,57.346,58.118
20-Jul-2021,57.583,56.813,56.798,58.034
19-Jul-2021,56.358,57.811,56.235,57.982
16-Jul-2021,57.247,56.738,56.592,57.735
15-Jul-2021,56.671,56.443,56.222,56.809
14-Jul-2021,56.464,55.266,55.208,56.574
13-Jul-2021,55.330,55.233,54.908,55.745
12-Jul-2021,55.197,54.255,54.123,55.328
09-Jul-2021,54.205,54.138,53.684,54.311
08-Jul-2021,54.160,54.430,53.935,54.748
07-Jul-2021,54.480,54.780,53.805,55.185
06-Jul-2021,54.332,57.264,54.209,57.365
02-Jul-2021,57.222,57.726,56.841,58.181
01-Jul-2021,57.500,57.695,57.450,59.116
30-Jun-2021,57.816,55.412,54.438,57.927
29-Jun-2021,55.428,55.291,55.050,56.167
28-Jun-2021,55.484,53.939,53.861,55.591
25-Jun-2021,53.768,54.603,53.536,55.016
24-Jun-2021,54.503,54.355,53.392,54.731
23-Jun-2021,54.715,54.502,54.226,55.021
22-Jun-2021,54.344,55.110,54.244,55.403
21-Jun-2021,55.188,54.301,53.603,55.489
18-Jun-2021,54.903,53.703,53.202,55.233
17-Jun-2021,53.007,55.715,52.869,55.826
16-Jun-2021,55.970,56.786,55.943,56.891
15-Jun-2021,56.588,56.998,56.177,57.194
14-Jun-2021,57.345,57.784,56.588,57.886
11-Jun-2021,59.016,59.836,58.388,59.902
10-Jun-2021,59.846,59.565,59.366,60.296
09-Jun-2021,59.653,59.588,58.926,59.805
08-Jun-2021,59.679,59.526,59.421,60.452
07-Jun-2021,59.230,60.716,59.180,60.916
04-Jun-2021,59.939,58.505,58.501,60.051
03-Jun-2021,58.522,59.976,58.238,60.020
02-Jun-2021,59.394,59.305,58.839,59.970
01-Jun-2021,59.332,58.516,58.252,60.109
28-May-2021,57.926,58.089,57.805,58.404
27-May-2021,57.997,56.341,56.137,58.032
26-May-2021,56.369,56.449,55.559,56.777
25-May-2021,56.485,57.493,56.149,57.695
24-May-2021,57.224,56.994,56.666,57.324
21-May-2021,57.433,57.594,57.117,57.766
20-May-2021,57.757,58.116,57.505,58.376
19-May-2021,57.872,58.740,57.201,58.745
18-May-2021,58.878,59.075,58.662,59.608
17-May-2021,58.605,58.135,57.944,58.943
14-May-2021,58.361,59.287,58.329,59.768
13-May-2021,58.882,60.630,58.665,61.041
12-May-2021,61.174,61.809,61.012,62.074
11-May-2021,61.275,60.037,60.005,61.749
10-May-2021,60.349,61.220,60.151,61.275
07-May-2021,61.408,61.248,60.495,61.600
