Date,Close,Open,Low,High
22-Jul-2021,29.973,29.270,29.192,29.985
21-Jul-2021,29.440,28.448,28.329,29.445
20-Jul-2021,28.403,28.038,27.775,28.436
19-Jul-2021,27.989,28.963,27.793,29.170
16-Jul-2021,29.227,29.061,28.820,29.337
15-Jul-2021,29.076,29.247,28.973,29.425
14-Jul-2021,29.542,30.049,29.238,30.232
13-Jul-2021,30.072,29.891,29.645,30.122
12-Jul-2021,29.818,29.678,29.298,29.842
09-Jul-2021,29.768,29.287,29.255,29.898
08-Jul-2021,29.335,28.759,28.466,29.359
07-Jul-2021,28.893,29.324,28.506,29.802
06-Jul-2021,29.277,30.535,29.154,30.580
02-Jul-2021,29.947,29.764,29.523,29.986
01-Jul-2021,29.761,29.496,29.474,30.183
30-Jun-2021,29.368,29.499,29.186,29.742
29-Jun-2021,29.256,29.079,28.907,29.732
28-Jun-2021,29.130,29.332,29.106,29.463
25-Jun-2021,29.311,29.096,28.836,29.317
24-Jun-2021,29.026,28.730,28.549,29.033
23-Jun-2021,28.798,28.639,28.611,29.109
22-Jun-2021,28.504,28.377,28.197,28.586
21-Jun-2021,28.305,28.137,27.692,28.321
18-Jun-2021,27.979,27.678,27.549,28.120
17-Jun-2021,27.901,28.040,27.526,28.240
16-Jun-2021,28.269,28.286,28.047,28.471
15-Jun-2021,28.180,28.266,28.129,28.431
14-Jun-2021,28.185,28.120,28.093,28.274
11-Jun-2021,28.049,27.865,27.765,28.130
10-Jun-2021,27.735,27.487,27.340,27.892
09-Jun-2021,27.606,27.695,27.482,27.860
08-Jun-2021,27.618,27.209,27.160,27.682
07-Jun-2021,27.298,27.391,27.249,27.452
04-Jun-2021,27.459,27.111,27.075,27.513
03-Jun-2021,27.148,27.377,26.996,27.439
02-Jun-2021,27.231,27.024,26.966,27.247
01-Jun-2021,26.991,26.855,26.854,27.402
28-May-2021,26.353,26.540,26.335,26.746
27-May-2021,26.415,26.352,26.179,26.435
26-May-2021,26.427,26.282,26.065,26.462
25-May-2021,26.228,26.258,26.032,26.315
24-May-2021,26.188,25.687,25.619,26.217
21-May-2021,25.622,25.342,25.194,25.748
20-May-2021,25.308,25.783,25.279,25.915
19-May-2021,25.747,26.215,25.357,26.269
18-May-2021,26.469,26.854,26.147,27.029
17-May-2021,26.782,26.420,26.280,26.881
14-May-2021,26.224,25.756,25.701,26.230
13-May-2021,25.845,26.386,25.665,26.386
12-May-2021,26.495,26.191,26.082,26.616
11-May-2021,26.203,25.892,25.636,26.269
10-May-2021,26.048,26.337,25.764,26.337
07-May-2021,26.078,25.949,25.716,26.149
06-May-2021,25.942,26.222,25.892,26.313
05-May-2021,26.217,26.477,26.076,26.555
04-May-2021,26.235,25.912,25.814,26.251
03-May-2021,25.864,25.573,25.335,25.913
30-Apr-2021,25.518,25.776,25.379,25.805
29-Apr-2021,25.863,25.720,25.642,26.117
28-Apr-2021,25.660,25.248,25.239,25.796
27-Apr-2021,25.310,25.010,24.979,25.334
26-Apr-2021,24.924,24.876,24.379,24.968
23-Apr-2021,24.894,24.818,24.662,24.992
22-Apr-2021,24.736,24.443,24.393,24.833
21-Apr-2021,24.611,24.859,24.434,24.976
20-Apr-2021,24.981,25.305,24.714,25.468
19-Apr-2021,25.209,25.045,25.019,25.250
16-Apr-2021,25.059,25.068,24.963,25.213
15-Apr-2021,25.061,24.852,24.729,25.085
14-Apr-2021,24.917,24.217,24.217,24.981
13-Apr-2021,24.123,23.902,23.852,24.244
12-Apr-2021,23.907,23.861,23.616,24.226
09-Apr-2021,23.725,23.793,23.576,23.835
08-Apr-2021,23.752,23.637,23.524,23.817
07-Apr-2021,23.738,23.555,23.327,23.791
06-Apr-2021,23.563,23.729,23.535,24.118
05-Apr-2021,23.499,24.330,23.216,24.353
01-Apr-2021,24.440,23.863,23.737,24.514
31-Mar-2021,23.832,24.255,23.792,24.394
30-Mar-2021,24.204,24.503,24.024,24.586
29-Mar-2021,24.470,24.300,23.916,24.516
26-Mar-2021,24.284,23.738,23.679,24.386
25-Mar-2021,23.565,23.897,23.295,24.039
24-Mar-2021,24.208,23.183,23.147,24.259
23-Mar-2021,23.283,24.171,23.218,24.214
22-Mar-2021,24.385,24.066,23.833,24.448
19-Mar-2021,24.203,23.878,23.418,24.268
18-Mar-2021,23.795,25.010,23.724,25.161
17-Mar-2021,25.103,25.326,24.868,25.450
16-Mar-2021,25.338,25.173,24.940,25.358
15-Mar-2021,25.323,25.816,25.095,25.823
12-Mar-2021,25.707,25.840,25.668,25.943
11-Mar-2021,25.882,25.598,25.480,25.891
10-Mar-2021,25.458,25.133,24.969,25.505
09-Mar-2021,25.298,25.563,25.227,25.769
08-Mar-2021,25.504,26.362,25.353,26.363
05-Mar-2021,25.851,25.389,25.344,25.939
