Date,FUND_FLOW,FUND_TOTAL_ASSETS
11/27/20,0,136.5035
11/25/20,-1.4188,134.7845
11/24/20,-2.1478,137.4613
11/23/20,0,139.6218
11/20/20,0,138.1808
11/19/20,0,137.8745
11/18/20,0,138.7546
11/17/20,0,137.8433
11/16/20,0,137.3897
11/13/20,0,136.1211
11/12/20,-0.6957,135.6576
11/11/20,0,138.4701
11/10/20,0,139.2986
11/09/20,0,135.0284
11/06/20,0,134.5025
11/05/20,0.6869,134.6319
11/04/20,0,132.9199
11/03/20,0,131.4336
11/02/20,0,130.2564
10/30/20,-2.3432,130.5474
10/29/20,-3.9901,132.0047
10/28/20,0,136.4017
10/27/20,0,140.0989
10/26/20,0,140.6903
10/23/20,0,141.3205
10/22/20,0,141.2544
10/21/20,0,141.32
10/20/20,-0.688,140.6929
10/19/20,0,140.4449
10/16/20,-8.4774,139.3677
10/15/20,0,147.9346
10/14/20,-2.018,146.6403
10/13/20,-5.3641,148.1829
10/12/20,-2.3331,152.6537
10/09/20,0,156.9626
10/08/20,0,154.5766
10/07/20,0,155.5966
10/06/20,0,154.7972
10/05/20,0,153.1089
10/02/20,0,153.0443
10/01/20,-0.6625,154.0329
09/30/20,0.3287,153.5009
09/29/20,0.6369,148.4044
09/28/20,0,148.3595
09/25/20,6.3674,147.7238
09/24/20,5.0824,141.036
09/23/20,0,137.694
09/22/20,0,138.0832
09/21/20,4.522,138.2425
09/18/20,0,136.1787
09/17/20,0,134.8954
09/16/20,3.5668,134.2394
09/15/20,5.1302,129.2172
09/14/20,0,125.1485
09/11/20,0,125.0707
09/10/20,2.2467,124.2099
09/09/20,0,120.7215
09/08/20,0,121.1076
09/04/20,3.1615,120.1383
09/03/20,0,115.9141
09/02/20,0,117.0788
09/01/20,2.5231,116.6956
08/31/20,0,113.9437
08/28/20,2.5301,114.4892
08/27/20,0,111.9935
08/26/20,0,111.0583
08/25/20,-27.0122,111.1899
08/24/20,0,135.175
08/21/20,0,133.7638
08/20/20,0,133.5269
08/19/20,0,133.7218
08/18/20,1.222,134.4247
08/17/20,0,133.9309
08/14/20,0.3018,131.5828
08/13/20,24.1706,131.4277
08/12/20,17.5929,104.0916
08/11/20,0,85.7443
08/10/20,0,85.7055
08/07/20,0,85.2661
08/06/20,0,85.9386
08/05/20,0,85.9397
08/04/20,0,85.2306
08/03/20,0,86.7383
07/31/20,-2.3448,86.4633
07/30/20,-1.7579,88.7712
07/29/20,0,90.4454
07/28/20,0,91.165
07/27/20,0,92.2779
07/24/20,0,92.3516
07/23/20,0.5977,92.3369
07/22/20,0,91.5273
07/21/20,0,90.6294
07/20/20,0,91.8446
07/17/20,-5.1289,92.6225
07/16/20,0,97.2425
07/15/20,9.5339,96.5309
07/14/20,13.3954,86.9213
07/13/20,0,74.1111
07/10/20,0,75.6662
07/09/20,0,77.8887
07/08/20,0,77.4111
07/07/20,0,76.961
07/06/20,0,77.482
07/02/20,-11.8436,76.9833
07/01/20,-4.1206,90.3363
06/30/20,-0.9303,92.4106
06/29/20,4.1995,90.2902
06/26/20,0,83.9414
06/25/20,2.3538,84.4432
06/24/20,6.5756,83.3907
06/23/20,16.8813,77.473
06/22/20,0,61.3293
06/19/20,0,61.8714
06/18/20,0,61.5881
06/17/20,0,61.5199
06/16/20,0,61.5078
06/15/20,0.9164,61.4011
06/12/20,1.2261,60.6904
06/11/20,0,59.6112
06/10/20,1.2212,59.2285
06/09/20,0,58.3297
06/08/20,0,58.9692
06/05/20,0,58.5836
06/04/20,0,58.2297
06/03/20,0,57.4567
06/02/20,0,57.4234
06/01/20,0,57.0753
05/29/20,0,57.5529
05/28/20,0,57.863
05/27/20,0,56.931
05/26/20,0,56.8206
05/22/20,0,56.6313
05/21/20,0,56.75
05/20/20,0,56.8972
05/19/20,0,56.9242
05/18/20,0,56.7081
05/15/20,0,56.5985
05/14/20,0,56.5546
05/13/20,0,56.6467
05/12/20,0,57.1714
05/11/20,0,56.8671
05/08/20,0,57.0218
05/07/20,0,56.7772
05/06/20,0,56.2265
05/05/20,0,56.7409
05/04/20,-2.0852,56.5983
05/01/20,0,59.2187
04/30/20,4.826,59.4207
04/29/20,0,53.8325
04/28/20,0,53.3503
04/27/20,0,53.3873
04/24/20,0,54.8099
04/23/20,0,55.2272
04/22/20,0,54.9296
04/21/20,0,53.9152
04/20/20,0,54.778
04/17/20,0,55.9082
04/16/20,0,55.4609
04/15/20,0,55.6698
04/14/20,0,56.4408
04/13/20,0,57.0565
04/09/20,0.632,57.1977
04/08/20,0,56.3614
04/07/20,0,56.6542
04/06/20,0,56.1337
04/03/20,-0.6326,56.6188
04/02/20,0,57.2969
04/01/20,0,57.1092
03/31/20,0,58.5813
03/30/20,0,58.9161
03/27/20,0,59.6315
03/26/20,0,60.1146
03/25/20,0,60.0361
03/24/20,0,59.7484
03/23/20,0,59.4831
03/20/20,0,59.4049
03/19/20,0,59.5569
03/18/20,0,58.3178
03/17/20,-0.6565,59.4098
03/16/20,-1.3368,61.1579
03/13/20,-0.6825,63.8153
03/12/20,0,64.4478
03/11/20,-0.6954,65.7153
03/10/20,0,66.9755
03/09/20,-0.693,66.1841
03/06/20,0,67.6386
03/05/20,0,68.3912
03/04/20,0,68.8409
03/03/20,0,68.4113
03/02/20,-0.6999,67.538
02/28/20,0,67.2214
02/27/20,0,67.2434
02/26/20,0,68.2493
02/25/20,-2.81,68.4945
02/24/20,1.7553,71.2642
02/21/20,1.4194,70.2624
02/20/20,0,69.2434
02/19/20,0,69.6936
02/18/20,0,70.1166
02/14/20,0,69.2214
02/13/20,0,69.7873
02/12/20,0,70.093
02/11/20,0,69.7353
02/10/20,0,70.1099
02/07/20,0,70.3526
02/06/20,0,69.6144
02/05/20,0,70.0776
02/04/20,0,70.2862
02/03/20,0,69.6894
01/31/20,0,69.9852
01/30/20,0,69.7808
01/29/20,0,70.6516
01/28/20,-0.733,71.1023
01/27/20,0,71.0877
01/24/20,0.3672,71.9642
01/23/20,0,72.5861
01/22/20,0,71.9445
01/21/20,-1.1069,71.9471
01/17/20,0,73.3473
01/16/20,0,71.3148
01/15/20,0,73.2396
01/14/20,0,73.5809
01/13/20,-1.8601,73.6599
01/10/20,0,74.977
01/09/20,0,74.4695
01/08/20,0,74.6616
01/07/20,0,74.6327
01/06/20,0,74.6502
01/03/20,0,74.8732
01/02/20,0,75.73
12/31/19,-1.1116,75.2202
12/30/19,-0.742,76.4309
12/27/19,0,77.3845
12/26/19,0,77.1547
12/24/19,0,76.9958
12/23/19,-1.1127,77.1473
12/20/19,0,78.0237
12/19/19,0,77.8351
12/18/19,0,77.8831
12/17/19,0,78.3917
12/16/19,0,78.0374
12/13/19,0,76.8514
12/12/19,0,76.2511
12/11/19,0,75.0895
12/10/19,0,75.9858
12/09/19,0,75.6751
12/06/19,0,75.9084
12/05/19,0,75.9349
12/04/19,0,76.2829
12/03/19,0,76.6612
12/02/19,0,76.6046
11/29/19,0,76.4964
11/27/19,0,75.4004
11/26/19,0,76.3628
11/25/19,-0.7282,76.8301
11/22/19,0,77.0301
11/21/19,0,77.2093
11/20/19,0,77.0294
11/19/19,-1.8223,77.6288
11/18/19,0,78.7929
11/15/19,-1.4574,79.4257
11/14/19,0,81.6917
11/13/19,0,81.47
11/12/19,0,82.027
11/11/19,0,81.3198
11/08/19,0,82.1531
11/07/19,0,81.6959
11/06/19,0,82.338
11/05/19,0,82.9617
11/04/19,0,83.328
11/01/19,-1.5152,84.0959
10/31/19,0,85.6554
10/30/19,0,85.821
10/29/19,0,85.365
10/28/19,-1.5066,85.1208
10/25/19,0,87.1928
10/24/19,-1.5185,87.312
10/23/19,0,89.1634
10/22/19,0,89.2386
10/21/19,0,89.1649
10/18/19,0,89.6978
10/17/19,0,90.2522
10/16/19,0,89.6529
10/15/19,0,89.7832
10/14/19,0,90.2282
10/11/19,0,90.3061
10/10/19,-1.873,87.6572
10/09/19,0,91.8273
10/08/19,0,91.9635
10/07/19,0,90.722
10/04/19,0,90.2559
10/03/19,0,90.8971
10/02/19,0,90.6783
10/01/19,0,91.6164
09/30/19,0,90.9636
09/27/19,-0.7391,88.3274
09/26/19,0,89.3378
09/25/19,0,89.4912
09/24/19,0,89.38
09/23/19,0,89.2287
09/20/19,0,88.7404
09/19/19,0,89.3158
09/18/19,0,89.1103
09/17/19,0,88.7315
09/16/19,0,90.1134
09/13/19,0,89.166
09/12/19,1.1068,88.9139
09/11/19,0,86.361
09/10/19,0,86.7392
09/09/19,0,85.2339
09/06/19,0,85.3503
09/05/19,0,86.0257
09/04/19,0,86.0451
09/03/19,0,86.4089
08/30/19,-0.74,88.0576
08/29/19,0,88.9603
08/28/19,0,88.7223
08/27/19,0,88.1223
08/26/19,0,88.5814
08/23/19,0,88.488
08/22/19,0,89.1136
08/21/19,0,88.9993
08/20/19,0,88.6346
08/19/19,0,89.6149
08/16/19,0,90.8116
08/15/19,0,88.9737
08/14/19,0,88.8381
08/13/19,0,90.2406
08/12/19,0,92.4242
08/09/19,0,96.7678
08/08/19,0,96.8343
08/07/19,0,95.9251
08/06/19,0,95.4635
08/05/19,0,96.3744
08/02/19,0,95.3665
08/01/19,0,94.0273
07/31/19,0,95.3337
07/30/19,0,97.3004
07/29/19,0,98.3174
07/26/19,0,97.8434
07/25/19,0,98.4228
07/24/19,0,98.8756
07/23/19,0,99.0305
07/22/19,0,98.228
07/19/19,0,99.6131
07/18/19,0,98.6066
07/17/19,0,100.4764
07/16/19,0,100.337
07/15/19,0,101.2743
07/12/19,0,103.2468
07/11/19,0,101.4248
07/10/19,0,99.9656
07/09/19,0,99.4247
07/08/19,2.0932,100.4757
07/05/19,0,98.4112
07/03/19,0,98.3975
07/02/19,0,95.6581
07/01/19,0,94.8051
06/28/19,0,96.3734
06/27/19,0,99.5386
06/26/19,0,100.0237
06/25/19,0,100.4774
06/24/19,0,100.3879
06/21/19,6.7815,99.6033
06/20/19,1.2841,93.7399
06/19/19,0,91.437
06/18/19,1.7214,92.9577
06/17/19,0,92.1358
06/14/19,0,91.4812
06/13/19,2.559,90.4173
06/12/19,0,86.6182
06/11/19,0,86.575
06/10/19,0,84.5683
06/07/19,2.4567,84.3472
06/06/19,0,82.7304
06/05/19,0,81.9397
06/04/19,1.256,83.7328
06/03/19,2.0842,82.1162
05/31/19,7.1002,80.1909
05/30/19,0,74.3475
05/29/19,1.2412,72.4043
05/28/19,1.6567,71.2395
05/24/19,1.2065,67.5635
05/23/19,0,64.9389
05/22/19,0,65.495
05/21/19,0,65.2912
05/20/19,0,64.5407
05/17/19,0,63.7478
05/16/19,0,63.5238
05/15/19,0,62.5887
05/14/19,-0.7592,62.631
05/13/19,1.8553,61.9674
05/10/19,0,59.5244
05/09/19,0,59.5944
05/08/19,0,61.1879
05/07/19,0,61.4926
05/06/19,0,61.1674
05/03/19,0.7674,62.1556
05/02/19,0,61.3381
05/01/19,0,61.1093
04/30/19,0,60.191
04/29/19,0,60.1385
04/26/19,0,60.0591
04/25/19,0,59.4431
04/24/19,1.1108,59.242
04/23/19,0,58.7699
04/22/19,0,59.2379
04/18/19,0,59.8485
04/17/19,0,59.868
04/16/19,0,60.001
04/15/19,0,60.5606
04/12/19,0,60.2574
04/11/19,0,60.1566
04/10/19,0,60.5022
04/09/19,1.1505,60.2103
04/08/19,0,59.0482
04/05/19,0,59.3487
04/04/19,0,59.7963
04/03/19,3.8635,59.4982
04/02/19,0,55.4533
04/01/19,0,55.4303
03/29/19,0,54.7968
03/28/19,0,57.0921
03/27/19,0,57.0461
03/26/19,0,57.4635
03/25/19,0,57.7453
03/22/19,0,57.4801
03/21/19,0,57.2519
03/20/19,0,56.6914
03/19/19,0,56.6454
03/18/19,0,56.6219
03/15/19,0,56.8191
03/14/19,0,56.4702
03/13/19,0,56.0994
03/12/19,1.1665,55.9908
03/11/19,0,54.2085
03/08/19,0,54.5133
03/07/19,0,54.6269
03/06/19,0,55.5976
03/05/19,0,56.0324
03/04/19,0,55.8526
03/01/19,0,55.6121
02/28/19,0,55.2995
02/27/19,0,55.701
02/26/19,0,56.0043
02/25/19,-0.8013,56.489
02/22/19,0,57.881
02/21/19,0,57.861
02/20/19,0,57.2381
02/19/19,0,57.0057
02/15/19,0,57.5823
02/14/19,0,57.6121
02/13/19,0,58.1409
02/12/19,0,58.0576
02/11/19,0,57.3226
02/08/19,0,57.5451
02/07/19,0,57.8045
02/06/19,0,58.297
02/05/19,0,58.4094
02/04/19,1.2215,58.2261
02/01/19,0,56.9463
01/31/19,0,56.6614
01/30/19,0,57.2865
01/29/19,0,56.7959
01/28/19,0,57.1208
01/25/19,0,57.1712
01/24/19,0,56.7541
01/23/19,0,56.9959
01/22/19,0,56.912
01/18/19,0,57.3014
01/17/19,0,57.1036
01/16/19,0,56.3722
01/15/19,0,56
01/14/19,0,56.9743
01/11/19,0,56.904
01/10/19,0,56.5817
01/09/19,0,57.342
01/08/19,0,57.1027
01/07/19,0,57.3455
01/04/19,0,57.4306
01/03/19,0,56.9543
01/02/19,0,56.4509
12/31/18,0,56.3791
12/28/18,-1.2082,56.3825
12/27/18,0,57.4355
12/26/18,0,57.3258
12/24/18,-1.2145,57.8928
12/21/18,-1.2164,59.1974
12/20/18,-1.2072,59.9589
12/19/18,0,62.1607
12/18/18,0,62.6592
12/17/18,0,62.3997
12/14/18,0,62.4661
12/13/18,0,62.4194
12/12/18,0,62.5129
12/11/18,0,62.4756
12/10/18,0,62.2921
12/07/18,0,62.4912
12/06/18,0,62.1133
12/04/18,-1.2312,62.3791
12/03/18,0,63.3329
11/30/18,0,62.7233
11/29/18,0,62.0376
11/28/18,0,62.04
11/27/18,0,61.3139
11/26/18,0,61.301
11/23/18,0,61.736
11/21/18,0,62.0527
11/20/18,0,61.9626
