Date,FUND_FLOW,FUND_TOTAL_ASSETS
11/27/20,-2.7068,95.1907
11/25/20,-1.3452,97.3013
11/24/20,0,99.2708
11/23/20,0,99.2115
11/20/20,-1.7891,98.4016
11/19/20,0,99.9154
11/18/20,0,99.8881
11/17/20,0,99.3793
11/16/20,0,98.5989
11/13/20,0,98.0576
11/12/20,-1.7421,97.5579
11/11/20,0,99.7171
11/10/20,0,99.0843
11/09/20,0,96.5113
11/06/20,0,95.9319
11/05/20,-1.6823,95.8883
11/04/20,0,96.1113
11/03/20,-4.0709,94.4453
11/02/20,-2.8215,97.545
10/30/20,0,100.5524
10/29/20,0,99.9372
10/28/20,0,100.1163
10/27/20,-3.6818,101.8626
10/26/20,0,106.2155
10/23/20,0,106.0888
10/22/20,0,105.5288
10/21/20,-1.6358,105.5073
10/20/20,-0.8136,106.5777
10/19/20,0,106.4823
10/16/20,-4.4213,106.1108
10/15/20,0,111.3561
10/14/20,-19.8117,111.1879
10/13/20,0,130.3555
10/12/20,0,129.1184
10/09/20,0,131.8061
10/08/20,0,129.172
10/07/20,0,129.9697
10/06/20,0,130.095
10/05/20,0,128.4901
10/02/20,0,128.457
10/01/20,0,128.4924
09/30/20,0,128.5094
09/29/20,0,125.2736
09/28/20,0,125.4328
09/25/20,0,126.005
09/24/20,0.7756,125.6417
09/23/20,10.6161,126.6068
09/22/20,0.7901,116.5419
09/21/20,0,116.1534
09/18/20,0.8057,118.0363
09/17/20,0,115.9295
09/16/20,8.2874,114.8403
09/15/20,2.3317,104.9269
09/14/20,0,103.0063
09/11/20,2.3284,102.4507
09/10/20,1.534,98.9434
09/09/20,0,97.6694
09/08/20,0,97.2774
09/04/20,6.8645,96.8659
09/03/20,0,89.8734
09/02/20,8.7461,89.7424
09/01/20,4.5285,80.3806
08/31/20,0,75.6925
08/28/20,0,75.4315
08/27/20,0,74.8232
08/26/20,0,73.6964
08/25/20,2.9293,73.5996
08/24/20,0,69.7311
08/21/20,2.5239,69.5875
08/20/20,0,67.0971
08/19/20,0,67.6249
08/18/20,0,67.6162
08/17/20,0,67.6538
08/14/20,-4.2933,66.5465
08/13/20,0,70.9448
08/12/20,-1.4089,69.7423
08/11/20,0,70.4886
08/10/20,0,70.5118
08/07/20,4.1649,70.1089
08/06/20,2.8095,66.7264
08/05/20,0,63.9753
08/04/20,1.4086,64.0892
08/03/20,0,63.4638
07/31/20,4.2655,63.2714
07/30/20,4.2452,58.7252
