Date,FUND_NET_ASSET_VAL,ALL_BROKERS_ADV_TOT_AGGR_VOL
11/27/20,18.0456,10659
11/25/20,17.9357,14550
11/24/20,18.0492,94462
11/23/20,18.0384,42590
11/20/20,17.8912,51923
11/19/20,17.842,41218
11/18/20,17.8372,35501
11/17/20,17.7463,90556
11/16/20,17.6069,19077
11/13/20,17.5103,28875
11/12/20,17.421,65011
11/11/20,17.4942,63162
11/10/20,17.3832,106069
11/09/20,16.9318,41087
11/06/20,16.8302,40274
11/05/20,16.8225,66108
11/04/20,16.5709,61661
11/03/20,16.2837,24169
11/02/20,16.1231,37444
10/30/20,16.153,28991
10/29/20,16.0542,175115
10/28/20,16.0829,110899
10/27/20,16.3635,57870
10/26/20,16.4675,33189
10/23/20,16.4479,110928
10/22/20,16.361,92840
10/21/20,16.3577,57816
10/20/20,16.2714,68569
10/19/20,16.1337,45393
10/16/20,16.0774,63849
10/15/20,16.1972,67916
10/14/20,16.1728,139017
10/13/20,16.0933,302671
10/12/20,15.9405,523422
10/09/20,16.2723,109292
10/08/20,15.9471,77930
10/07/20,16.0456,87806
10/06/20,16.0611,203185
10/05/20,15.863,51279
10/02/20,15.8589,26728
10/01/20,15.8633,33452
09/30/20,15.8653,231533
09/29/20,15.4659,158265
09/28/20,15.4855,69719
09/25/20,15.5562,56481
09/24/20,15.5113,199147
09/23/20,15.7275,62603
09/22/20,15.8023,132511
09/21/20,15.8571,396412
09/18/20,16.1142,316493
09/17/20,15.9353,229885
09/16/20,15.7856,175920
09/15/20,15.5447,117010
09/14/20,15.607,311522
09/11/20,15.5228,142364
09/10/20,15.3401,80483
09/09/20,15.381,88135
09/08/20,15.3193,77595
09/04/20,15.2545,156633
09/03/20,15.2328,76655
09/02/20,15.2106,74876
09/01/20,15.0949,92559
08/31/20,15.0632,315439
08/28/20,15.0112,150572
08/27/20,14.8902,169856
08/26/20,14.6659,67370
08/25/20,14.6467,109842
08/24/20,14.452,55290
08/21/20,14.4223,47361
08/20/20,14.4295,75721
08/19/20,14.543,72688
08/18/20,14.5411,80637
08/17/20,14.5492,91096
08/14/20,14.3111,40929
08/13/20,14.3323,193630
08/12/20,14.0893,88944
08/11/20,13.9581,538751
08/10/20,13.9627,107360
08/07/20,13.8829,115257
08/06/20,14.0477,158953
08/05/20,14.0605,345493
08/04/20,14.0855,507214
08/03/20,14.2615,58043
07/31/20,14.2183,243938
07/30/20,14.1506,65639
07/29/20,14.1134,77976
07/28/20,14.1257,545817
07/27/20,14.3004,25978
07/24/20,14.2782,11010
07/23/20,14.2782,26069
07/22/20,14.2234,67452
07/21/20,14.1929,73757
07/20/20,14.2639,16667
07/17/20,14.1968,8993
07/16/20,14.1411,19532
07/15/20,14.0385,49170
07/14/20,13.9803,50936
07/13/20,13.9523,101332
07/10/20,14.1623,76116
07/09/20,14.3251,26298
07/08/20,14.2684,35429
07/07/20,14.3103,64306
07/06/20,14.3531,116988
07/02/20,14.2156,27975
07/01/20,14.2562,99968
06/30/20,13.9841,462189
06/29/20,13.7386,21881
06/26/20,13.7033,43906
06/25/20,13.8275,221532
06/24/20,13.8743,341923
06/23/20,13.9422,167103
06/22/20,13.9958,69431
06/19/20,14.0157,296512
06/18/20,13.9519,53577
06/17/20,13.9674,159631
06/16/20,13.9157,431346
06/15/20,13.958,44403
06/12/20,13.998,26190
06/11/20,13.9779,8024
06/10/20,13.9979,7553
06/09/20,14.0092,17732
06/08/20,14.0649,17181
06/05/20,14.0821,48649
06/04/20,14.0346,91380
06/03/20,13.8466,14010
06/02/20,13.7687,27123
06/01/20,13.6553,4740
05/29/20,13.641,10736
05/28/20,13.6808,10062
05/27/20,13.6798,27720
05/26/20,13.662,18018
05/22/20,13.5178,5273
05/21/20,13.5306,24092
05/20/20,13.6222,13663
05/19/20,13.5773,7672
05/18/20,13.5936,12543
05/15/20,13.4738,14251
05/14/20,13.4418,23867
05/13/20,13.465,9714
05/12/20,13.6253,15255
05/11/20,13.6535,10070
05/08/20,13.6011,19505
05/07/20,13.4986,49082
05/06/20,13.3846,11200
05/05/20,13.5092,6953
05/04/20,13.5221,11293
05/01/20,13.6693,6026
04/30/20,13.7094,25104
04/29/20,13.5069,65412
04/28/20,13.4081,16745
04/27/20,13.4009,23308
04/24/20,13.4335,43251
04/23/20,13.5551,29738
04/22/20,13.5431,38517
04/21/20,13.5905,41347
04/20/20,13.5215,29402
04/17/20,13.597,22472
04/16/20,13.6522,18974
04/15/20,13.7319,11566
04/14/20,13.824,4022
04/13/20,13.911,18857
04/09/20,14.002,6231
04/08/20,13.8736,6726
04/07/20,13.8216,15944
04/06/20,13.7898,10251
04/03/20,13.736,14168
04/02/20,13.7843,23807
04/01/20,13.7828,19489
03/31/20,14.0012,10817
03/30/20,13.9811,16553
03/27/20,14.0218,15474
03/26/20,14.0928,13252
03/25/20,14.0606,16102
03/24/20,14.0215,13194
03/23/20,14.0007,12829
03/20/20,13.8388,18939
03/19/20,13.6402,62630
03/18/20,13.5459,67610
03/17/20,13.5431,8126
03/16/20,13.5825,30978
03/13/20,13.9157,27786
03/12/20,14.0314,17750
03/11/20,14.254,6300
03/10/20,14.3168,9199
03/09/20,14.2267,32317
03/06/20,14.5593,3979
03/05/20,14.6355,10301
03/04/20,14.7952,2708
03/03/20,14.7755,23545
03/02/20,14.74,33105
02/28/20,14.5953,7663
02/27/20,14.6546,14405
02/26/20,14.6255,20000
02/25/20,14.576,22867
02/24/20,14.4849,75058
02/21/20,14.727,5914
02/20/20,14.7464,75049
02/19/20,14.8256,23011
02/18/20,14.7905,9812
02/14/20,14.8111,16736
02/13/20,14.8483,46314
02/12/20,14.8047,14553
02/11/20,14.7362,8121
02/10/20,14.7368,10666
02/07/20,14.7093,7173
02/06/20,14.7168,9036
02/05/20,14.7091,4783
02/04/20,14.6907,26689
02/03/20,14.66,4406
01/31/20,14.5953,16081
01/30/20,14.6568,13968
01/29/20,14.9083,6612
01/28/20,14.9332,2824
01/27/20,14.9731,18035
01/24/20,15.0548,31866
01/23/20,15.1839,21765
01/22/20,15.2464,18925
01/21/20,15.2765,17026
01/17/20,15.4637,11833
01/16/20,15.3824,16503
01/15/20,15.445,30836
01/14/20,15.6467,41772
01/13/20,15.6497,18208
01/10/20,15.7176,11106
01/09/20,15.6742,25923
01/08/20,15.7377,6780
01/07/20,15.6933,4209
01/06/20,15.706,28221
01/03/20,15.6588,33536
01/02/20,15.8689,17975
12/31/19,15.8507,14084
12/30/19,15.8105,22192
12/27/19,15.6532,16483
12/26/19,15.7194,17419
12/24/19,15.6927,4601
12/23/19,15.6571,7367
12/20/19,15.5994,13302
12/19/19,15.5835,16865
12/18/19,15.64,9889
12/17/19,15.6335,18374
12/16/19,15.5629,57306
12/13/19,15.3415,24069
