Date,FUND_NET_ASSET_VAL,ALL_BROKERS_ADV_TOT_AGGR_VOL
11/27/20,5.9058,87020
11/25/20,5.8166,156226
11/24/20,5.9895,125374
11/23/20,5.8811,126593
11/20/20,5.8388,223813
11/19/20,5.8448,111477
11/18/20,5.9094,222386
11/17/20,5.8873,170091
11/16/20,5.9055,154464
11/13/20,5.8711,172734
11/12/20,5.8304,280294
11/11/20,5.9081,214532
11/10/20,6.0027,137843
11/09/20,5.9006,133357
11/06/20,5.9233,116680
11/05/20,5.9531,311705
11/04/20,5.918,253011
11/03/20,5.9111,211812
11/02/20,5.888,188062
10/30/20,5.82,228989
10/29/20,5.8363,621896
10/28/20,5.883,301179
10/27/20,5.9647,249373
10/26/20,6.0018,361387
10/23/20,6.1052,159139
10/22/20,6.0378,257205
10/21/20,6.109,790877
10/20/20,6.1009,822895
10/19/20,6.0422,193734
10/16/20,6.0197,257494
10/15/20,5.9923,355161
10/14/20,5.85,46166
10/13/20,5.8219,79254
10/12/20,5.8346,230889
10/09/20,5.8307,207021
10/08/20,5.8368,175255
10/07/20,5.9402,76974
10/06/20,5.8443,113121
10/05/20,5.7728,55042
10/02/20,5.6843,36794
10/01/20,5.6553,64926
09/30/20,5.7157,168710
09/29/20,5.4854,86521
09/28/20,5.4946,83507
09/25/20,5.4366,60518
09/24/20,5.4873,146140
09/23/20,5.4866,121309
09/22/20,5.5646,161687
09/21/20,5.5454,262297
09/18/20,5.7121,230789
09/17/20,5.5521,246051
09/16/20,5.4358,152923
09/15/20,5.402,164722
09/14/20,5.4702,105930
09/11/20,5.442,139385
09/10/20,5.497,75704
09/09/20,5.458,172207
09/08/20,5.4559,268705
09/04/20,5.5059,105480
09/03/20,5.5307,127182
09/02/20,5.5834,123831
09/01/20,5.6278,83970
08/31/20,5.5285,103989
08/28/20,5.498,147967
08/27/20,5.5096,186384
08/26/20,5.4127,46323
08/25/20,5.3687,176646
08/24/20,5.3004,125957
08/21/20,5.3598,171811
08/20/20,5.3067,98336
08/19/20,5.2465,45236
08/18/20,5.2157,177735
08/17/20,5.2897,445742
08/14/20,5.1328,154048
08/13/20,5.1107,267124
08/12/20,5.0462,65659
08/11/20,5.081,96323
08/10/20,5.0459,66558
08/07/20,5.087,91656
08/06/20,5.128,125407
08/05/20,5.2198,97946
08/04/20,5.2176,127033
08/03/20,5.3137,89352
07/31/20,5.3933,104766
07/30/20,5.3635,101039
07/29/20,5.3863,21500
07/28/20,5.321,17793
07/27/20,5.3623,36077
07/24/20,5.4412,54193
07/23/20,5.3389,49076
07/22/20,5.3935,60769
07/21/20,5.3439,34622
07/20/20,5.2983,59834
