Business Date,RB-02,RB-03
2012-01-03,5750,5500
2012-01-04,5750,5500
2012-01-05,5750,5500
2012-01-06,5750,5500
2012-01-09,5750,5500
2012-01-10,5750,5500
2012-01-11,5750,5500
2012-01-12,5750,5500
2012-01-13,5750,5500
2012-01-17,5750,5500
2012-01-18,5750,5500
2012-01-19,5750,5500
2012-01-20,5750,5500
2012-01-23,5750,5500
2012-01-24,5750,5500
2012-01-25,5750,5500
2012-01-26,5750,5500
2012-01-27,5750,5500
2012-01-30,5750,5500
2012-01-31,6000,5750
2012-02-01,5750,5500
2012-02-02,5750,5500
2012-02-03,5750,5500
2012-02-06,5750,5500
2012-02-07,5750,5500
2012-02-08,5750,5500
2012-02-09,5750,5500
2012-02-10,5750,5500
2012-02-13,5750,5500
2012-02-14,5750,5500
2012-02-15,5750,5500
2012-02-16,5750,5500
2012-02-17,5750,5500
2012-02-20,5750,5500
2012-02-21,5750,5500
2012-02-22,5750,5500
2012-02-23,5750,5500
2012-02-24,5750,5500
2012-02-27,5750,5500
2012-02-28,5750,5500
2012-02-29,6000,5750
2012-03-01,5750,5500
2012-03-02,5750,5500
2012-03-05,5750,5500
2012-03-06,5750,5500
2012-03-07,5500,5500
2012-03-08,5750,5500
2012-03-09,5750,5500
2012-03-12,5750,5500
2012-03-13,5750,5500
2012-03-14,5750,5500
2012-03-15,5750,5500
2012-03-16,5750,5500
2012-03-19,5750,5500
2012-03-20,5750,5500
2012-03-21,5750,5500
2012-03-22,5750,5500
2012-03-23,5750,5500
2012-03-26,5750,5500
2012-03-27,5750,5500
2012-03-28,5750,5500
2012-03-29,5750,5500
2012-03-30,6000,5750
2012-04-02,5750,5500
2012-04-03,5750,5500
2012-04-04,5750,5500
2012-04-05,5750,5500
2012-04-06,5750,5500
2012-04-09,5750,5500
2012-04-10,5750,5500
2012-04-11,5750,5500
2012-04-12,5750,5500
2012-04-13,5750,5500
2012-04-16,5750,5500
2012-04-17,5750,5500
2012-04-18,5750,5500
2012-04-19,5750,5500
2012-04-20,5750,5500
2012-04-23,5750,5500
2012-04-24,5750,5500
2012-04-25,5750,5500
2012-04-26,5750,5500
2012-04-27,5750,5500
2012-04-30,6000,5750
2012-05-01,5750,5500
2012-05-02,5750,5500
2012-05-03,5750,5500
2012-05-04,5750,5500
2012-05-07,5750,5500
2012-05-08,5750,5500
2012-05-09,5750,5500
2012-05-10,5750,5500
2012-05-11,5750,5500
2012-05-14,5750,5500
2012-05-15,5750,5500
2012-05-16,5750,5500
2012-05-17,5750,5500
2012-05-18,5750,5500
2012-05-21,5750,5500
2012-05-22,5750,5500
2012-05-23,5750,5500
2012-05-24,5750,5500
2012-05-25,5750,5500
2012-05-28,5750,5500
2012-05-29,5250,5000
2012-05-30,5250,5000
2012-05-31,5500,5250
2012-06-01,5250,5000
2012-06-04,5250,5000
2012-06-05,5250,5000
2012-06-06,5250,5000
2012-06-07,5250,5000
2012-06-08,5250,5000
2012-06-11,5250,5000
2012-06-12,5250,5000
2012-06-13,5250,5000
2012-06-14,5250,5000
2012-06-15,5250,5000
2012-06-18,5250,5000
2012-06-19,5250,5000
2012-06-20,5250,5000
2012-06-21,5250,5000
2012-06-22,5250,5000
2012-06-25,5250,5000
2012-06-26,5250,5000
2012-06-27,5250,5000
