Business Date,CL-002,CL-003
2012-01-03,5350,5350
2012-01-04,5350,5350
2012-01-05,5350,5350
2012-01-06,5350,5350
2012-01-09,5350,5350
2012-01-10,5350,5350
2012-01-11,5350,5350
2012-01-12,5350,5350
2012-01-13,5350,5350
2012-01-16,5350,5350
2012-01-17,5350,5350
2012-01-18,5350,5350
2012-01-19,5350,5350
2012-01-20,5600,5350
2012-01-23,5350,5350
2012-01-24,5350,5350
2012-01-25,5350,5350
2012-01-26,5350,5350
2012-01-27,5350,5350
2012-01-30,5350,5350
2012-01-31,5350,5350
2012-02-01,5350,5350
2012-02-02,5350,5350
2012-02-03,5350,5350
2012-02-06,5350,5350
2012-02-07,5350,5350
2012-02-08,5350,5350
2012-02-09,5350,5350
2012-02-10,5350,5350
2012-02-13,4850,4850
2012-02-14,4850,4850
2012-02-15,4850,4850
2012-02-16,4850,4850
2012-02-17,4850,4850
2012-02-20,4850,4850
2012-02-21,5100,4850
2012-02-22,4850,4850
2012-02-23,4850,4850
2012-02-24,4850,4850
2012-02-27,4850,4850
2012-02-28,4850,4850
2012-02-29,4850,4850
2012-03-01,4850,4850
2012-03-02,4850,4850
2012-03-05,4850,4850
2012-03-06,4850,4850
2012-03-07,4850,4850
2012-03-08,4850,4850
2012-03-09,4850,4850
2012-03-12,4850,4850
2012-03-13,4850,4850
2012-03-14,4850,4850
2012-03-15,4850,4850
2012-03-16,4850,4850
2012-03-19,4850,4850
2012-03-20,5100,4850
2012-03-21,4850,4850
2012-03-22,4850,4850
2012-03-23,4850,4850
2012-03-26,4850,4850
2012-03-27,4850,4850
2012-03-28,4850,4850
2012-03-29,4850,4850
2012-03-30,4850,4850
2012-04-02,4850,4850
2012-04-03,4850,4850
2012-04-04,4850,4850
2012-04-05,4850,4850
2012-04-06,4850,4850
2012-04-09,4850,4850
2012-04-10,4850,4850
2012-04-11,4850,4850
2012-04-12,4850,4850
2012-04-13,4850,4850
2012-04-16,4850,4850
2012-04-17,4850,4850
2012-04-18,4850,4850
2012-04-19,4850,4850
2012-04-20,5100,4850
2012-04-23,4850,4850
2012-04-24,4850,4850
2012-04-25,4850,4850
2012-04-26,4850,4850
2012-04-27,4850,4850
2012-04-30,4850,4850
2012-05-01,4850,4850
2012-05-02,4850,4850
2012-05-03,4850,4850
2012-05-04,4850,4850
2012-05-07,4850,4850
2012-05-08,4850,4850
2012-05-09,4850,4850
2012-05-10,4850,4850
2012-05-11,4850,4850
2012-05-14,4850,4850
2012-05-15,4850,4850
2012-05-16,4850,4850
