Date,Close,Open,Low,High,Volume,Turnover 
20-Jan-21,16.5,16.43,16.36,16.57,"278,056","4,597,699.77"
19-Jan-21,16.69,16.85,16.66,16.8866,"274,728","4,597,699.77"
15-Jan-21,16.9,16.94,16.81,16.95,"198,370","3,351,005.46"
14-Jan-21,16.95,16.67,16.6459,17,"275,648","4,647,760.29"
13-Jan-21,16.67,17,16.64,17.01,"451,160","7,580,662.13"
12-Jan-21,16.79,15.85,15.78,16.82,"1,124,595",#################
11-Jan-21,15.795,15.93,15.782,15.93,"237,623","3,760,204.91"
8-Jan-21,15.93,15.98,15.83,15.98,"291,617","4,639,529.06"
7-Jan-21,15.9,15.74,15.655,15.9,"223,236","3,528,334.74"
6-Jan-21,15.91,15.92,15.78,15.94,"145,400","2,308,786.09"
5-Jan-21,15.83,15.7,15.669,15.88,"218,713","3,456,324.05"
4-Jan-21,15.59,15.77,15.46,15.7899,"370,050","5,777,169.42"
31-Dec-20,15.58,15.45,15.36,15.6,"326,357","5,063,308.38"
30-Dec-20,15.3,15.1,15.08,15.35,"269,688","4,110,237.80"
29-Dec-20,15.13,14.82,14.82,15.15,"236,271","3,551,091.38"
28-Dec-20,14.89,14.8,14.71,14.9,"209,858","3,108,580.86"
24-Dec-20,14.76,14.71,14.69,14.76,"64,622","951,685.96"
23-Dec-20,14.67,14.6,14.6,14.74,"146,677","2,155,177.78"
22-Dec-20,14.55,14.53,14.46,14.58,"149,776","2,175,678.31"
21-Dec-20,14.505,14.39,14.37,14.53,"181,940","2,629,300.73"
18-Dec-20,14.43,14.3,14.2903,14.47,"285,284","4,106,473.34"
17-Dec-20,14.28,14.14,14.14,14.31,"215,361","3,067,290.09"
16-Dec-20,14.15,14.2,14.15,14.22,"287,044","4,065,150.43"
15-Dec-20,14.11,14.07,14.03,14.14,"111,770","1,573,523.73"
14-Dec-20,14.1,14.12,14.041,14.15,"90,819","1,279,783.74"
11-Dec-20,14.12,14,13.96,14.1317,"204,322","2,878,355.08"
10-Dec-20,14.03,14.12,14.01,14.19,"205,968","2,908,450.50"
9-Dec-20,14.08,14.02,13.995,14.11,"148,914","2,092,618.61"
8-Dec-20,13.97,14,13.94,14.05,"131,148","1,834,796.09"
7-Dec-20,14.05,13.97,13.8601,14.14,"196,374","2,750,226.12"
4-Dec-20,14,14.11,13.96,14.11,"196,021","2,750,427.92"
3-Dec-20,14.13,14.18,14.045,14.18,"503,101","7,092,407.35"
2-Dec-20,14.07,13.94,13.86,14.1,"1,254,916",#################
1-Dec-20,13.97,14.19,13.97,14.2,"248,989","3,500,135.17"
30-Nov-20,14.15,14.34,14.09,14.34,"185,425","2,635,127.60"
27-Nov-20,14.39,14.17,14.161,14.39,"92,498","1,320,207.66"
25-Nov-20,14.18,14.32,14.18,14.32,"191,942","2,728,679.28"
24-Nov-20,14.31,14.21,14.13,14.33,"333,102","4,741,647.08"
23-Nov-20,14.31,14.32,14.25,14.3648,"157,893","2,258,427.24"
20-Nov-20,14.16,14.26,14.16,14.2938,"92,617","1,316,588.81"
19-Nov-20,14.14,14.11,14.07,14.22,"235,295","3,329,008.98"
18-Nov-20,14.22,14.16,14.16,14.299,"134,444","1,911,784.79"
17-Nov-20,14.1,14.16,14.0801,14.18,"151,786","2,145,553.33"
16-Nov-20,14.09,14,13.95,14.1,"136,672","1,920,142.19"
13-Nov-20,13.96,13.88,13.88,14.04,"205,102","2,862,764.03"
12-Nov-20,13.9,14.08,13.85,14.1085,"309,201","4,317,811.18"
11-Nov-20,14.13,14.28,14.08,14.3,"185,602","2,629,058.12"
10-Nov-20,14.19,13.84,13.818,14.28,"360,949","5,074,066.12"
9-Nov-20,13.72,13.72,13.695,13.8,"137,686","1,893,818.94"
6-Nov-20,13.68,13.73,13.68,13.79,"106,492","1,462,293.17"
5-Nov-20,13.73,13.83,13.7091,13.91,"228,981","3,159,758.96"
4-Nov-20,13.61,13.55,13.4322,13.65,"406,781","5,497,609.96"
3-Nov-20,13.45,13.39,13.39,13.48,"101,684","1,367,228.53"
2-Nov-20,13.31,13.22,13.22,13.34,"160,236","2,129,699.54"
30-Oct-20,13.33,13.33,13.28,13.4,"152,384","2,033,355.81"
29-Oct-20,13.24,13.23,13.2,13.36,"297,745","3,951,676.28"
28-Oct-20,13.31,13.4,13.3,13.4799,"403,996","5,409,887.63"
27-Oct-20,13.68,13.78,13.67,13.86,"117,791","1,620,114.18"
26-Oct-20,13.73,13.75,13.65,13.79,"168,755","2,317,990.40"
23-Oct-20,13.82,13.79,13.78,13.85,"204,643","2,825,679.47"
22-Oct-20,13.8,13.8,13.74,13.8878,"138,283","1,909,267.92"
21-Oct-20,13.82,13.8,13.76,13.878,"170,900","2,362,841.79"
20-Oct-20,13.73,13.68,13.66,13.77,"171,481","2,351,742.53"
19-Oct-20,13.66,13.6,13.6,13.68,"297,503","4,053,742.22"
16-Oct-20,13.57,13.65,13.5523,13.66,"167,020","2,272,986.46"
15-Oct-20,13.55,13.36,13.36,13.597,"166,568","2,251,390.27"
14-Oct-20,13.43,13.35,13.34,13.46,"337,154","4,522,018.24"
13-Oct-20,13.38,13.29,13.29,13.42,"341,720","4,567,974.50"
12-Oct-20,13.3,13.49,13.2935,13.5,"594,311","7,940,756.25"
9-Oct-20,13.5,13.37,13.32,13.5462,"244,131","3,278,375.40"
8-Oct-20,13.31,13.48,13.2801,13.5,"210,260","2,814,768.68"
7-Oct-20,13.38,13.4,13.3589,13.48,"167,068","2,240,967.30"
6-Oct-20,13.29,13.26,13.25,13.4177,"307,017","4,095,187.77"
5-Oct-20,13.19,13.2,13.11,13.2251,"148,492","1,956,673.91"
2-Oct-20,13.13,13.14,13.11,13.25,"122,574","1,615,796.79"
1-Oct-20,13.24,13.25,13.2,13.3,"142,971","1,894,134.35"
30-Sep-20,13.11,12.72,12.69,13.28,"1,181,927",#################
29-Sep-20,12.72,12.72,12.645,12.74,"161,365","2,046,374.42"
28-Sep-20,12.77,12.69,12.59,12.85,"309,560","3,932,204.99"
25-Sep-20,12.75,12.76,12.7,12.81,"168,171","2,145,861.33"
24-Sep-20,12.72,12.75,12.69,12.785,"462,254","5,882,799.34"
23-Sep-20,12.87,12.86,12.81,12.885,"991,534",#################
22-Sep-20,12.89,12.92,12.87,13.0198,"239,214","3,092,250.57"
21-Sep-20,12.95,13.13,12.88,13.13,"560,637","7,275,632.95"
18-Sep-20,13.19,13.09,13.0426,13.19,"499,567","6,556,992.18"
17-Sep-20,13.03,12.88,12.88,13.09,"516,332","6,727,648.99"
16-Sep-20,12.95,12.85,12.846,12.9778,"146,578","1,893,104.73"
15-Sep-20,12.87,12.91,12.8,12.91,"408,738","5,250,511.84"
14-Sep-20,12.95,12.97,12.88,12.97,"416,650","5,388,264.59"
11-Sep-20,12.99,12.91,12.7901,12.99,"466,488","6,022,965.69"
10-Sep-20,12.84,12.75,12.74,12.87,"236,685","3,037,132.09"
9-Sep-20,12.72,12.73,12.6626,12.74,"167,505","2,128,669.66"
8-Sep-20,12.76,12.63,12.6,12.77,"362,031","4,595,642.82"
4-Sep-20,12.66,12.66,12.55,12.66,"223,863","2,825,758.91"
3-Sep-20,12.54,12.6058,12.51,12.66,"305,744","3,842,526.23"
2-Sep-20,12.66,12.64,12.52,12.66,"135,214","1,704,752.23"
1-Sep-20,12.63,12.52,12.52,12.65,"282,078","3,553,139.56"
31-Aug-20,12.62,12.74,12.55,12.76,"621,717","7,867,195.51"
28-Aug-20,12.7,12.67,12.56,12.71,"355,858","4,494,283.62"
27-Aug-20,12.67,12.65,12.6,12.68,"306,755","3,880,615.85"
26-Aug-20,12.58,12.56,12.48,12.58,"445,776","5,589,588.15"
25-Aug-20,12.58,12.47,12.43,12.59,"629,359","7,891,523.27"
24-Aug-20,12.29,12.2,12.2,12.29,"407,938","4,999,341.87"
