"Date","Close","Open","Low","High","Volume","Turnover"
"20-Jan-21",20.38,20.34,20.22,20.46,"198,005","6,195,742.14"
"19-Jan-21",20.66,20.92,20.635,20.92,"299,093","6,195,742.14"
"15-Jan-21",21.04,21.1,21.01,21.14,"116,450","2,452,329.60"
"14-Jan-21",21.18,20.93,20.835,21.23,"241,711","5,079,374.79"
"13-Jan-21",20.8,20.99,20.8,20.99,"256,381","5,352,792.11"
"12-Jan-21",21,20.45,20.1003,21.2,"493,906","#################"
"11-Jan-21",20.33,20.6,20.1738,20.6,"217,084","4,406,562.74"
"8-Jan-21",20.44,20.44,20.28,20.5629,"187,254","3,819,759.68"
"7-Jan-21",20.2,20.07,20,20.23,"239,096","4,803,339.11"
"6-Jan-21",20.27,20.35,20.16,20.43,"222,170","4,511,094.67"
"5-Jan-21",20.08,19.89,19.8728,20.3802,"326,651","6,578,011.04"
"4-Jan-21",19.58,19.9,19.4,20,"226,749","4,465,415.52"
"31-Dec-20",19.47,19.57,19.4601,19.5817,"166,366","3,244,790.26"
"30-Dec-20",19.32,19.21,19.17,19.4,"128,506","2,477,411.13"
"29-Dec-20",19.32,18.72,18.72,19.33,"213,333","4,071,386.89"
"28-Dec-20",18.75,19.16,18.68,19.16,"155,459","2,926,094.03"
"24-Dec-20",18.9,18.97,18.8553,18.97,"79,006","1,495,970.15"
"23-Dec-20",18.88,18.91,18.82,18.95,"94,954","1,794,265.25"
"22-Dec-20",18.78,18.79,18.675,18.86,"90,145","1,690,887.59"
"21-Dec-20",18.78,18.5,18.4901,18.79,"156,187","2,914,344.98"
"18-Dec-20",18.49,18.43,18.35,18.548,"149,662","2,758,521.79"
"17-Dec-20",18.245,18.09,18.0646,18.28,"95,110","1,730,300.47"
"16-Dec-20",18.04,18.1,18.0022,18.1824,"59,938","1,084,956.39"
"15-Dec-20",18.05,17.88,17.7712,18.085,"98,087","1,760,565.30"
"14-Dec-20",17.88,17.84,17.77,17.9035,"57,194","1,019,800.23"
"11-Dec-20",17.75,17.7,17.62,17.79,"78,207","1,387,639.64"
"10-Dec-20",17.71,17.72,17.6,17.93,"194,364","3,460,359.88"
"9-Dec-20",17.71,17.67,17.6,17.71,"90,063","1,591,266.10"
"8-Dec-20",17.52,17.6,17.48,17.6176,"98,753","1,731,951.07"
"7-Dec-20",17.63,17.5,17.48,17.76,"138,899","2,446,155.22"
"4-Dec-20",17.64,17.69,17.59,17.7,"122,381","2,159,797.32"
"3-Dec-20",17.67,17.6,17.573,17.73,"80,987","1,430,130.34"
"2-Dec-20",17.51,17.47,17.36,17.6199,"331,997","5,799,837.58"
"1-Dec-20",17.64,17.7,17.58,17.79,"143,563","2,536,903.92"
"30-Nov-20",17.71,17.9,17.7,17.91,"220,068","3,913,351.91"
"27-Nov-20",18.04,17.89,17.89,18.04,"90,153","1,622,441.76"
"25-Nov-20",17.93,18.01,17.9188,18.0446,"105,647","1,898,636.45"
"24-Nov-20",18.07,17.95,17.83,18.09,"260,179","4,664,817.79"
"23-Nov-20",18.06,18.05,17.97,18.07,"146,122","2,633,526.21"
"20-Nov-20",17.88,18.01,17.8502,18.04,"168,722","3,022,678.61"
"19-Nov-20",17.85,17.74,17.66,17.857,"112,695","2,004,725.73"
"18-Nov-20",17.8,17.85,17.77,17.9754,"135,886","2,430,946.74"
"17-Nov-20",17.75,17.75,17.71,17.85,"246,845","4,385,038.72"
"16-Nov-20",17.64,17.6,17.4739,17.65,"81,783","1,437,356.68"
"13-Nov-20",17.51,17.47,17.47,17.61,"124,072","2,174,673.32"
"12-Nov-20",17.44,17.42,17.3282,17.47,"187,164","3,257,511.22"
"11-Nov-20",17.49,17.42,17.36,17.52,"199,062","3,474,985.04"
"10-Nov-20",17.4,16.96,16.96,17.49,"264,905","4,575,145.29"
"9-Nov-20",16.87,16.91,16.87,17.005,"138,024","2,337,118.16"
"6-Nov-20",16.83,16.8,16.765,16.87,"85,277","1,433,845.51"
"5-Nov-20",16.81,16.8,16.74,16.9,"225,851","3,797,463.67"
