Date,Close,Open,Low,High,Volume,Turnover
20-Jan-21,26.7,26.87,26.67,26.87,"16,237","654,375.03"
19-Jan-21,26.47,26.55,26.45,26.65,"24,665","654,375.03"
15-Jan-21,26.2,26.49,26.1,26.52,"26,424","692,978.39"
14-Jan-21,26.76,26.35,26.23,26.78,"28,794","764,631.78"
13-Jan-21,26.61,26.75,26.4835,26.82,"27,254","725,459.40"
12-Jan-21,26.74,26.37,26.37,26.88,"49,423","1,317,442.41"
11-Jan-21,26.1456,26.1,26.04,26.33,"91,108","2,384,101.88"
8-Jan-21,26.59,25.95,25.95,26.635,"49,576","1,306,502.52"
7-Jan-21,25.6,25.34,25.225,25.61,"18,830","479,187.05"
6-Jan-21,25.28,25.07,24.84,25.6414,"51,965","1,314,465.09"
5-Jan-21,24.96,24.27,24.2,25.095,"76,552","1,892,648.65"
4-Jan-21,23.5188,24.31,23.4693,24.3665,"62,799","1,497,051.69"
31-Dec-20,24.31,23.98,23.88,24.31,"41,472","1,000,473.36"
30-Dec-20,24.08,23.81,23.75,24.3,"32,529","782,720.19"
29-Dec-20,23.72,23.72,23.59,23.76,"25,588","606,542.95"
28-Dec-20,23.4,23.6,23.4,23.84,"32,900","777,796.59"
24-Dec-20,23.6178,23.63,23.45,23.63,"11,795","277,626.82"
23-Dec-20,23.67,23.14,23.14,23.759,"24,356","572,285.27"
22-Dec-20,22.96,23.02,22.88,23.17,"59,582","1,373,768.97"
21-Dec-20,23.2266,23.04,22.8009,23.35,"80,384","1,856,562.14"
18-Dec-20,23.9,23.81,23.76,24.05,"48,989","1,171,077.05"
17-Dec-20,23.8026,23.42,23.42,23.84,"44,628","1,054,489.91"
16-Dec-20,23.21,22.84,22.76,23.33,"32,700","755,864.35"
15-Dec-20,22.73,22.62,22.62,22.8,"38,875","879,838.64"
14-Dec-20,22.65,22.51,22.11,22.6799,"37,760","848,865.97"
11-Dec-20,22.42,22.5,22.3197,22.55,"27,541","616,662.31"
10-Dec-20,22.57,22.39,22.39,22.89,"69,795","1,580,142.18"
9-Dec-20,22,21.8,21.56,22.03,"51,455","1,121,050.36"
8-Dec-20,21.6,21.49,21.49,21.74,"23,694","511,173.49"
7-Dec-20,21.52,21.46,21.44,21.83,"27,376","592,153.56"
4-Dec-20,21.68,21.63,21.62,21.8599,"73,716","1,600,103.58"
3-Dec-20,21.63,21.3,21.3,21.71,"50,359","1,086,083.60"
2-Dec-20,21.28,21,21,21.52,"66,226","1,407,849.69"
1-Dec-20,20.9033,21.15,20.79,21.21,"64,867","1,362,178.48"
30-Nov-20,21.23,21.5,21.1068,21.5,"75,344","1,605,394.29"
27-Nov-20,21.5914,21.6,21.55,21.71,"29,234","631,682.17"
25-Nov-20,21.835,21.69,21.47,21.925,"41,388","897,697.91"
24-Nov-20,21.45,21.14,21.14,21.64,"96,349","2,061,266.07"
23-Nov-20,20.4781,20.38,20.22,20.6,"116,701","2,386,479.99"
20-Nov-20,20.15,19.93,19.93,20.15,"22,853","458,801.73"
19-Nov-20,19.98,19.77,19.67,20,"37,095","737,400.42"
18-Nov-20,19.84,19.95,19.84,20.16,"68,196","1,366,285.89"
17-Nov-20,19.825,19.48,19.48,19.88,"103,010","2,017,300.92"
16-Nov-20,19.73,20,19.655,20.16,"270,422","5,362,117.93"
13-Nov-20,19.335,19.54,19.2,19.5725,"62,262","1,204,129.33"
12-Nov-20,19.69,20.24,19.66,20.315,"52,545","1,052,357.64"
11-Nov-20,20.2294,20.93,20.16,20.98,"78,835","1,622,219.00"
10-Nov-20,20.45,20.13,20.07,20.51,"130,916","2,665,521.16"
9-Nov-20,19.82,20.27,19.79,20.41,"173,384","3,496,140.01"
6-Nov-20,18.72,18.83,18.48,18.83,"49,328","920,968.19"
5-Nov-20,19.07,18.92,18.77,19.2,"121,466","2,323,194.43"
4-Nov-20,18.96,18.74,18.5101,19.1,"110,035","2,073,532.12"
3-Nov-20,18.55,18.55,18.4058,18.6899,"87,702","1,624,922.38"
2-Nov-20,18.2,17.41,17.4,18.22,"88,660","1,571,365.76"
30-Oct-20,17.6594,17.56,17.3148,17.75,"75,556","1,326,463.84"
29-Oct-20,17.65,17.32,17.2343,17.87,"134,658","2,362,146.73"
28-Oct-20,18.23,18.42,18.1,18.47,"213,574","3,917,172.48"
27-Oct-20,19.31,19.12,19.02,19.44,"122,270","2,356,262.37"
26-Oct-20,18.81,19.04,18.7701,19.133,"197,848","3,733,629.51"
23-Oct-20,19.32,19.64,19.23,19.64,"294,637","5,696,329.57"
22-Oct-20,19.68,19.36,19.36,19.86,"76,154","1,499,087.31"
21-Oct-20,19.4,19.86,19.2294,20.0135,"74,710","1,461,260.07"
20-Oct-20,20.04,19.65,19.65,20.22,"66,135","1,322,557.17"
19-Oct-20,19.6,19.82,19.6,19.9,"31,365","621,749.40"
16-Oct-20,19.74,19.54,19.37,19.8041,"80,541","1,581,939.47"
15-Oct-20,20.06,19.54,19.44,20.0854,"203,879","3,989,316.86"
14-Oct-20,20.29,20.24,20.15,20.4133,"25,100","508,560.06"
13-Oct-20,20,20.09,19.9465,20.09,"50,057","1,003,725.02"
12-Oct-20,19.9401,20.27,19.82,20.27,"123,816","2,484,291.32"
9-Oct-20,20.36,20.44,20.3204,20.72,"96,676","1,984,408.89"
8-Oct-20,20.9,20.81,20.75,20.98,"131,218","2,738,270.65"
7-Oct-20,20.38,20.36,20.03,20.45,"53,312","1,080,608.69"
6-Oct-20,20.65,20.93,20.5818,21.04,"129,629","2,705,462.96"
5-Oct-20,20.29,20.14,20.1129,20.59,"193,754","3,944,659.18"
2-Oct-20,18.9947,18.7,18.58,19.22,"155,482","2,937,046.69"
1-Oct-20,19.52,19.56,19.05,19.68,"152,075","2,925,590.20"
30-Sep-20,19.92,19.7,19.67,20.03,"50,883","1,005,893.40"
29-Sep-20,19.7653,20.25,19.6,20.28,"38,924","773,955.05"
28-Sep-20,20.5615,20.26,20.1,20.65,"48,320","988,640.75"
25-Sep-20,20.16,19.91,19.89,20.205,"40,603","814,709.87"
24-Sep-20,19.78,19.49,19.43,19.9347,"77,855","1,523,876.50"
23-Sep-20,19.49,19.55,19.47,19.9599,"80,486","1,583,189.22"
22-Sep-20,19.4173,19.5,19.21,19.66,"71,452","1,385,101.76"
21-Sep-20,19.72,19.86,19.31,19.95,"209,571","4,117,420.04"
18-Sep-20,20.42,20.33,20.23,20.53,"183,404","3,737,417.63"
17-Sep-20,20.4229,19.88,19.7955,20.45,"164,999","3,335,252.33"
16-Sep-20,19.904,19.25,19.14,19.93,"137,935","2,699,784.18"
15-Sep-20,18.97,18.55,18.4702,19.04,"66,840","1,253,285.94"
14-Sep-20,18.49,18.31,18.3,18.6,"96,952","1,789,987.73"
11-Sep-20,18.39,18.15,18.15,18.6,"47,995","882,703.84"
10-Sep-20,18.19,18.69,18.165,18.87,"89,397","1,651,929.38"
9-Sep-20,18.66,18.38,18.26,18.81,"121,189","2,249,798.38"
8-Sep-20,18.39,18.38,18.1,18.52,"227,311","4,165,174.51"
4-Sep-20,19.51,19.76,19.26,19.82,"181,373","3,532,237.83"
3-Sep-20,20.11,19.6,19.55,20.22,"141,594","2,812,975.57"
2-Sep-20,20.07,20.53,19.91,20.54,"146,088","2,936,461.48"
1-Sep-20,20.47,20.37,20.37,20.75,"116,375","2,393,145.20"
31-Aug-20,20.36,20.58,20.25,20.64,"81,973","1,680,122.18"
28-Aug-20,20.85,20.4754,20.42,20.85,"174,159","3,597,653.27"
27-Aug-20,20.27,20.59,20.02,20.59,"354,013","7,181,383.61"
26-Aug-20,21.06,20.76,20.675,21.18,"177,537","3,719,323.50"
25-Aug-20,21.14,21.48,20.98,21.58,"181,468","3,854,217.90"
24-Aug-20,21.07,20.73,20.63,21.18,"172,553","3,606,635.84"
21-Aug-20,20.13,20.17,19.79,20.3,"103,757","2,076,458.91"
20-Aug-20,20.52,19.91,19.8,20.55,"86,367","1,737,715.11"
19-Aug-20,20.39,20.06,19.9031,20.51,"70,914","1,439,141.56"
18-Aug-20,20.34,20.02,20.02,20.46,"116,167","2,351,104.81"
17-Aug-20,20.29,19.89,19.89,20.34,"124,571","2,513,861.71"
14-Aug-20,19.89,19.71,19.59,19.9224,"51,438","1,017,245.49"
13-Aug-20,19.68,19.72,19.42,19.9,"51,532","1,012,367.20"
12-Aug-20,19.8,19.67,19.61,19.889,"88,902","1,754,465.90"
11-Aug-20,19.17,19.95,19.17,20.02,"111,112","2,164,493.55"
10-Aug-20,19.69,19.76,19.59,19.9,"114,556","2,262,838.89"
7-Aug-20,19.33,19.5,19.1,19.5,"48,782","941,681.58"
6-Aug-20,19.68,19.8,19.55,19.9,"80,274","1,586,303.06"
5-Aug-20,19.53,20,19.45,20.15,"140,240","2,790,037.76"
4-Aug-20,19.28,19.07,19.06,19.59,"88,260","1,700,761.57"
3-Aug-20,19.29,19,18.88,19.58,"119,237","2,303,018.40"
31-Jul-20,18.72,18.83,18.315,18.87,"117,894","2,194,641.14"
30-Jul-20,19,18.9,18.1,19.105,"338,636","6,341,353.29"
29-Jul-20,19.37,19.57,19.3,19.7118,"81,899","1,594,272.02"
28-Jul-20,19.66,19.7,19.625,19.83,"69,018","1,362,392.16"
27-Jul-20,19.88,19.73,19.41,19.9841,"126,162","2,482,444.25"
24-Jul-20,19.99,19.76,19.66,20.0265,"301,267","6,013,480.96"
23-Jul-20,19.86,19.86,19.6812,20.23,"120,560","2,403,860.81"
22-Jul-20,20.12,19.9,19.88,20.2,"78,055","1,563,737.07"
21-Jul-20,20.11,19.98,19.97,20.22,"165,006","3,314,944.26"
20-Jul-20,19.32,18.94,18.94,19.42,"100,032","1,923,108.15"
17-Jul-20,19.18,19.15,18.78,19.32,"104,186","1,986,976.35"
16-Jul-20,19.37,19.62,19.25,19.6538,"80,778","1,567,452.27"
15-Jul-20,19.76,19.84,19.6,20.0387,"114,858","2,283,389.77"
14-Jul-20,19.65,19.2,19.13,19.75,"85,423","1,663,798.35"
13-Jul-20,19.71,20,19.67,20.27,"180,259","3,604,867.85"
10-Jul-20,20.11,19.94,19.8,20.2816,"172,935","3,466,257.04"
9-Jul-20,19.64,20.16,19.59,20.16,"170,210","3,376,636.95"
8-Jul-20,20.21,19.94,19.92,20.37,"132,563","2,673,183.07"
7-Jul-20,19.94,19.64,19.6,20.1899,"336,702","6,691,548.85"
6-Jul-20,19.58,19.44,19.39,19.68,"167,334","3,269,208.85"
2-Jul-20,19.56,19.44,19.1674,19.84,"324,342","6,320,763.61"
1-Jul-20,19.1,19.24,18.75,19.368,"145,491","2,777,558.42"
30-Jun-20,18.95,18.74,18.69,19.2185,"122,828","2,327,378.43"
29-Jun-20,18.75,18.48,18.2,18.85,"249,712","4,626,023.96"
26-Jun-20,17.89,18.85,17.85,18.88,"248,215","4,512,365.26"
25-Jun-20,18.96,18.34,18.3,18.9987,"295,043","5,510,308.20"
24-Jun-20,18.78,19.95,18.61,20.03,"356,356","6,871,263.56"
23-Jun-20,20.42,20.6,20.2203,20.735,"187,290","3,839,053.64"
22-Jun-20,20.31,19.99,19.88,20.34,"154,801","3,121,030.25"
19-Jun-20,19.85,20,19.43,20.15,"273,975","5,458,124.04"
18-Jun-20,19.78,19.26,19.2199,19.83,"173,890","3,409,680.35"
17-Jun-20,19.13,18.95,18.72,19.3,"119,724","2,287,998.12"
16-Jun-20,19.11,19.13,18.64,19.385,"168,257","3,201,604.64"
15-Jun-20,18.52,17.51,17.435,18.65,"225,752","4,074,932.21"
12-Jun-20,17.79,17.87,17.43,18,"259,116","4,607,892.75"
11-Jun-20,17.58,17.9,17.3001,18.0799,"499,503","8,848,296.64"
10-Jun-20,19.04,19,18.8,19.2775,"338,135","6,430,929.92"
9-Jun-20,19.1,18.8,18.7188,19.25,"249,964","4,721,935.64"
8-Jun-20,19.02,19.21,18.865,19.34,"345,699","6,584,045.89"
5-Jun-20,19.17,18.98,18.85,19.2467,"331,777","6,318,845.04"
4-Jun-20,18.09,17.72,17.7153,18.21,"155,245","2,784,002.55"
3-Jun-20,17.64,17.67,17.3,17.83,"283,666","4,993,554.54"
2-Jun-20,17.68,17.4,17.27,17.76,"443,203","7,816,493.05"
1-Jun-20,16.92,16.89,16.535,17.02,"202,042","3,398,228.50"
29-May-20,16.89,16.15,16,17.16,"280,963","4,659,878.61"
28-May-20,16.26,16.1,15.95,16.52,"257,569","4,166,209.60"
27-May-20,16.14,16.32,15.8984,16.4099,"419,456","6,791,763.11"
26-May-20,16.81,17,16.64,17.15,"330,094","5,578,048.44"
22-May-20,16.62,16.45,16.07,16.7,"299,611","4,905,708.64"
21-May-20,16.85,17.06,16.5592,17.11,"270,120","4,551,375.52"
20-May-20,16.83,17.18,16.5305,17.43,"666,530",#################
19-May-20,16.74,16.76,16.48,16.93,"326,616","5,462,175.71"
18-May-20,16.69,16.52,16.44,16.93,"841,014",#################
15-May-20,15.6,15.29,15.12,15.63,"439,499","6,751,886.95"
14-May-20,14.88,14.12,14.1,14.92,"347,048","5,013,339.54"
13-May-20,13.53,14.49,13.3601,14.5965,"585,316","8,131,531.76"
12-May-20,14.69,15.07,14.53,15.0701,"271,755","4,003,450.23"
11-May-20,15.04,15.58,14.7001,15.6499,"564,112","8,575,534.54"
8-May-20,15.3,15,14.6623,15.36,"348,956","5,254,217.21"
7-May-20,14.75,15.37,14.6438,15.488,"559,506","8,416,498.09"
6-May-20,14.18,14.27,13.6301,14.42,"452,320","6,349,230.92"
5-May-20,14.48,14.31,14.15,14.6,"710,059",#################
4-May-20,13.49,12.46,12.3202,13.49,"838,696",#################
1-May-20,12.32,12.35,11.8849,12.52,"652,366","7,896,697.72"
30-Apr-20,12.43,12.86,11.5201,13.22,"2,225,887",#################
29-Apr-20,12.22,12.24,12.04,12.775,"836,756",#################
28-Apr-20,11.36,11.29,10.95,11.42,"413,825","4,638,449.27"
27-Apr-20,11.03,10.89,10.77,11.37,"590,253","6,498,674.15"
24-Apr-20,11.35,10.95,10.67,11.42,"806,534","9,055,067.92"
23-Apr-20,11.08,12.12,10.83,12.5,"2,350,098",#################
22-Apr-20,11.31,10.83,10.7001,11.4,"972,201",#################
21-Apr-20,10.02,9.95,9.71,10.49,"1,362,051",#################
20-Apr-20,11.76,11.83,11.51,12.57,"940,006",#################
17-Apr-20,12.45,12.29,12.19,12.7089,"1,216,793",#################
16-Apr-20,12.19,12.8,12.05,13.36,"1,415,149",#################
15-Apr-20,12.52,12.4,12.1,12.7801,"328,049","4,100,399.68"
14-Apr-20,12.6,12.75,12.3,13.1,"1,047,935",#################
13-Apr-20,12.39,12.01,11.85,12.4,"253,367","3,077,918.24"
9-Apr-20,11.81,12.18,11.5829,13.25,"714,284","8,749,477.23"
8-Apr-20,12.12,11.46,11.01,12.14,"333,133","3,864,407.32"
7-Apr-20,11.34,12.58,11.15,12.6,"400,887","4,738,113.94"
6-Apr-20,12.2,11.98,11.745,12.4857,"361,449","4,382,255.80"
3-Apr-20,11.97,12.58,11.5067,12.7,"351,223","4,265,785.90"
2-Apr-20,11.4,10.08,9.91,12.5899,"892,674",#################
1-Apr-20,9.59,9.42,9.11,9.74,"465,199","4,376,615.02"
31-Mar-20,10.12,10.72,10.05,11.3,"625,336","6,659,576.31"
30-Mar-20,10.62,9.68,9.25,10.72,"450,487","4,447,667.99"
27-Mar-20,10.56,10.15,9.5,10.74,"516,226","5,247,579.25"
26-Mar-20,10.62,10.61,9.95,11.53,"554,255","5,996,669.09"
25-Mar-20,10.65,9.29,9.051,11.04,"588,935","5,945,174.82"
24-Mar-20,8.9,9.54,8.22,10.2912,"640,789","5,798,589.75"
23-Mar-20,9.32,10.1,8.185,10.13,"683,582","6,417,781.14"
20-Mar-20,11.12,11.86,10.8,11.95,"251,616","2,857,199.90"
19-Mar-20,11.8,11.48,11.15,12.125,"109,508","1,279,824.16"
18-Mar-20,11.57,11.82,10.9121,12.115,"140,627","1,628,117.76"
