Date,Close,Open,Low,High,Volume,Turnover
20-Jan-21,35.98,36.14,35.92,36.2,"1,237,220","136,017,833.76"
19-Jan-21,35.75,35.71,35.53,35.89,"3,804,303","136,017,833.76"
15-Jan-21,35.34,35.72,35.125,35.82,"5,492,212","194,684,717.67"
14-Jan-21,36.24,35.7,35.61,36.32,"5,175,030","186,214,033.91"
13-Jan-21,35.8,35.77,35.6,36.1,"4,456,975","159,855,812.49"
12-Jan-21,35.9,35.65,35.57,36.01,"4,185,837","150,013,369.94"
11-Jan-21,35.26,34.88,34.81,35.405,"5,113,090","179,622,341.14"
8-Jan-21,35.43,34.93,34.75,35.5,"7,554,646","265,156,327.82"
7-Jan-21,34.53,34.35,34.29,34.585,"4,103,115","141,300,589.54"
6-Jan-21,34.11,33.94,33.56,34.47,"7,461,058","254,555,566.75"
5-Jan-21,33.94,33.38,33.38,34.12,"13,616,817","461,199,308.13"
4-Jan-21,32.38,33,32.24,33.29,"14,340,206","467,701,298.07"
31-Dec-20,33.01,32.73,32.63,33.105,"4,424,897","145,402,264.65"
30-Dec-20,32.91,32.58,32.55,33.2168,"4,840,011","159,195,838.28"
29-Dec-20,32.78,32.95,32.66,32.99,"3,630,959","119,217,141.12"
28-Dec-20,32.59,32.88,32.51,33.05,"4,917,521","161,472,643.71"
24-Dec-20,32.92,32.66,32.57,32.92,"1,694,292","55,488,017.97"
23-Dec-20,32.75,32.33,32.33,33.08,"5,077,488","166,224,198.47"
22-Dec-20,32.09,32.28,32,32.47,"3,769,374","121,313,367.13"
21-Dec-20,32.64,32.18,32.12,32.84,"6,144,336","199,097,276.63"
18-Dec-20,33.48,33.33,33.26,33.67,"4,758,989","159,354,551.01"
17-Dec-20,33.16,33.01,32.92,33.227,"4,534,039","150,002,976.03"
16-Dec-20,32.74,32.55,32.32,32.81,"4,349,302","141,768,626.53"
15-Dec-20,32.54,32.32,32.25,32.6224,"3,509,357","113,996,069.97"
14-Dec-20,32.17,32.14,31.37,32.2281,"4,877,234","155,684,323.67"
11-Dec-20,31.94,32.03,31.77,32.1327,"3,394,047","108,426,800.29"
10-Dec-20,32.11,31.84,31.83,32.645,"7,572,017","244,066,791.37"
9-Dec-20,31.34,31.55,30.9,31.66,"7,632,750","238,973,025.64"
8-Dec-20,31.41,31.22,31.04,31.465,"3,785,968","118,547,428.58"
7-Dec-20,31.4,31.44,31.31,31.87,"4,785,444","150,793,038.57"
4-Dec-20,31.56,31.31,31.28,31.74,"6,930,198","218,494,371.22"
3-Dec-20,31.25,30.89,30.81,31.36,"5,559,714","173,109,038.56"
2-Dec-20,30.97,30.58,30.58,31.43,"7,064,310","219,323,067.13"
1-Dec-20,30.62,30.92,30.34,30.96,"4,543,120","139,234,763.07"
30-Nov-20,30.97,31.12,30.68,31.285,"6,778,489","210,128,391.64"
27-Nov-20,31.22,31.12,31.03,31.36,"2,904,863","90,537,498.12"
25-Nov-20,31.37,31.3,31.02,31.68,"5,865,626","183,632,063.23"
24-Nov-20,30.8,30.23,30.21,31.03,"9,098,520","279,520,010.40"
23-Nov-20,29.52,29.58,29.41,29.72,"4,398,041","130,152,587.94"
20-Nov-20,29.27,28.93,28.92,29.36,"4,908,811","142,935,610.02"
19-Nov-20,29.09,28.93,28.75,29.14,"2,934,277","84,911,878.00"
18-Nov-20,29,29.07,28.96,29.36,"4,112,069","119,955,373.76"
17-Nov-20,28.87,28.57,28.48,29.015,"3,614,024","103,890,497.20"
16-Nov-20,28.81,29.12,28.66,29.17,"4,576,603","132,354,467.74"
13-Nov-20,28.13,28.52,28.06,28.5701,"4,373,548","123,539,102.25"
12-Nov-20,28.66,29.21,28.62,29.4366,"6,091,355","176,900,151.14"
11-Nov-20,29.04,29.7,28.92,29.75,"6,376,554","187,338,100.44"
10-Nov-20,28.91,28.66,28.47,28.97,"6,602,443","189,994,839.10"
9-Nov-20,28.07,28.59,28.06,28.82,"9,840,283","280,199,299.68"
6-Nov-20,26.47,26.83,26.2,26.87,"5,117,706","135,541,721.21"
5-Nov-20,27.16,27.41,27.08,27.7,"5,115,014","139,719,246.51"
4-Nov-20,27.44,27.12,26.6889,27.63,"5,982,511","162,871,155.50"
3-Nov-20,26.72,26.94,26.45,27.01,"7,241,315","193,597,369.42"
2-Nov-20,26.26,25.16,25.14,26.29,"5,385,148","138,829,792.48"
30-Oct-20,25.25,25.31,24.96,25.4,"5,426,085","136,439,209.37"
29-Oct-20,25.6,24.92,24.75,25.74,"8,401,411","212,667,249.03"
28-Oct-20,26.31,26.44,26.09,26.56,"7,010,972","184,730,079.31"
27-Oct-20,27.69,27.31,27.23,27.95,"3,037,176","83,810,636.85"
26-Oct-20,27.11,27.33,26.95,27.46,"4,646,723","126,125,843.56"
23-Oct-20,27.88,28.55,27.7815,28.56,"3,986,229","111,814,092.19"
22-Oct-20,28.51,28.3,28.28,28.75,"3,236,867","92,233,952.34"
21-Oct-20,28.1,28.61,27.93,28.78,"5,165,740","146,204,303.84"
20-Oct-20,29.05,28.48,28.46,29.31,"4,394,236","126,949,112.63"
19-Oct-20,28.59,28.83,28.585,29.01,"2,802,970","80,761,725.49"
16-Oct-20,28.72,28.59,28.33,28.865,"2,517,795","72,277,444.21"
15-Oct-20,28.94,28.07,28.005,28.95,"5,281,400","149,790,049.65"
14-Oct-20,28.98,28.89,28.8,29.05,"3,195,994","92,501,264.56"
13-Oct-20,28.46,28.46,28.27,28.65,"3,624,048","103,135,774.04"
