Date,Close,Open,Low,High,Volume,Turnover 
20-Jan-21,6.38,6.33,6.3,6.435,"428,022",
19-Jan-21,6.46,6.5,6.42,6.54,"829,685","5,368,727.37"
15-Jan-21,6.44,6.46,6.37,6.495,"622,317","4,002,110.47"
14-Jan-21,6.42,6.32,6.31,6.44,"434,424","2,777,620.00"
13-Jan-21,6.33,6.42,6.3,6.42,"493,690","3,136,153.23"
12-Jan-21,6.4,6.21,6.2,6.41,"1,208,078","7,636,953.84"
11-Jan-21,6.145,6.21,6.1301,6.22,"358,538","2,210,086.14"
8-Jan-21,6.19,6.22,6.12,6.22,"596,948","3,686,112.77"
7-Jan-21,6.23,6.19,6.17,6.23,"726,733","4,508,812.74"
6-Jan-21,6.26,6.29,6.21,6.3,"377,277","2,362,246.41"
5-Jan-21,6.27,6.21,6.21,6.34,"425,614","2,674,179.00"
4-Jan-21,6.17,6.19,6.1,6.2099,"742,662","4,564,134.31"
31-Dec-20,6.19,6.14,6.1,6.19,"431,640","2,653,867.08"
30-Dec-20,6.14,6,6,6.165,"512,133","3,134,375.31"
29-Dec-20,6,5.97,5.96,6.02,"340,666","2,041,788.04"
28-Dec-20,5.94,6,5.88,6,"365,142","2,166,492.35"
24-Dec-20,6.04,6.05,6.0001,6.0502,"102,313","616,542.34"
23-Dec-20,6.06,6,6,6.08,"605,474","3,664,824.98"
22-Dec-20,5.95,5.88,5.875,5.975,"348,679","2,070,407.13"
21-Dec-20,5.92,5.87,5.8003,5.94,"275,098","1,622,061.39"
18-Dec-20,5.9,5.9,5.87,5.92,"353,437","2,084,527.41"
17-Dec-20,5.9,5.86,5.845,5.92,"267,649","1,572,355.00"
16-Dec-20,5.8,5.84,5.75,5.84,"172,256","997,965.29"
15-Dec-20,5.84,5.85,5.82,5.885,"161,086","941,488.04"
14-Dec-20,5.81,5.9,5.8,5.9,"230,910","1,344,956.45"
11-Dec-20,5.96,5.82,5.815,5.98,"396,428","2,349,890.14"
10-Dec-20,5.805,5.74,5.73,5.815,"373,978","2,157,150.62"
9-Dec-20,5.68,5.59,5.58,5.69,"333,500","1,885,578.70"
8-Dec-20,5.575,5.61,5.56,5.64,"549,945","3,078,078.35"
7-Dec-20,5.63,5.59,5.54,5.67,"477,103","2,666,357.48"
4-Dec-20,5.63,5.66,5.62,5.69,"350,179","1,975,130.81"
3-Dec-20,5.7,5.71,5.67,5.72,"268,047","1,525,981.29"
2-Dec-20,5.75,5.65,5.645,5.775,"347,985","1,992,027.20"
1-Dec-20,5.64,5.72,5.625,5.7293,"520,026","2,948,820.03"
30-Nov-20,5.72,5.87,5.72,5.87,"487,801","2,811,924.27"
27-Nov-20,5.91,5.82,5.82,5.915,"198,547","1,167,868.53"
25-Nov-20,5.815,6,5.8,6,"429,524","2,522,213.22"
24-Nov-20,6,5.87,5.85,6,"407,722","2,423,649.84"
23-Nov-20,5.88,5.91,5.865,5.9289,"199,474","1,176,666.04"
20-Nov-20,5.84,5.88,5.82,5.89,"501,725","2,929,437.80"
19-Nov-20,5.86,5.89,5.84,5.91,"185,146","1,086,572.86"
18-Nov-20,5.92,5.9,5.9,5.949,"441,206","2,611,098.00"
17-Nov-20,5.89,5.93,5.87,5.93,"376,933","2,219,121.94"
16-Nov-20,5.93,5.87,5.8101,5.93,"251,666","1,478,265.12"
