" Date","SPY Open","SPY Low","SPY High","SPY Close","SPY Adj. Close","SPY SMA (50D)","SPY SMA (200D)"
01-29-2021,"375.60 ","368.27 ","376.63 ","370.36 ","370.36 ","370.12 ","332.22 "
01-28-2021,"376.36 ","375.89 ","381.93 ","377.63 ","377.63 ","369.94 ","331.74 "
01-27-2021,"380.22 ","372.01 ","380.32 ","374.41 ","374.41 ","369.52 ","331.25 "
01-26-2021,"385.41 ","383.54 ","385.85 ","383.79 ","383.79 ","369.06 ","330.74 "
01-25-2021,"383.67 ","378.46 ","384.77 ","384.39 ","384.39 ","368.49 ","330.19 "
01-22-2021,"382.25 ","381.83 ","384.13 ","382.88 ","382.88 ","367.85 ","329.63 "
01-21-2021,"384.49 ","383.25 ","384.95 ","384.24 ","384.24 ","367.26 ","329.02 "
01-20-2021,"381.11 ","380.69 ","384.79 ","383.89 ","383.89 ","366.54 ","328.41 "
01-19-2021,"378.34 ","376.75 ","379.23 ","378.65 ","378.65 ","365.84 ","327.71 "
01-15-2021,"376.72 ","373.70 ","377.58 ","375.70 ","375.70 ","365.11 ","327.06 "
01-14-2021,"380.59 ","378.10 ","381.13 ","378.46 ","378.46 ","364.29 ","326.40 "
01-13-2021,"378.69 ","377.85 ","380.86 ","379.79 ","379.79 ","363.30 ","325.78 "
01-12-2021,"378.89 ","376.36 ","379.86 ","378.77 ","378.77 ","362.20 ","325.17 "
01-11-2021,"377.85 ","377.72 ","380.58 ","378.69 ","378.69 ","361.20 ","324.53 "
01-08-2021,"380.59 ","377.10 ","381.49 ","381.26 ","381.26 ","360.13 ","323.93 "
01-07-2021,"376.10 ","375.91 ","379.90 ","379.10 ","379.10 ","359.24 ","323.24 "
01-06-2021,"369.71 ","369.12 ","376.98 ","373.55 ","373.55 ","358.42 ","322.54 "
01-05-2021,"368.10 ","368.05 ","372.50 ","371.33 ","371.33 ","357.83 ","321.78 "
01-04-2021,"375.31 ","364.82 ","375.45 ","368.79 ","368.79 ","357.27 ","321.05 "
12-31-2020,"371.78 ","371.23 ","374.66 ","373.88 ","373.88 ","356.72 ","320.39 "
12-30-2020,"372.34 ","371.57 ","373.10 ","371.99 ","371.99 ","356.08 ","319.69 "
12-29-2020,"373.81 ","370.83 ","374.00 ","371.46 ","371.46 ","355.45 ","319.08 "
12-28-2020,"371.74 ","371.07 ","372.59 ","372.17 ","372.17 ","354.94 ","318.40 "
12-24-2020,"368.08 ","367.45 ","369.03 ","369.00 ","369.00 ","354.42 ","317.86 "
12-23-2020,"368.28 ","367.22 ","369.62 ","367.57 ","367.57 ","353.97 ","317.23 "
12-22-2020,"368.21 ","366.03 ","368.33 ","367.24 ","367.24 ","353.59 ","316.74 "
12-21-2020,"364.97 ","362.03 ","378.46 ","367.86 ","367.86 ","353.26 ","316.32 "
12-18-2020,"370.97 ","367.02 ","371.15 ","369.18 ","369.18 ","352.81 ","315.82 "
12-17-2020,"370.36 ","369.48 ","370.88 ","372.24 ","370.66 ","352.27 ","315.44 "
12-16-2020,"368.25 ","367.30 ","369.58 ","370.17 ","368.60 ","351.65 ","315.07 "
12-15-2020,"365.84 ","364.37 ","368.02 ","369.59 ","368.02 ","350.94 ","314.76 "
12-14-2020,"367.08 ","362.92 ","368.23 ","364.66 ","363.11 ","350.35 ","314.40 "
12-11-2020,"363.35 ","361.72 ","365.18 ","366.30 ","364.75 ","349.74 ","314.10 "
12-10-2020,"363.82 ","362.88 ","366.30 ","366.73 ","365.17 ","349.15 ","313.73 "
12-09-2020,"369.31 ","364.40 ","369.48 ","366.85 ","365.29 ","348.52 ","313.36 "
12-08-2020,"366.16 ","366.11 ","369.21 ","370.17 ","368.60 ","347.83 ","313.06 "
12-07-2020,"367.45 ","366.16 ","368.05 ","369.09 ","367.52 ","347.12 ","312.76 "
12-04-2020,"365.76 ","365.66 ","368.28 ","369.85 ","368.28 ","346.31 ","312.50 "
12-03-2020,"365.12 ","363.95 ","366.63 ","366.69 ","365.13 ","345.39 ","312.30 "
12-02-2020,"363.27 ","362.65 ","365.40 ","366.79 ","365.23 ","344.51 ","312.12 "
12-01-2020,"364.02 ","363.38 ","366.12 ","366.02 ","364.47 ","343.79 ","311.96 "
11-30-2020,"361.29 ","357.65 ","361.58 ","362.06 ","360.52 ","343.01 ","311.79 "
11-27-2020,"362.30 ","361.04 ","362.63 ","363.67 ","362.13 ","342.38 ","311.64 "
11-25-2020,"361.59 ","359.95 ","361.62 ","362.66 ","361.12 ","341.80 ","311.49 "
11-24-2020,"358.68 ","357.76 ","362.27 ","363.22 ","361.68 ","341.30 ","311.34 "
11-23-2020,"355.76 ","353.36 ","357.30 ","357.46 ","355.94 ","340.81 ","311.18 "
11-20-2020,"355.98 ","353.74 ","356.20 ","355.33 ","353.82 ","340.41 ","311.04 "
11-19-2020,"354.09 ","352.65 ","356.66 ","357.78 ","356.26 ","339.96 ","310.90 "
11-18-2020,"359.38 ","354.73 ","359.97 ","356.28 ","354.77 ","339.46 ","310.76 "
11-17-2020,"358.44 ","356.82 ","360.38 ","360.62 ","359.09 ","339.10 ","310.62 "
11-16-2020,"359.45 ","358.06 ","361.24 ","362.57 ","361.03 ","338.53 ","310.44 "
11-13-2020,"353.76 ","353.20 ","357.38 ","358.10 ","356.58 ","338.10 ","310.22 "
11-12-2020,"354.07 ","349.77 ","355.20 ","353.21 ","351.71 ","337.82 ","310.02 "
11-11-2020,"354.89 ","353.55 ","356.04 ","356.67 ","355.16 ","337.88 ","309.87 "
11-10-2020,"351.99 ","349.02 ","353.67 ","354.04 ","352.54 ","337.77 ","309.70 "
11-09-2020,"362.43 ","352.56 ","362.83 ","354.56 ","353.06 ","337.65 ","309.54 "
11-06-2020,"348.44 ","346.17 ","350.02 ","350.16 ","348.67 ","337.55 ","309.36 "
11-05-2020,"347.76 ","347.38 ","350.70 ","350.24 ","348.75 ","337.48 ","309.23 "
11-04-2020,"339.41 ","338.15 ","346.46 ","343.54 ","342.08 ","337.40 ","309.12 "
11-03-2020,"332.27 ","328.89 ","336.81 ","336.03 ","334.60 ","337.39 ","309.03 "
11-02-2020,"328.80 ","325.85 ","330.95 ","330.20 ","328.80 ","337.50 ","308.98 "
10-30-2020,"326.89 ","321.23 ","328.29 ","326.54 ","325.15 ","337.65 ","308.97 "
10-29-2020,"325.52 ","323.71 ","331.98 ","329.98 ","328.58 ","337.86 ","308.97 "
10-28-2020,"330.69 ","324.75 ","336.81 ","326.66 ","325.27 ","337.98 ","308.94 "
10-27-2020,"338.32 ","336.56 ","338.68 ","338.22 ","336.78 ","338.19 ","308.92 "
10-26-2020,"340.68 ","334.20 ","341.52 ","339.39 ","337.95 ","338.16 ","308.84 "
10-23-2020,"344.46 ","341.67 ","344.52 ","345.78 ","344.31 ","338.08 ","308.75 "
10-22-2020,"341.50 ","339.20 ","343.77 ","344.61 ","343.15 ","337.87 ","308.63 "
10-21-2020,"341.87 ","340.95 ","347.20 ","342.73 ","341.28 ","337.70 ","308.51 "
10-20-2020,"342.00 ","341.19 ","345.41 ","343.38 ","341.92 ","337.48 ","308.39 "
10-19-2020,"347.17 ","339.59 ","347.85 ","342.01 ","340.56 ","337.30 ","308.27 "
10-16-2020,"347.48 ","345.63 ","349.26 ","347.29 ","345.82 ","337.12 ","308.15 "
10-15-2020,"342.25 ","341.67 ","346.54 ","347.50 ","346.03 ","336.84 ","308.01 "
10-14-2020,"349.26 ","345.67 ","350.44 ","347.93 ","346.45 ","336.51 ","307.86 "
10-13-2020,"350.78 ","347.61 ","350.97 ","350.13 ","348.64 ","336.12 ","307.71 "
10-12-2020,"348.11 ","347.58 ","352.52 ","352.43 ","350.93 ","335.67 ","307.55 "
10-09-2020,"344.09 ","343.43 ","345.88 ","346.85 ","345.38 ","335.13 ","307.38 "
10-08-2020,"341.39 ","340.41 ","342.39 ","343.78 ","342.32 ","334.65 ","307.23 "
10-07-2020,"336.68 ","336.65 ","340.18 ","340.76 ","339.31 ","334.25 ","307.09 "
10-06-2020,"338.47 ","332.96 ","340.72 ","334.93 ","333.51 ","333.84 ","306.97 "
10-05-2020,"334.63 ","334.58 ","338.52 ","339.76 ","338.32 ","333.58 ","306.87 "
10-02-2020,"330.29 ","329.78 ","335.58 ","333.84 ","332.42 ","333.18 ","306.74 "
10-01-2020,"336.26 ","333.59 ","337.30 ","337.04 ","335.61 ","332.93 ","306.64 "
09-30-2020,"331.68 ","331.47 ","336.85 ","334.89 ","333.47 ","332.70 ","306.52 "
09-29-2020,"332.55 ","330.21 ","333.35 ","332.37 ","330.96 ","332.48 ","306.40 "
09-28-2020,"331.81 ","330.74 ","333.54 ","334.19 ","332.77 ","332.30 ","306.30 "
09-25-2020,"321.21 ","320.27 ","328.18 ","328.73 ","327.33 ","332.02 ","306.17 "
09-24-2020,"319.86 ","318.44 ","325.41 ","323.50 ","322.13 ","331.84 ","306.06 "
09-23-2020,"329.50 ","320.73 ","329.79 ","322.64 ","321.27 ","331.78 ","305.99 "
09-22-2020,"327.18 ","324.48 ","329.50 ","330.30 ","328.90 ","331.68 ","305.92 "
09-21-2020,"324.32 ","320.36 ","325.74 ","326.97 ","325.58 ","331.35 ","305.80 "
09-18-2020,"333.95 ","326.58 ","334.07 ","330.65 ","329.25 ","331.14 ","305.69 "
09-17-2020,"330.82 ","330.26 ","334.93 ","335.84 ","333.08 ","330.79 ","305.56 "
09-16-2020,"338.70 ","335.74 ","340.24 ","338.82 ","336.04 ","330.40 ","305.41 "
09-15-2020,"338.32 ","335.69 ","339.21 ","340.17 ","337.38 ","329.90 ","305.27 "
09-14-2020,"334.72 ","331.48 ","337.58 ","338.46 ","335.68 ","329.44 ","305.12 "
