Date,Close,Open,Low,High
22-Jul-2021,4367.48,4361.27,4350.06,4369.87
21-Jul-2021,4358.69,4331.13,4331.13,4359.7
20-Jul-2021,4323.06,4265.11,4262.05,4336.84
19-Jul-2021,4258.49,4296.4,4233.13,4296.4
16-Jul-2021,4327.16,4367.43,4322.53,4375.09
15-Jul-2021,4360.03,4369.02,4340.7,4369.02
14-Jul-2021,4374.3,4380.11,4362.36,4393.68
13-Jul-2021,4369.21,4381.07,4366.92,4392.37
12-Jul-2021,4384.63,4372.41,4364.03,4386.68
09-Jul-2021,4369.55,4329.38,4329.38,4371.6
08-Jul-2021,4320.82,4321.07,4289.37,4330.88
07-Jul-2021,4358.13,4351.01,4329.79,4361.88
06-Jul-2021,4343.54,4356.46,4314.37,4356.46
02-Jul-2021,4352.34,4326.6,4326.6,4355.43
01-Jul-2021,4319.94,4300.73,4300.73,4320.66
30-Jun-2021,4297.5,4290.65,4287.96,4302.43
29-Jun-2021,4291.8,4293.21,4287.04,4300.52
28-Jun-2021,4290.61,4284.9,4274.67,4292.14
25-Jun-2021,4280.7,4274.45,4271.16,4286.12
24-Jun-2021,4266.49,4256.97,4256.97,4271.28
23-Jun-2021,4241.84,4249.27,4241.43,4256.6
22-Jun-2021,4246.44,4224.61,4217.27,4255.84
21-Jun-2021,4224.79,4173.4,4173.4,4226.24
18-Jun-2021,4166.45,4204.78,4164.4,4204.78
17-Jun-2021,4221.86,4220.37,4196.05,4232.29
16-Jun-2021,4223.7,4248.87,4202.45,4251.89
15-Jun-2021,4246.59,4255.28,4238.35,4257.16
14-Jun-2021,4255.15,4248.31,4234.07,4255.59
11-Jun-2021,4247.44,4242.9,4232.25,4248.38
10-Jun-2021,4239.18,4228.56,4220.34,4249.74
09-Jun-2021,4219.55,4232.99,4218.74,4237.09
08-Jun-2021,4227.26,4233.81,4208.41,4236.74
07-Jun-2021,4226.52,4229.34,4215.66,4232.34
04-Jun-2021,4229.89,4206.05,4206.05,4233.45
03-Jun-2021,4192.85,4191.43,4167.93,4204.39
02-Jun-2021,4208.12,4206.82,4198.27,4217.37
01-Jun-2021,4202.04,4216.52,4197.59,4234.12
28-May-2021,4204.11,4210.77,4203.57,4218.36
27-May-2021,4200.88,4201.94,4197.78,4213.38
26-May-2021,4195.99,4191.59,4184.11,4202.61
25-May-2021,4188.13,4205.94,4182.52,4213.42
24-May-2021,4197.05,4170.16,4170.16,4209.52
21-May-2021,4155.86,4168.61,4151.72,4188.72
