"DATE","Price","F1(.35)","F2(.3)","F3(.35)","NAV","ROLL","BEFORE_ROLL","AFTER_ROLL"
"7/10/2020",14.18,890.75,896.25,888.25,14.1623,0,0,0
"7/9/2020",14.34,901.5,907,897,14.3251,0,0,0
"7/8/2020",14.29,897.25,902.75,894.5,14.2684,0,0,0
"7/7/2020",14.27,902.5,907.25,892.75,14.3103,0,0,0
"7/6/2020",14.38,906.25,910.5,893.75,14.3531,0,0,0
"7/2/2020",14.23,896.75,901.25,886.25,14.2156,0,0,0
"7/1/2020",14.28,899,903.5,888.5,14.2562,0,0,0
"6/30/2020",13.97,882.25,884.75,872.25,13.9841,0,0,0
"6/29/2020",13.74,861.5,865,865.5,13.7386,0,0,0
"6/26/2020",13.72,861.25,864,860,13.7033,0,0,0
"6/25/2020",13.85,868.25,871,868.5,13.8275,0,0,0
"6/24/2020",13.91,870,873.75,872.5,13.8743,0,0,0
"6/23/2020",13.96,874,878,876.75,13.9422,0,0,0
"6/22/2020",14.02,879.25,882.75,876.75,13.9958,0,0,0
"6/19/2020",14.04,880.75,884.25,877.25,14.0157,0,0,0
"6/18/2020",14,876,879.25,874,13.9519,0,0,0
"6/17/2020",14.02,876.5,879.75,875.5,13.9674,0,0,0
"6/16/2020",13.96,873,876.5,872.25,13.9157,0,0,0
"6/15/2020",14.01,876,879.75,873.75,13.958,0,0,0
"6/12/2020",14.035,879.75,882.25,874.75,13.998,0,0,0
"6/11/2020",14,876.75,880,875.25,13.9779,0,0,0
"6/10/2020",14.029,877,881.25,877.25,13.9979,0,0,0
"6/9/2020",14.017,876.5,881.25,879.5,14.0092,0,0,0
"6/8/2020",14.05,878,883.25,886,14.0649,0,0,0
"6/5/2020",14.12,879.5,884.5,886.25,14.0821,0,0,0
"6/4/2020",14.07,876.75,881.5,882.25,14.0346,0,0,0
"6/3/2020",13.88,866.25,870.5,868.25,13.8466,0,0,0
"6/2/2020",13.8,860.5,865,864.5,13.7687,0,0,0
"6/1/2020",13.64,852.25,856.75,859.25,13.6553,0,0,0
"5/29/2020",13.66,851.75,855.5,858,13.641,0,0,0
"5/28/2020",13.69,856,859.5,856.75,13.6808,0,0,0
"5/27/2020",13.675,855.5,859,857.25,13.6798,0,0,0
"5/26/2020",13.65,855,858.5,854.75,13.662,0,0,0
"5/22/2020",13.54,844.5,848.5,847.75,13.5178,0,0,0
"5/21/2020",13.525,845.5,849.5,847.25,13.5306,0,0,0
"5/20/2020",13.67,854,857,848.5,13.6222,0,0,0
"5/19/2020",13.58,850.25,853.75,846.75,13.5773,0,0,0
"5/18/2020",13.61,852.75,855.75,845.25,13.5936,0,0,0
"5/15/2020",13.475,845.5,848,837.5,13.4738,0,0,0
"5/14/2020",13.465,843.75,845.75,834.75,13.4418,0,0,1
"5/13/2020",13.5,845.5,847.5,835.25,13.465,1,0,0
"5/12/2020",13.633,852,857,841.25,13.6253,0,1,0
"5/11/2020",13.676,855,858.5,841.75,13.6535,0,0,0
"5/8/2020",13.648,850.5,855.5,839.25,13.6011,0,0,0
"5/7/2020",13.48,844.25,848.25,832.75,13.4986,0,0,0
"5/6/2020",13.395,832.5,839.25,831.75,13.3846,0,0,0
"5/5/2020",13.44,839.5,846.5,840.5,13.5092,0,0,0
"5/4/2020",13.522,836.5,845.75,846.25,13.5221,0,0,0
"5/1/2020",13.74,849.5,855,851.25,13.6693,0,0,0
"4/30/2020",13.77,855.25,857.75,849.5,13.7094,0,0,0
"4/29/2020",13.54,837.5,844.25,842.5,13.5069,0,0,0
"4/28/2020",13.34,832,839,834.75,13.4081,0,0,0
"4/27/2020",13.45,836.5,840.25,827.75,13.4009,0,0,0
"4/24/2020",13.44,839.5,841.5,829.25,13.4335,0,0,0
"4/23/2020",13.61,846.75,848,837.5,13.5551,0,0,0
"4/22/2020",13.632,842.5,846.5,840.75,13.5431,0,0,0
"4/21/2020",13.5,840.75,848,849.5,13.5905,0,0,0
"4/20/2020",13.52,836.25,845.75,843.5,13.5215,0,0,0
"4/17/2020",13.65,842.25,851,846.25,13.597,0,0,0
"4/16/2020",13.72,845.75,854.5,849,13.6522,0,0,0
"4/15/2020",13.79,851.75,859.75,852.5,13.7319,0,0,0
"4/14/2020",13.83,855.5,865.5,860,13.824,0,0,0
"4/13/2020",13.9,862.25,870.5,864.25,13.911,0,0,0
"4/9/2020",14,871,875.75,867,14.002,0,0,0
"4/8/2020",13.86,861.75,868,859.25,13.8736,0,0,0
"4/7/2020",13.77,861,866.75,851.75,13.8216,0,0,0
"4/6/2020",13.89,861.25,865.25,847,13.7898,0,0,0
"4/3/2020",13.73,859.5,861.5,842.25,13.736,0,0,0
"4/2/2020",13.81,864,863,844.5,13.7843,0,0,0
"4/1/2020",13.75,867.25,863.5,840.5,13.7828,0,0,0
"3/31/2020",14.05,889.5,877.5,845.25,14.0012,0,0,0
"3/30/2020",14.08,886.5,874.5,847,13.9811,0,0,0
"3/27/2020",14.11,885.25,876.75,853.25,14.0218,0,0,0
"3/26/2020",14.11,884.75,879,863.75,14.0928,0,0,0
"3/25/2020",14.12,884.75,877.5,859.25,14.0606,0,0,0
"3/24/2020",14.05,887.5,875,851.75,14.0215,0,0,0
"3/23/2020",14.03,885.5,872.5,852,14.0007,0,0,0
"3/20/2020",13.85,864.75,860.75,854,13.8388,0,0,0
