"DATE","Price","NAV","Futures","ROLL","BEFORE_ROLL","AFTER_ROLL"
"7/10/2020",20.11,20.169,1.2831,0,0,0
"7/9/2020",19.64,19.6568,1.2505,0,0,0
"7/8/2020",20.21,20.2923,1.2909,0,0,0
"7/7/2020",19.94,20.0425,1.275,0,0,0
"7/6/2020",19.58,19.5051,1.2408,0,0,0
"7/2/2020",19.56,19.7956,1.2592,0,0,0
"7/1/2020",19.1,19.1309,1.2169,0,0,0
"6/30/2020",18.95,18.8891,1.2015,0,0,0
"6/29/2020",18.75,18.674,1.1878,0,0,0
"6/26/2020",17.89,18.189,1.1569,0,0,0
"6/25/2020",18.96,18.8228,1.1972,0,0,0
"6/24/2020",18.78,18.8545,1.1992,0,0,0
"6/23/2020",20.42,20.4128,1.2983,0,0,0
"6/22/2020",20.31,20.2888,1.2904,0,0,0
"6/19/2020",19.85,19.9847,1.271,0,0,0
"6/18/2020",19.78,19.7727,1.2575,0,0,0
"6/17/2020",19.13,19.2131,1.2219,0,0,1
"6/16/2020",19.11,19.1033,1.2149,1,0,0
"6/15/2020",18.52,18.4453,1.1657,0,1,0
"6/12/2020",17.79,17.7908,1.1243,0,0,0
"6/11/2020",17.58,17.704,1.1188,0,0,0
"6/10/2020",19.04,19.146,1.2099,0,0,0
"6/9/2020",19.1,19.1526,1.2103,0,0,0
"6/8/2020",19.02,18.9108,1.195,0,0,0
"6/5/2020",19.17,19.2059,1.2136,0,0,0
"6/4/2020",18.09,18.1838,1.149,0,0,0
"6/3/2020",17.64,17.714,1.1193,0,0,0
"6/2/2020",17.68,17.6984,1.1183,0,0,0
"6/1/2020",16.92,16.8819,1.0667,0,0,0
"5/29/2020",16.89,17.0689,1.0785,0,0,0
"5/28/2020",16.26,16.2386,1.026,0,0,0
"5/27/2020",16.14,16.1074,1.0177,0,0,0
"5/26/2020",16.81,16.853,1.0648,0,0,0
"5/22/2020",16.62,16.648,1.0518,0,0,0
"5/21/2020",16.85,16.8064,1.0618,0,0,0
"5/20/2020",16.83,16.7164,1.0561,0,0,0
"5/19/2020",16.74,16.6992,1.055,0,0,0
"5/18/2020",16.69,16.503,1.0426,0,0,0
"5/15/2020",15.6,15.5724,0.9838,1,0,0
"5/14/2020",14.88,14.6783,0.9145,0,1,0
"5/13/2020",13.53,13.6862,0.8527,0,0,0
"5/12/2020",14.69,14.7428,0.9185,0,0,0
"5/11/2020",15.04,14.8344,0.9242,0,0,0
"5/8/2020",15.3,15.2845,0.9522,0,0,0
"5/7/2020",14.75,14.9507,0.9314,0,0,0
