"DATE","Price","NAV","Futures","ROLL","BEFORE_ROLL","AFTER_ROLL"
"1/29/2020",11.16,11.1972,53.33,0,0,0
"1/28/2020",11.25,11.2283,53.48,0,0,0
"1/27/2020",11.1,11.1566,53.14,0,0,0
"1/24/2020",11.43,11.3761,54.19,0,0,0
"1/23/2020",11.66,11.6696,55.59,0,0,0
"1/22/2020",11.9,11.9106,56.74,0,0,0
"1/21/2020",12.24,12.2545,58.38,0,0,0
"1/17/2020",12.33,12.2951,58.58,0,0,0
"1/16/2020",12.29,12.2843,58.53,0,0,0
"1/15/2020",12.18,12.1391,57.84,0,0,0
"1/14/2020",12.28,12.2269,58.26,0,0,0
"1/13/2020",12.2,12.1887,58.08,0,0,1
"1/10/2020",12.41,12.3791,58.99,1,,
"1/6/2020",13.16,13.2486,63.27,0,1,0
"1/3/2020",13.18,13.2014,63.05,0,0,0
"1/2/2020",12.81,12.8095,61.18,0,0,0
"12/31/2019",12.81,12.7836,61.06,0,0,0
"12/30/2019",12.89,12.913,61.68,0,0,0
"12/27/2019",12.91,12.9202,61.72,0,0,0
"12/26/2019",12.89,12.9114,61.68,0,0,0
"12/24/2019",12.77,12.7913,61.11,0,0,0
"12/23/2019",12.7,12.6674,60.52,0,0,0
"12/20/2019",12.63,12.6495,60.44,0,0,0
"12/19/2019",12.78,12.8039,61.18,0,0,0
"12/18/2019",12.74,12.7345,60.85,0,0,0
"12/17/2019",12.72,12.7383,60.87,0,0,0
"12/16/2019",12.59,12.5851,60.14,0,0,0
"12/13/2019",12.49,12.5505,59.98,0,0,0
"12/12/2019",12.37,12.3576,59.06,0,0,0
"12/11/2019",12.3,12.2714,58.65,0,0,1
"12/10/2019",12.39,12.3739,59.14,1,,
"12/4/2019",12.19,12.2053,58.43,0,1,0
"12/3/2019",11.76,11.7182,56.1,0,0,0
"12/2/2019",11.67,11.6886,55.96,0,0,0
"11/29/2019",11.62,11.5228,55.17,0,0,0
"11/27/2019",12.14,12.1356,58.11,0,0,0
"11/26/2019",12.19,12.1979,58.41,0,0,0
"11/25/2019",12.11,12.1139,58.01,0,0,0
"11/22/2019",12.11,12.0625,57.77,0,0,0
"11/21/2019",12.2,12.2312,58.58,0,0,0
"11/20/2019",11.9,11.903,57.01,0,0,0
"11/19/2019",11.57,11.556,55.35,0,0,0
"11/18/2019",11.9,11.9293,57.14,0,0,0
"11/15/2019",12.08,12.072,57.83,0,0,0
"11/13/2019",11.96,11.9396,57.2,0,0,0
"11/12/2019",11.87,11.8662,56.85,0,0,1
"11/11/2019",11.89,11.8765,56.9,1,,
"11/5/2019",11.93,11.9485,57.23,0,1,0
"11/4/2019",11.81,11.8041,56.54,0,0,0
"11/1/2019",11.69,11.7318,56.2,0,0,0
"10/31/2019",11.3,11.3097,54.18,0,0,0
"10/30/2019",11.47,11.4929,55.06,0,0,0
"10/29/2019",11.58,11.5926,55.54,0,0,0
"10/28/2019",11.65,11.6485,55.81,0,0,0
"10/25/2019",11.83,11.8246,56.66,0,0,0
"10/24/2019",11.73,11.7344,56.23,0,0,0
"10/23/2019",11.65,11.6797,55.97,0,0,0
"10/22/2019",11.34,11.3683,54.48,0,0,0
"10/21/2019",11.21,11.1655,53.51,0,0,0
"10/18/2019",11.22,11.2393,53.87,0,0,0
"10/17/2019",11.28,11.2723,54.03,0,0,0
"10/16/2019",11.14,11.1509,53.45,0,0,0
"10/15/2019",11.06,11.0315,52.88,0,0,0
"10/14/2019",11.18,11.1917,53.65,0,0,1
"10/11/2019",11.42,11.4264,54.78,1,,
"10/7/2019",11.04,11.0073,52.75,0,1,0
"10/4/2019",11.04,11.0185,52.81,0,0,0
"10/3/2019",10.93,10.9429,52.45,0,0,0
"10/2/2019",10.98,10.9821,52.64,0,0,0
"10/1/2019",11.19,11.1861,53.62,0,0,0
"9/30/2019",11.34,11.2794,54.07,0,0,0
"9/27/2019",11.66,11.662,55.91,0,0,0
"9/26/2019",11.8,11.7658,56.41,0,0,0
"9/25/2019",11.8,11.7821,56.49,0,0,0
"9/24/2019",11.9,11.9484,57.29,0,0,0
"9/23/2019",12.21,12.2295,58.64,0,0,0
"9/20/2019",12.2,12.1134,58.09,0,0,0
"9/19/2019",12.19,12.1338,58.19,0,0,0
"9/18/2019",12.1,12.102,58.04,0,0,0
"9/17/2019",12.29,12.3225,59.1,0,0,0
"9/16/2019",12.83,13.0664,62.67,0,0,0
"9/13/2019",11.44,11.4242,54.8,0,0,0
"9/12/2019",11.47,11.4759,55.05,0,0,1
"9/11/2019",11.68,11.605,55.67,1,,
"9/5/2019",11.7,11.7138,56.3,0,1,0
"9/4/2019",11.71,11.705,56.26,0,0,0
"9/3/2019",11.22,11.2218,53.94,0,0,0
"8/30/2019",11.46,11.4617,55.1,0,0,0
"8/29/2019",11.78,11.7955,56.71,0,0,0
"8/28/2019",11.64,11.6016,55.78,0,0,0
"8/27/2019",11.42,11.4243,54.93,0,0,0
"8/26/2019",11.18,11.1555,53.64,0,0,0
"8/23/2019",11.19,11.2642,54.17,0,0,0
"8/22/2019",11.53,11.5091,55.35,0,0,0
"8/21/2019",11.61,11.5772,55.68,0,0,0
"8/20/2019",11.63,11.6703,56.13,0,0,0
"8/19/2019",11.66,11.6718,56.14,0,0,0
"8/16/2019",11.4,11.3938,54.81,0,0,0
"8/15/2019",11.35,11.3122,54.42,0,0,0
"8/14/2019",11.44,11.4842,55.25,0,0,0
"8/13/2019",11.87,11.8682,57.1,0,0,0
"8/12/2019",11.36,11.4001,54.85,0,0,1
"8/9/2019",11.28,11.2991,54.37,1,,
"8/5/2019",11.37,11.3482,54.69,0,1,0
"8/2/2019",11.48,11.5481,55.66,0,0,0
"8/1/2019",11.31,11.1927,53.95,0,0,0
"7/31/2019",12.04,12.1528,58.58,0,0,0
"7/30/2019",12.08,12.0422,58.05,0,0,0
"7/29/2019",11.82,11.7969,56.87,0,0,0
"7/26/2019",11.65,11.6563,56.2,0,0,0
"7/25/2019",11.6,11.6185,56.02,0,0,0
"7/24/2019",11.59,11.5889,55.88,0,0,0
"7/23/2019",11.81,11.7729,56.77,0,0,0
"7/22/2019",11.68,11.6583,56.22,0,0,0
"7/19/2019",11.67,11.5613,55.76,0,0,0
"7/18/2019",11.56,11.4903,55.42,0,0,0
"7/17/2019",11.75,11.8007,56.92,0,0,0
"7/16/2019",12.07,11.9701,57.74,0,0,0
"7/15/2019",12.3,12.3717,59.68,0,0,0
"7/12/2019",12.52,12.4984,60.3,0,0,1
"7/11/2019",12.55,12.494,60.28,1,,
"7/5/2019",11.95,11.9367,57.51,0,1,0
"7/3/2019",11.77,11.9005,57.34,0,0,0
