"DATE","CORN_MID","F1(.35)","F2(.3)","F3(.35)","CORN_NAV","ROLL","C Day Before Roll","C Day After Roll","C Jan","C Feb","C Mar","C April","C May","C June","C July","C Aug","C Sept","C Oct","C Nov","C Dec","C 2012","C 2013","C 2014","C 2015","C 2016","C 2017","C 2018","C 2019","C 2020","C WASDE","C WASDE + CP","C Grain Stocks","C Prospective Plantings","C Acreage Report"," C Cattle on Feed","C Hogs & Pigs"
"7/10/2020",12.27,337.25,344.75,371,12.2536,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"7/9/2020",12.66,348.75,357,378,12.6135,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7/8/2020",12.53,346.25,354.25,376.5,12.5362,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7/7/2020",12.47,343.5,352.5,374.75,12.4633,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7/6/2020",12.58,346.5,356.25,375.25,12.5477,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7/2/2020",12.48,343.5,353.5,374,12.4669,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7/1/2020",12.67,350.5,360.5,377.75,12.6788,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/30/2020",12.4,341.5,350.5,373,12.4041,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"6/29/2020",11.96,328.75,334.75,366.5,11.9987,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/26/2020",11.67,319.25,325.25,359.75,11.6991,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/25/2020",11.79,320.5,328,361.5,11.7691,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"6/24/2020",11.97,327,333.75,365,11.9556,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/23/2020",12.06,329,336.75,368.75,12.0581,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/22/2020",12.22,333,341.75,372.25,12.2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/19/2020",12.36,337.25,345.25,373.5,12.3127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"6/18/2020",12.27,335.5,342.75,372.5,12.2563,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/17/2020",12.26,335,342.75,371.75,12.2428,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/16/2020",12.21,334.25,342.75,372.25,12.2404,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/15/2020",12.23,333.75,341.5,372,12.2191,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/12/2020",12.29,334.5,343,373.25,12.2607,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/11/2020",12.32,335,343.75,374.25,12.291,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"6/10/2020",12.24,331.75,341.5,373,12.2121,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/9/2020",12.31,333,343.25,375.75,12.2799,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/8/2020",12.42,338.25,347.5,377.5,12.4146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/5/2020",12.37,335.5,345.25,375.5,12.3334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/4/2020",12.28,333.25,342.75,373.5,12.2589,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/3/2020",12.06,328.5,338.25,368.75,12.0961,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/2/2020",12.08,328.5,338,368.25,12.0891,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6/1/2020",12.04,327.25,335.75,365.25,12.0158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5/29/2020",12.18,330,338.75,368,12.1164,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5/28/2020",12.21,331.75,340.25,370,12.1817,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5/27/2020",12,325.25,334.5,365.5,11.9855,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5/26/2020",12.01,324,334,365.25,11.9622,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5/22/2020",11.885,322.75,332.75,364.25,11.9224,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"5/21/2020",11.91,323,333,365.5,11.9474,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
