Date,NAV,Price,Roll,Volatility,Volume,SP500_Vol,BCOMAG_Vol,BCOMEN_Vol,BCOM_Vol,per_flow
2013-02-04,45.25534,45.21,0,1.12807,23800,1.21347,0.90231,1.11601,0.61292,0.0
2013-02-05,44.92635,45.07,0,0.93077,54410,1.27375,0.71164,0.8814,0.39269,0.0
2013-02-06,44.33702,44.34,0,0.7668,96259,0.51715,0.63622,0.94208,0.46131,0.0
2013-02-07,43.50174,43.57,0,1.51366,89240,0.95469,0.85424,2.22487,1.05186,0.0
2013-02-08,43.27067,43.35,0,1.56863,132715,0.58764,1.41172,0.93367,0.74712,0.0
2013-02-11,42.85636,42.86,0,1.44634,52795,0.30982,0.81805,1.51222,0.45548,0.0
2013-02-12,42.74111,42.75,0,1.07602,61805,0.43964,1.11175,0.79337,0.45487,0.0
2013-02-13,42.65373,42.65,0,0.96108,22984,0.57619,1.16145,0.68181,0.41355,0.0
2013-02-14,42.59766,42.62,0,0.84491,120830,0.59946,0.96139,1.36525,0.84664,0.0
2013-02-15,42.69439,42.649,0,1.14844,95942,0.66457,0.768,1.12887,0.71625,0.0
2013-02-19,42.34639,42.44,0,1.31951,54917,0.72831,0.76692,0.88652,0.50631,0.0
2013-02-20,42.57626,42.59,0,0.98615,50085,1.29171,0.80408,1.64064,1.04692,-25.80644183678417
2013-02-21,41.95944,42.01,0,0.99952,38553,0.97576,0.93013,0.99745,0.47576,0.0
2013-02-22,41.84351,41.96,0,1.04862,60286,0.87226,1.59722,0.86247,0.57356,11.428633857095646
2013-02-25,41.79145,41.68,0,0.9357,24983,2.55335,1.0481,1.24117,0.73512,0.0
2013-02-26,42.28172,42.29,0,1.30054,76744,0.93391,0.68203,1.20407,0.53254,0.0
2013-02-27,42.21337,42.24,0,0.87595,72446,1.66228,0.72435,1.70329,0.77753,0.0
2013-02-28,42.57969,42.581,0,1.03004,28308,0.7183,1.25954,0.97942,0.49866,7.894756358943806
2013-03-01,42.69839,42.66,0,1.21808,44336,1.21921,0.80951,0.86615,0.5016,0.0
2013-03-04,42.30781,42.25,0,2.0355,21610,0.85104,1.1739,0.69709,0.44429,0.0
2013-03-05,42.54732,42.54,0,0.82276,40844,1.18653,0.84075,0.92831,0.48498,-5.555613587932981
2013-03-06,41.63447,41.66,0,1.8483,41427,0.4632,1.10386,1.02436,0.77657,0.0
2013-03-07,41.63071,41.7,0,1.00719,42121,0.27975,0.98171,1.74729,0.85104,0.0
2013-03-08,42.15394,42.11,0,1.56732,74337,0.61502,1.12305,1.38307,0.64479,0.0
2013-03-11,42.68795,42.64,0,1.85741,30530,0.57254,0.87288,0.91824,0.60838,0.0
2013-03-12,42.88618,43.0,0,1.09302,27421,0.54944,0.63052,1.24117,0.59594,0.0
2013-03-13,42.7057,42.68,0,1.66354,19869,0.52363,1.17834,1.17918,0.79174,0.0
2013-03-14,43.05501,43.11,1,0.98353,143543,0.56294,0.67974,1.7556,0.92235,5.263260835549993
2013-03-15,43.1954,43.22,0,1.27256,56097,0.5049,0.70782,0.73019,0.64034,0.0
2013-03-18,43.29201,43.31,0,1.2235,28490,1.00316,0.78741,0.9812,0.47338,0.0
2013-03-19,43.52394,43.45,0,1.21956,30484,1.20645,0.73738,0.86547,0.57069,0.0
2013-03-20,43.86201,43.86,0,1.18559,39668,0.84814,0.74174,1.18934,0.70075,0.0
2013-03-21,43.96629,44.0,0,1.0025,18827,0.98072,0.74135,1.69138,0.63766,2.5641922864281166
2013-03-22,43.63392,43.59,0,0.68823,21133,0.76049,0.90565,1.14841,0.58546,0.0
2013-03-25,44.13548,43.99,0,1.14571,32848,1.20449,0.72111,1.79402,0.54067,0.0
2013-03-26,44.00865,43.99,0,0.73021,20484,0.784,0.54761,1.4814,0.54438,0.0
2013-03-27,44.0655,43.98,0,1.00045,33747,0.77871,0.96342,1.08512,0.86556,0.0
2013-03-28,41.42056,40.9,0,7.51589,201741,0.58629,3.92014,1.14747,1.64829,0.0
2013-04-01,40.00599,40.2,0,3.54353,151828,0.77456,2.15532,1.39042,0.7847,0.0
2013-04-02,40.11755,40.19,0,2.1896,102814,0.73173,1.29555,1.31161,1.02346,0.0
2013-04-03,40.34761,40.32,0,1.18552,81240,1.39474,1.31355,2.46106,1.47168,0.0
2013-04-04,40.0035,39.92,0,1.37776,23091,0.64616,1.05827,1.60323,0.69065,0.0
2013-04-05,39.76796,39.82,0,1.3561,42500,1.3185,0.5726,1.81413,0.79427,0.0
2013-04-08,39.70476,39.67,0,1.03353,59962,0.92382,0.51582,1.60307,0.71973,0.0
