Date,NAV,Price,Roll,Volatility,Volume,SP500_Vol,BCOMAG_Vol,BCOMEN_Vol,BCOM_Vol,per_flow
2013-02-04,25.17264,25.1802,0,0.67513,41547,1.21347,0.90231,1.11601,0.61292,0.0
2013-02-05,25.26036,25.27,0,0.98932,5671,1.27375,0.71164,0.8814,0.39269,7.640961301874611
2013-02-06,25.08524,25.09,0,0.54205,7975,0.51715,0.63622,0.94208,0.46131,0.0
2013-02-07,24.94616,24.88,0,0.76367,8284,0.95469,0.85424,2.22487,1.05186,0.0
2013-02-08,24.25327,24.26,0,3.09151,13262,0.58764,1.41172,0.93367,0.74712,0.0
2013-02-11,23.94991,23.962,0,0.41733,9265,0.30982,0.81805,1.51222,0.45548,0.0
2013-02-12,23.91943,23.86,0,0.83822,41600,0.43964,1.11175,0.79337,0.45487,0.0
2013-02-13,23.93618,23.918,0,0.75257,3812,0.57619,1.16145,0.68181,0.41355,0.0
2013-02-14,23.82385,23.7999,0,0.78404,3589,0.59946,0.96139,1.36525,0.84664,0.0
2013-02-15,23.85691,23.8599,0,0.33529,7600,0.66457,0.768,1.12887,0.71625,-8.522886044821998
2013-02-19,24.39893,24.4199,0,1.25308,13631,0.72831,0.76692,0.88652,0.50631,0.0
2013-02-20,24.59765,24.554,0,0.93671,8978,1.29171,0.80408,1.64064,1.04692,0.0
2013-02-21,24.53087,24.4975,0,0.65313,3270,0.97576,0.93013,0.99745,0.47576,0.0
2013-02-22,24.16447,24.16,0,2.64901,7741,0.87226,1.59722,0.86247,0.57356,0.0
2013-02-25,24.06679,24.04,0,1.03993,4432,2.55335,1.0481,1.24117,0.73512,0.0
2013-02-26,23.97328,23.94,0,1.21136,4986,0.93391,0.68203,1.20407,0.53254,0.0
2013-02-27,24.0506,24.01,0,0.94752,9084,1.66228,0.72435,1.70329,0.77753,0.0
2013-02-28,24.185,24.1699,0,0.95118,8800,0.7183,1.25954,0.97942,0.49866,0.0
2013-03-01,24.09557,24.11,0,0.78266,19936,1.21921,0.80951,0.86615,0.5016,0.0
2013-03-04,24.33347,24.12,0,0.36857,1800,0.85104,1.1739,0.69709,0.44429,0.0
2013-03-05,24.41998,24.36,0,0.73892,2865,1.18653,0.84075,0.92831,0.48498,-9.098219072011435
2013-03-06,24.44018,24.46,0,0.82093,9897,0.4632,1.10386,1.02436,0.77657,0.0
