Date,NAV,Price,Roll,Volatility,Volume,SP500_Vol,BCOMAG_Vol,BCOMEN_Vol,BCOM_Vol,per_flow
2013-02-01,64.17537,64.06,0,1.51733,59430,1.07721,1.25081,1.1442,0.62076,-9.999937670820907
2013-02-04,63.28685,63.37,0,0.77008,24364,1.21347,0.90231,1.11601,0.61292,0.0
2013-02-05,63.8293,63.89,0,0.46956,13495,1.27375,0.71164,0.8814,0.39269,0.0
2013-02-06,63.87613,64.15,0,1.49649,13886,0.51715,0.63622,0.94208,0.46131,0.0
2013-02-07,63.03886,63.32,0,2.24258,38253,0.95469,0.85424,2.22487,1.05186,0.0
2013-02-08,64.2743,64.32,0,0.71517,30252,0.58764,1.41172,0.93367,0.74712,0.0
2013-02-11,63.48022,63.64,0,0.97423,39145,0.30982,0.81805,1.51222,0.45548,0.0
2013-02-12,64.0899,64.0536,0,0.97106,19795,0.43964,1.11175,0.79337,0.45487,0.0
2013-02-13,63.77553,64.01,0,1.53101,42138,0.57619,1.16145,0.68181,0.41355,0.0
2013-02-14,65.47926,65.694,1,2.78564,65634,0.59946,0.96139,1.36525,0.84664,0.0
2013-02-15,65.42322,65.709,0,1.23119,63452,0.66457,0.768,1.12887,0.71625,0.0
2013-02-19,65.44489,65.43,0,1.11264,37073,0.72831,0.76692,0.88652,0.50631,0.0
2013-02-20,64.32413,64.27,0,1.46196,50585,1.29171,0.80408,1.64064,1.04692,0.0
2013-02-21,63.83903,63.83,0,1.52279,75114,0.97576,0.93013,0.99745,0.47576,0.0
2013-02-22,64.46531,64.73,0,1.17411,15694,0.87226,1.59722,0.86247,0.57356,0.0
2013-02-25,64.41746,64.14,0,1.34082,26460,2.55335,1.0481,1.24117,0.73512,0.0
2013-02-26,63.13683,63.19,0,1.77243,33479,0.93391,0.68203,1.20407,0.53254,0.0
2013-02-27,61.30942,61.56,0,2.84276,78964,1.66228,0.72435,1.70329,0.77753,0.0
2013-02-28,61.4146,61.27,0,1.45259,73536,0.7183,1.25954,0.97942,0.49866,0.0
2013-03-01,61.7468,61.96,0,2.09651,15624,1.21921,0.80951,0.86615,0.5016,0.0
2013-03-04,61.1445,61.08,0,1.09692,16631,0.85104,1.1739,0.69709,0.44429,0.0
2013-03-05,62.12815,62.18,0,1.5907,33798,1.18653,0.84075,0.92831,0.48498,0.0
2013-03-06,61.66274,61.62,0,1.47679,14265,0.4632,1.10386,1.02436,0.77657,0.0
2013-03-07,61.6337,61.64,0,1.2977,13193,0.27975,0.98171,1.74729,0.85104,0.0
2013-03-08,63.21545,63.26,0,1.92855,27938,0.61502,1.12305,1.38307,0.64479,0.0
2013-03-11,62.20244,62.18,0,2.25153,11981,0.57254,0.87288,0.91824,0.60838,0.0
2013-03-12,62.1576,62.16,0,1.80196,31016,0.54944,0.63052,1.24117,0.59594,0.0
2013-03-13,62.00024,61.74,0,2.81827,18883,0.52363,1.17834,1.17918,0.79174,0.0
2013-03-14,61.97908,61.89,1,0.97512,8631,0.56294,0.67974,1.7556,0.92235,0.0
2013-03-15,62.38304,62.22,0,0.66217,29710,0.5049,0.70782,0.73019,0.64034,0.0
2013-03-18,61.73055,61.51,0,1.11852,12975,1.00316,0.78741,0.9812,0.47338,0.0
2013-03-19,60.19833,60.1,0,1.98003,37353,1.20645,0.73738,0.86547,0.57069,-5.263130285162725
2013-03-20,61.41899,61.34,0,2.91816,28615,0.84814,0.74174,1.18934,0.70075,0.0
2013-03-21,60.57978,60.46,0,1.55475,30715,0.98072,0.74135,1.69138,0.63766,0.0
2013-03-22,60.41004,60.27,0,1.37714,21609,0.76049,0.90565,1.14841,0.58546,0.0
2013-03-25,60.4654,60.34,0,1.82532,18889,1.20449,0.72111,1.79402,0.54067,0.0
2013-03-26,61.42076,61.5,0,1.78862,20854,0.784,0.54761,1.4814,0.54438,0.0
2013-03-27,61.60365,61.58,0,0.77623,19468,0.77871,0.96342,1.08512,0.86556,0.0
2013-03-28,61.57857,61.66,0,1.16769,27431,0.58629,3.92014,1.14747,1.64829,0.0
2013-04-01,61.3927,61.32,0,2.00587,43270,0.77456,2.15532,1.39042,0.7847,0.0
2013-04-02,60.18906,60.0,0,1.05,48589,0.73173,1.29555,1.31161,1.02346,0.0
2013-04-03,57.67623,57.54,0,4.17101,71484,1.39474,1.31355,2.46106,1.47168,0.0
2013-04-04,57.37186,57.38,0,1.82973,77351,0.64616,1.05827,1.60323,0.69065,0.0
2013-04-05,56.67534,56.8,0,1.18239,21782,1.3185,0.5726,1.81413,0.79427,0.0
2013-04-08,57.57655,57.78,0,1.05573,21660,0.92382,0.51582,1.60307,0.71973,0.0
2013-04-09,58.23081,58.24,0,1.61401,59740,0.82685,0.75193,1.08267,0.69698,0.0
2013-04-10,56.69843,56.78,0,1.84924,47473,1.28863,1.89748,1.17422,0.69617,0.0
2013-04-11,56.02173,56.22,0,1.5297,33070,0.70166,0.7462,1.22403,0.50881,0.0
2013-04-12,55.44209,55.23,0,1.7744,58324,0.83897,0.49991,1.07172,0.95925,0.0
2013-04-15,54.56279,54.02,0,2.16586,74012,2.35512,1.06042,2.01239,1.29447,0.0
2013-04-16,55.0408,55.091,1,2.16006,61339,1.46008,1.15255,1.5306,0.88554,0.0
2013-04-17,53.97269,54.04,0,1.36954,45365,1.98968,1.09143,1.45486,0.47959,0.0
2013-04-18,54.52327,54.63,0,2.11953,29361,1.19031,1.03574,3.23483,1.16636,0.0
2013-04-19,54.78204,54.78,0,0.89449,30151,1.06028,0.78355,0.73682,0.51327,0.0
2013-04-22,54.78019,54.84,0,0.87509,30043,1.11104,0.79145,1.48122,0.94227,0.0
2013-04-23,53.88961,53.93,0,1.10143,32625,1.08185,0.92401,1.08075,0.55039,0.0
2013-04-24,54.58451,54.66,0,1.50805,47111,0.45605,0.92049,0.86288,0.43029,4.999954199452226
2013-04-25,55.7489,55.61,0,1.78044,56226,0.8649,1.03062,1.76916,1.14992,0.0
2013-04-26,56.07867,55.9,0,1.33274,26581,0.51952,0.79998,1.62911,0.76411,0.0
2013-04-29,55.96971,55.93,0,0.66154,39305,0.89796,2.2437,1.69098,1.30149,0.0
2013-04-30,55.57194,55.17,0,1.48632,34137,0.69293,0.83904,1.21248,0.57172,0.0
2013-05-01,53.93121,53.82,0,1.8023,70093,1.02799,0.6936,1.41155,0.90613,0.0
2013-05-02,55.14517,54.96,0,2.5655,46688,0.99087,0.955,2.86112,1.18847,0.0
2013-05-03,56.03201,55.87,0,1.3603,84201,1.2921,1.09007,1.16333,0.73694,0.0
2013-05-06,56.82778,56.7,0,1.83422,43067,0.34374,0.96478,1.34604,0.38885,4.761920722919028
2013-05-07,56.18564,56.1,0,1.18717,19594,0.5775,0.94772,1.10436,0.61351,0.0
2013-05-08,56.58908,56.66,0,1.48253,30751,0.61739,1.03836,0.94784,0.68904,0.0
2013-05-09,57.2091,57.02,0,1.78885,82340,0.73279,1.74462,1.33505,0.82844,0.0
