Date,NAV,Price
2013-07-15,37.66055,37.67
2013-07-16,37.57795,37.48
2013-07-17,37.81195,37.8
2013-07-18,38.33045,38.34
2013-07-19,38.35104,38.45
2013-07-22,38.01815,37.92
2013-07-23,38.12047,38.09
2013-07-24,37.46568,37.4
2013-07-25,37.50066,37.58
2013-07-26,37.21914,37.21
2013-07-29,37.16387,37.13
2013-07-30,36.64068,36.67
2013-07-31,37.33324,37.36
2013-08-01,38.3491,38.27
2013-08-02,38.01067,37.94
2013-08-05,37.87345,37.83
2013-08-06,37.42491,37.46
2013-08-07,37.09979,37.01
2013-08-08,36.74043,36.84
2013-08-09,37.58096,37.59
2013-08-12,37.70701,37.76
2013-08-13,38.02091,37.9
2013-08-14,38.07738,38.09
2013-08-15,38.3019,38.24
2013-08-16,38.33701,38.4
2013-08-19,38.18132,38.17
2013-08-20,37.55537,37.52
2013-08-21,37.10465,37.17
2013-08-22,37.52563,37.54
2013-08-23,38.02167,37.95
2013-08-26,37.84111,37.96
2013-08-27,38.94442,38.87
2013-08-28,39.33321,39.08
2013-08-29,38.86818,38.58
2013-08-30,38.45592,38.48
2013-09-02,38.45592,38.48
2013-09-03,38.77208,38.76
2013-09-04,38.30352,38.34
2013-09-05,38.71015,38.69
2013-09-06,39.48115,39.36
2013-09-09,39.11307,38.94
2013-09-10,38.37445,38.335
2013-09-11,38.4289,38.48
2013-09-12,38.82769,38.865
2013-09-13,38.75135,38.85
2013-09-16,38.26295,38.11
2013-09-17,37.76855,37.74
2013-09-18,38.65443,38.68
2013-09-19,38.14218,38.08
2013-09-20,37.74159,37.77
2013-09-23,37.32177,37.27
2013-09-24,37.15531,37.22
2013-09-25,36.98533,36.88
2013-09-26,37.11799,37.08
2013-09-27,37.05976,36.96
2013-09-30,36.86323,36.85
2013-10-01,36.75814,36.68
2013-10-02,37.49978,37.42
2013-10-03,37.21459,37.14
2013-10-04,37.40482,37.31
2013-10-07,37.1111,37.14
2013-10-08,37.2762,37.31
2013-10-09,36.59751,36.55
2013-10-10,37.1119,37.1
2013-10-11,36.79692,36.75
2013-10-14,36.94604,36.87
2013-10-15,36.55965,36.47
2013-10-16,36.94845,36.92
2013-10-17,36.36382,36.38
2013-10-18,36.44975,36.45
2013-10-21,35.93264,35.94
2013-10-22,35.43464,35.41
2013-10-23,34.91493,34.95
2013-10-24,35.00435,34.99
2013-10-25,35.27045,35.32
2013-10-28,35.56803,35.55
2013-10-29,35.39448,35.41
2013-10-30,34.87842,34.85
2013-10-31,34.73737,34.69
2013-11-01,34.09898,34.129
2013-11-04,34.10109,34.04
2013-11-05,33.65004,33.67
2013-11-06,34.16482,34.189
2013-11-07,33.94846,33.97
2013-11-08,34.09307,34.01
2013-11-11,34.2795,34.26
2013-11-12,33.57822,33.64
2013-11-13,33.92608,33.9
2013-11-14,33.89674,33.93
2013-11-15,33.92494,33.88
2013-11-18,33.63263,33.62
2013-11-19,33.7073,33.72
2013-11-20,33.69242,33.63
2013-11-21,34.26273,34.17
2013-11-22,34.04679,34.04
2013-11-25,33.77603,33.82
2013-11-26,33.62836,33.69
2013-11-27,33.13248,33.19
2013-11-28,33.13248,33.19
2013-11-29,33.28186,33.46
2013-12-02,33.67569,33.68
2013-12-03,34.47193,34.51
2013-12-04,34.8877,34.88
2013-12-05,34.95165,34.93
2013-12-06,35.04868,35.05
2013-12-09,34.93007,34.91
2013-12-10,35.32921,35.31
2013-12-11,34.99147,34.98
2013-12-12,35.02672,34.97
2013-12-13,34.70746,34.64
2013-12-16,35.00671,34.94
2013-12-17,34.89882,34.87
2013-12-18,35.10955,35.03
2013-12-19,35.4599,35.32
2013-12-20,35.55947,35.48
2013-12-23,35.4109,35.36
2013-12-24,35.52155,35.49
2013-12-25,35.52155,35.49
2013-12-26,35.63866,35.65
2013-12-27,35.9139,35.84
2013-12-30,35.54358,35.53
2013-12-31,35.23175,35.32
2014-01-01,35.23175,35.32
