Date,NAV,Price,Roll,Volatility,Volume,SP500_Vol,BCOMAG_Vol,BCOMEN_Vol,BCOM_Vol,per_flow
2013-07-15,37.66055,37.67,0,1.06185,592731,0.39346,0.88233,1.36504,0.65591,3.347276058061492
2013-07-16,37.57795,37.48,0,0.88047,403738,0.70932,1.29782,0.85522,0.45638,-11.16278114119129
2013-07-17,37.81195,37.8,0,0.95238,411396,0.40692,0.68598,0.68632,0.62219,-1.4150961049303818
2013-07-18,38.33045,38.34,0,1.38237,604849,0.71447,0.99937,2.50787,1.00936,2.304144362846111
2013-07-19,38.35104,38.45,0,1.58648,755453,0.47338,0.79906,1.18674,0.34937,-5.339813075784076
2013-07-22,38.01815,37.92,0,1.37157,802068,0.40931,0.71628,1.32419,0.45355,-5.641030552344839
2013-07-23,38.12047,38.09,0,1.23392,577058,0.45202,1.55161,1.57819,0.46884,-7.142855083781523
2013-07-24,37.46568,37.4,0,2.03209,899236,0.93776,1.39967,1.57849,1.18059,4.21051966150077
2013-07-25,37.50066,37.58,0,1.67642,650254,0.6431,1.07119,1.32712,0.7317,5.472647112514912
2013-07-26,37.21914,37.21,0,1.20935,400043,0.93518,0.7968,0.79833,0.6342,7.373268351824305
2013-07-29,37.16387,37.13,0,1.02343,340094,0.53758,0.86829,1.32883,0.54451,-3.3333324791156596
2013-07-30,36.64068,36.67,0,1.11808,656291,0.63881,0.81681,1.18058,0.80388,0.0
2013-07-31,37.33324,37.36,0,2.19486,783179,0.80025,0.68964,1.53626,0.88144,0.0
2013-08-01,38.3491,38.27,0,0.91455,1106474,1.07975,1.48033,0.8015,0.79596,-3.9603987236588103
2013-08-02,38.01067,37.94,0,0.73801,550863,0.52583,1.46026,1.10037,0.76143,-8.02138999816404
2013-08-05,37.87345,37.83,0,1.11023,341017,0.33331,0.91715,0.77876,0.34635,0.0
2013-08-06,37.42491,37.46,0,1.44154,761324,0.73643,0.68777,1.6088,0.8457,4.102559956633851
2013-08-07,37.09979,37.01,1,1.35099,741450,0.61446,0.90119,1.28193,0.40571,0.0
2013-08-08,36.74043,36.84,1,1.38436,1357261,0.69515,0.7687,2.19396,0.90543,5.339809096325059
2013-08-09,37.58096,37.59,1,1.62277,906521,0.79223,1.0125,1.34723,0.51444,10.82250025082935
2013-08-12,37.70701,37.76,1,1.37712,538523,0.48181,2.26974,1.49309,1.41548,0.0
2013-08-13,38.02091,37.9,0,1.31926,558796,0.83758,1.60667,0.88448,0.8996,-1.3157928129563077
2013-08-14,38.07738,38.09,0,1.29955,637520,0.63427,1.23733,1.22063,0.95392,-7.5471560210371
2013-08-15,38.3019,38.24,0,1.09833,569968,1.26526,1.64314,1.30752,1.39193,0.0
2013-08-16,38.33701,38.4,0,1.45573,667602,0.66372,0.90338,0.86886,0.51309,0.0
2013-08-19,38.18132,38.17,0,0.96935,425155,0.81042,1.41967,1.32745,0.71581,-7.070714285808768
2013-08-20,37.55537,37.52,0,2.1855,845895,0.77708,1.61434,1.16672,0.82247,0.0
2013-08-21,37.10465,37.17,0,1.42588,685761,1.06891,1.51586,0.88794,0.62447,2.463051178779017
2013-08-22,37.52563,37.54,0,1.35855,563977,0.8763,1.46123,1.16767,0.44031,0.0
2013-08-23,38.02167,37.95,0,2.45059,742907,0.60355,1.79819,1.13997,1.02703,7.305939198817881
2013-08-26,37.84111,37.96,0,0.79031,712570,0.81423,3.28864,0.90445,1.22559,-5.288472166638081
2013-08-27,38.94442,38.87,0,0.84898,1811795,1.44068,1.85131,2.21434,0.9564,0.0
2013-08-28,39.33321,39.08,0,1.17707,1616705,0.83855,1.10709,2.18085,1.23669,5.022826862491111
2013-08-29,38.86818,38.58,0,2.17729,1017724,0.94801,0.82165,1.3683,0.87445,10.24590790539903
2013-08-30,38.45592,38.48,0,1.6632,1295702,0.73669,0.7074,1.50406,1.03032,-9.417052856302938
2013-09-03,38.77208,38.76,0,1.67183,990047,1.09406,2.06022,1.53521,1.18873,3.879313267867488
2013-09-04,38.30352,38.34,0,1.06938,536654,1.10763,1.66012,0.95413,1.2779,5.306113445727382
2013-09-05,38.71015,38.69,0,1.21478,551911,0.36856,1.08409,1.28791,0.89926,0.0
2013-09-06,39.48115,39.36,0,1.29573,1304135,1.46269,1.10071,0.84603,0.81211,0.0
2013-09-09,39.11307,38.94,1,1.33539,989159,0.93019,1.09232,0.78166,0.59076,-11.363639797207979
2013-09-10,38.37445,38.335,1,1.06952,1337609,0.58017,1.09749,2.07229,1.11141,0.0
2013-09-11,38.4289,38.48,1,0.96154,693301,0.61748,0.84764,1.2419,0.5393,3.5087697272782985
2013-09-12,38.82769,38.865,1,1.15785,612214,0.47582,2.24023,1.96657,0.99149,-2.2421474944950517
2013-09-13,38.75135,38.85,0,1.33848,404274,0.38567,1.08886,1.11031,0.68822,-4.694842051228992
2013-09-16,38.26295,38.11,0,1.07583,773058,0.78051,1.31676,1.60988,0.85418,0.0
