Date,NAV,Price,Roll,Volatility,Volume,SP500_Vol,BCOMAG_Vol,BCOMEN_Vol,BCOM_Vol,per_flow
2013-02-04,20.67508,20.65,0,1.03632,10505,1.21347,0.90231,1.11601,0.61292,0.0
2013-02-05,20.49524,20.5795,0,1.06854,12928,1.27375,0.71164,0.8814,0.39269,0.0
2013-02-06,20.57462,20.51,0,1.80351,13989,0.51715,0.63622,0.94208,0.46131,0.0
2013-02-07,20.33409,20.29,0,0.88714,8800,0.95469,0.85424,2.22487,1.05186,0.0
2013-02-08,20.31861,20.3958,0,1.71604,19875,0.58764,1.41172,0.93367,0.74712,0.0
2013-02-11,19.97922,19.9701,0,1.6074,11967,0.30982,0.81805,1.51222,0.45548,0.0
2013-02-12,19.7514,19.73,0,1.5707,29185,0.43964,1.11175,0.79337,0.45487,0.0
2013-02-13,19.85852,19.93,0,1.65078,62251,0.57619,1.16145,0.68181,0.41355,0.0
2013-02-14,19.79188,19.88,0,1.64537,21665,0.59946,0.96139,1.36525,0.84664,0.0
2013-02-15,19.96479,20.04,0,1.39721,29050,0.66457,0.768,1.12887,0.71625,8.229401452541948
2013-02-19,19.71665,19.6601,0,2.44149,44966,0.72831,0.76692,0.88652,0.50631,0.0
2013-02-20,19.87156,19.8799,0,1.55936,61591,1.29171,0.80408,1.64064,1.04692,7.4880386479414085
2013-02-21,19.34506,19.331,0,2.21923,47314,0.97576,0.93013,0.99745,0.47576,0.0
2013-02-22,19.22168,19.24,0,1.56029,11006,0.87226,1.59722,0.86247,0.57356,0.0
2013-02-25,18.86896,18.86,0,1.78791,18689,2.55335,1.0481,1.24117,0.73512,0.0
2013-02-26,18.99305,18.9999,0,1.0679,7800,0.93391,0.68203,1.20407,0.53254,0.0
2013-02-27,19.0151,18.96,0,1.63449,3350,1.66228,0.72435,1.70329,0.77753,0.0
2013-02-28,19.05523,19.12,0,1.216,22384,0.7183,1.25954,0.97942,0.49866,0.0
2013-03-01,19.17821,19.1696,0,2.32504,9533,1.21921,0.80951,0.86615,0.5016,0.0
2013-03-04,18.71134,18.7764,0,2.60913,19404,0.85104,1.1739,0.69709,0.44429,0.0
2013-03-05,18.83756,18.84,0,1.00318,13571,1.18653,0.84075,0.92831,0.48498,0.0
2013-03-06,18.2845,18.29,0,2.62384,33002,0.4632,1.10386,1.02436,0.77657,0.0
2013-03-07,18.5529,18.5,0,0.97297,13025,0.27975,0.98171,1.74729,0.85104,0.0
2013-03-08,18.53885,18.49,0,2.16333,16146,0.61502,1.12305,1.38307,0.64479,0.0
2013-03-11,18.61799,18.72,0,1.92254,18754,0.57254,0.87288,0.91824,0.60838,0.0
2013-03-12,18.68712,18.7,0,1.61176,37740,0.54944,0.63052,1.24117,0.59594,0.0
2013-03-13,18.8111,18.8,0,1.11702,11540,0.52363,1.17834,1.17918,0.79174,0.0
2013-03-14,19.12404,19.198,1,1.80748,19397,0.56294,0.67974,1.7556,0.92235,0.0
2013-03-15,19.16906,19.154,0,1.30469,6698,0.5049,0.70782,0.73019,0.64034,13.20164151074633
2013-03-18,18.97906,19.0099,0,2.15677,10023,1.00316,0.78741,0.9812,0.47338,0.0
2013-03-19,19.15481,19.1,0,1.49215,5697,1.20645,0.73738,0.86547,0.57069,0.0
2013-03-20,19.48348,19.38,0,2.47678,23144,0.84814,0.74174,1.18934,0.70075,0.0
2013-03-21,19.31545,19.32,0,1.21118,11903,0.98072,0.74135,1.69138,0.63766,0.0
2013-03-22,19.36212,19.2,0,3.3125,18078,0.76049,0.90565,1.14841,0.58546,0.0
2013-03-25,19.37322,19.22,0,1.87305,4200,1.20449,0.72111,1.79402,0.54067,0.0
2013-03-26,19.45223,19.418,0,0.51499,7283,0.784,0.54761,1.4814,0.54438,0.0
2013-03-27,19.54209,19.4301,0,1.02882,11304,0.77871,0.96342,1.08512,0.86556,0.0
