Date,FUND_FLOW,FUND_TOTAL_ASSETS
11/27/20,0,76.0266
11/25/20,-1.0904,76.3298
11/24/20,0,76.203
11/23/20,0,72.9219
11/20/20,0,71.294
11/19/20,0,70.6437
11/18/20,0,70.8278
11/17/20,-4.9459,70.2323
11/16/20,0,74.8011
11/13/20,0,73.4095
11/12/20,0,75.4786
11/11/20,0,76.7063
11/10/20,0,77.8949
11/09/20,0,75.7179
11/06/20,0,70.7452
11/05/20,0,72.8013
11/04/20,0,72.2939
11/03/20,0,70.2602
11/02/20,0,68.6375
10/30/20,0,67.3486
10/29/20,0,67.0773
10/28/20,0,69.4006
10/27/20,0,73.6548
10/26/20,3.7671,71.5755
10/23/20,0,69.6718
10/22/20,-9.8331,70.7984
10/21/20,0,79.3584
10/20/20,-6.0407,82.5558
10/19/20,0,86.7848
10/16/20,0,87.1679
10/15/20,0,88.005
10/14/20,-2.0291,89.2823
10/13/20,0,90.2143
10/12/20,0,89.6821
10/09/20,0,91.7849
10/08/20,0,93.9529
10/07/20,0,91.6131
10/06/20,0,94.2234
10/05/20,8.0976,91.098
10/02/20,0,78.0981
10/01/20,0,80.1083
09/30/20,0,82.1396
09/29/20,0,81.4113
09/28/20,0,84.3393
09/25/20,-6.0525,82.7176
09/24/20,0,87.5325
09/23/20,0,86.3848
09/22/20,0,85.3415
09/21/20,0,86.1343
09/18/20,-5.1288,90.2667
09/17/20,0,94.7664
09/16/20,-1.9833,92.222
09/15/20,0,90.1812
09/14/20,-1.8464,87.7036
09/11/20,0,88.5925
09/10/20,0,88.8209
09/09/20,0,90.5709
09/08/20,0,89.2373
09/04/20,0,95.2664
09/03/20,0,97.5103
09/02/20,-1.0029,97.2778
09/01/20,0,100.1385
08/31/20,0,99.2409
08/28/20,0,101.9292
08/27/20,0,99.617
08/26/20,0,103.3152
08/25/20,-4.2341,103.7342
08/24/20,-2.1025,107.2295
08/21/20,0,105.2774
08/20/20,-2.047,106.4422
08/19/20,0,108.6765
08/18/20,0,108.36
08/17/20,0,107.3446
08/14/20,0,105.2027
08/13/20,-2.954,104.376
08/12/20,0,108.114
08/11/20,0,104.699
08/10/20,0,106.8569
08/07/20,0,104.9755
08/06/20,0,106.7596
08/05/20,0,106.3005
08/04/20,0,105.5633
08/03/20,0,105.4608
07/31/20,0,101.8143
07/30/20,0,103.5287
07/29/20,-1.9354,105.4778
07/28/20,0,109.3624
07/27/20,0,110.2053
07/24/20,-3.0057,111.2112
07/23/20,0,112.4271
07/22/20,0,114.6113
07/21/20,-1.0055,114.6222
07/20/20,0,111.2903
07/17/20,0,110.6626
07/16/20,0,111.514
07/15/20,0,114.2815
07/14/20,0,112.7377
07/13/20,0,115.0895
07/10/20,-5.0422,115.9715
07/09/20,0,117.9407
07/08/20,0,121.7536
07/07/20,-3.0064,120.2552
07/06/20,0,119.9567
07/02/20,0,121.743
07/01/20,0,117.655
06/30/20,0,116.1678
06/29/20,0,114.8449
06/26/20,0,111.8622
06/25/20,0,115.7603
06/24/20,0,115.9553
