Date,FUND_FLOW,FUND_TOTAL_ASSETS
11/27/20,-53.2012,3743.5965
11/25/20,-40.7909,3806.8466
11/24/20,-30.8604,3784.2113
11/23/20,-17.8112,3669.8128
11/20/20,0,3639.4721
11/19/20,0,3600.1407
11/18/20,0,3613.7448
11/17/20,-5.7733,3585.9135
11/16/20,-37.4619,3585.4933
11/13/20,-16.8649,3533.8653
11/12/20,-46.0608,3636.601
11/11/20,-46.4173,3711.1652
11/10/20,-28.9324,3747.4338
11/09/20,0,3693.2923
11/06/20,-13.1399,3430.1232
11/05/20,-13.6644,3580.7246
11/04/20,0,3627.5404
11/03/20,0,3499.4848
11/02/20,46.9612,3431.3956
10/30/20,-2.535,3288.518
10/29/20,0,3315.8705
10/28/20,-21.0875,3422.0712
10/27/20,0,3628.4046
10/26/20,0,3543.4618
10/23/20,-16.7766,3652.3669
10/22/20,-11.3997,3739.7854
10/21/20,-33.6991,3696.3349
10/20/20,-195.613,3877.9187
10/19/20,0,4014.8783
10/16/20,0,4020.215
10/15/20,-26.0189,4033.6053
10/14/20,-26.1064,4073.2837
10/13/20,0,4025.7001
10/12/20,0,3956.1333
10/09/20,0,4064.2644
10/08/20,0,4117.3235
10/07/20,-25.4882,4002.3216
10/06/20,0,4094.9398
10/05/20,0,3963.0395
10/02/20,0,3754.1591
10/01/20,-30.2738,3914.2199
09/30/20,-17.0923,4082.8855
09/29/20,0,4009.0657
09/28/20,0,4136.6825
09/25/20,-19.945,4100.7987
09/24/20,0,4130.3856
09/23/20,-22.6361,4092.1351
09/22/20,-25.3887,4102.3476
09/21/20,0,4105.7459
09/18/20,-26.3251,4279.9895
09/17/20,0,4301.9642
09/16/20,0,4225.9093
09/15/20,-13.77,4054.5305
09/14/20,0,3973.995
09/11/20,0,3982.496
09/10/20,0,3986.9843
09/09/20,0,4059.6872
09/08/20,0,3942.4004
09/04/20,22.9381,4235.6302
09/03/20,-2.9699,4363.4199
09/02/20,-11.9068,4376.4607
09/01/20,-45.8552,4506.7588
08/31/20,0,4530.6346
08/28/20,-18.4265,4573.5747
08/27/20,0,4588.9695
08/26/20,-21.6753,4629.9573
08/25/20,-18.5581,4646.441
08/24/20,0,4596.1771
08/21/20,414.162,4559.5176
08/20/20,-6.1123,4190.6905
08/19/20,0,4223.5378
08/18/20,0,4228.1717
08/17/20,0,4230.2452
08/14/20,-27.2331,4155.2739
08/13/20,-54.6586,4197.283
08/12/20,9.1862,4287.6223
08/11/20,0,4180.04
08/10/20,0,4208.848
08/07/20,0,4148.1717
08/06/20,-54.3402,4218.1164
08/05/20,-42.4192,4288.0813
08/04/20,-23.9409,4277.156
08/03/20,-2.9553,4247.4531
07/31/20,0,4171.3562
07/30/20,-31.6537,4138.6809
07/29/20,0,4290.3749
07/28/20,-11.7644,4262.332
07/27/20,0,4321.8249
07/24/20,-2.9492,4285.8673
07/23/20,-23.4243,4258.0638
07/22/20,-47.7125,4360.4343
07/21/20,-23.8484,4406.7024
07/20/20,0,4339.2549
07/17/20,-58.2022,4325.1087
07/16/20,-17.5112,4395.9909
07/15/20,-14.7431,4459.019
07/14/20,-40.515,4390.7775
07/13/20,-100.72,4406.4648
07/10/20,-23.2759,4556.9403
07/09/20,-131.004,4483.2974
07/08/20,-17.5422,4737.0736
07/07/20,-118.854,4714.2658
07/06/20,0,4836.0585
07/02/20,0,4837.0422
07/01/20,-48.3717,4743.9483
06/30/20,-8.4052,4718.7799
06/29/20,0,4783.9819
06/26/20,-2.7561,4650.207
06/25/20,-19.4446,4689.5884
06/24/20,-54.5684,4625.3194
06/23/20,-20.1674,4941.6846
06/22/20,0,5000.9268
06/19/20,-45.4271,4889.7569
06/18/20,-100.659,4860.2501
06/17/20,-112.444,4865.9033
06/16/20,-25.0336,5049.0968
06/15/20,-75.6874,4931.1319
06/12/20,0,4879.4696
06/11/20,0,4880.2213
06/10/20,0,5274.048
06/09/20,0,5202.9172
06/08/20,0,5108.2263
06/05/20,0,5283.3244
06/04/20,0,5038.3063
06/03/20,0,5014.354
06/02/20,0,4945.4023
06/01/20,0,4798.775
05/29/20,0,4804.0958
05/28/20,0,4594.3365
05/27/20,0,4494.5859
05/26/20,0,4685.5927
05/22/20,0,4544.1138
05/21/20,0,4622.3073
05/20/20,0,4565.1632
05/19/20,0,4400.7584
05/18/20,0,4380.8664
05/15/20,0,4103.7189
05/14/20,0,3949.4546
05/13/20,0,3751.3894
05/12/20,0,3827.8629
05/11/20,0,3766.2288
05/08/20,0,3939.9751
05/07/20,-2.7914,3722.454
05/06/20,0,3791.3534
05/05/20,0,3931.5724
05/04/20,0,3505.9271
05/01/20,0,3446.3198
04/30/20,0,3489.2707
04/29/20,0,3192.0575
04/28/20,0,3030.7281
04/27/20,0,3082.8619
04/24/20,0,3599.0386
04/23/20,0,3608.8668
04/22/20,78.9,3431.1105
04/21/20,537.056,2983.4632
04/20/20,564.949,4109.9814
04/17/20,552.513,4263.2507
04/16/20,356.484,3785.0937
04/15/20,128.995,3497.1625
04/14/20,371.216,3544.0896
04/13/20,194.574,3388.5054
04/09/20,313.811,3169.9769
04/08/20,164.882,3067.4281
04/07/20,-53.3589,2740.3957
04/06/20,-147.5,3083.4487
04/03/20,-17.6139,3511.0434
04/02/20,23.081,3152.6487
04/01/20,181.775,2510.3445
03/31/20,266.038,2348.093
03/30/20,76.1703,2042.4469
03/27/20,88.6866,2105.303
03/26/20,49.6344,2118.8265
03/25/20,12.6853,2242.2546
03/24/20,115.412,2185.8672
03/23/20,96.8002,2014.4118
03/20/20,279.909,1857.6216
03/19/20,263.042,1806.399
03/18/20,110.05,1240.7605
03/17/20,83.8027,1483.5347
03/16/20,28.2389,1485.244
03/13/20,86.479,1613.1656
03/12/20,46.3766,1520.4888
03/11/20,250.417,1539.1678
03/10/20,239.709,1341.0763
03/09/20,45.6571,997.9338
03/06/20,0,1261.0575
03/05/20,-43.2171,1402.1555
03/04/20,-38.1721,1473.0503
03/03/20,-19.7422,1524.0986
03/02/20,106.612,1529.731
02/28/20,58.0575,1362.478
02/27/20,-19.7021,1372.2479
02/26/20,0,1440.3839
02/25/20,-20.8765,1474.9219
02/24/20,0,1541.6146
02/21/20,-26.7958,1599.9309
02/20/20,-11.2692,1641.9212
02/19/20,-20.1372,1641.181
02/18/20,74.3653,1624.0069
02/14/20,8.753,1550.3787
02/13/20,30.2483,1522.138
