Date,FUND_FLOW,FUND_TOTAL_ASSETS
11/27/20,0.8859,75.4471
11/25/20,0,73.4342
11/24/20,0,75.6176
11/23/20,0,74.2488
11/20/20,1.1678,73.7148
11/19/20,0.5845,72.6215
11/18/20,0,72.8331
11/17/20,1.1775,72.5615
11/16/20,0.5906,71.604
11/13/20,0,70.6002
11/12/20,0,70.1101
11/11/20,0,71.0451
11/10/20,0,72.1827
11/09/20,0,70.9543
11/06/20,0,71.2279
11/05/20,0,71.5855
11/04/20,0,71.1642
11/03/20,-1.4778,71.0808
11/02/20,0,72.2747
10/30/20,0,71.4411
10/29/20,0,71.6411
10/28/20,4.4123,72.2134
10/27/20,0,68.7429
10/26/20,0,69.1712
10/23/20,4.2736,70.362
10/22/20,0,65.3594
10/21/20,-0.6109,66.1304
10/20/20,-1.2202,66.6523
10/19/20,0,67.2197
10/16/20,0,66.9687
10/15/20,0,66.6645
10/14/20,0,65.0808
10/13/20,0,64.7684
10/12/20,0,64.9103
10/09/20,0,64.8671
10/08/20,0,64.9348
10/07/20,0,66.085
10/06/20,0,65.0174
10/05/20,0,64.222
10/02/20,0,63.2374
10/01/20,0,62.9158
09/30/20,0,63.5874
09/29/20,0.2743,61.0254
09/28/20,0,60.8526
09/25/20,0,60.2105
09/24/20,0.2744,60.7719
09/23/20,0,60.4899
09/22/20,0,61.3492
09/21/20,0,61.1379
09/18/20,-0.5712,62.9762
09/17/20,0,61.7673
09/16/20,0,60.4728
09/15/20,0,60.0968
09/14/20,0,60.8557
09/11/20,0,60.5421
09/10/20,0.5497,61.1538
09/09/20,0,60.1747
09/08/20,0,60.1512
09/04/20,0,60.703
09/03/20,0,60.9756
09/02/20,0,61.5565
09/01/20,0,62.0468
08/31/20,0,60.952
08/28/20,0,60.6157
08/27/20,0.4132,60.7436
08/26/20,0,59.2687
08/25/20,0,58.7877
08/24/20,0,58.0395
08/21/20,0,58.6894
08/20/20,1.592,58.1088
08/19/20,0,55.8756
08/18/20,1.0431,55.5467
08/17/20,2.1159,55.2776
08/14/20,0.5133,51.5851
08/13/20,0,50.8516
08/12/20,1.5139,50.2101
08/11/20,0,49.0316
08/10/20,0.2523,48.6932
08/07/20,0,48.835
08/06/20,0,49.2284
08/05/20,1.305,50.1102
08/04/20,0,48.7845
08/03/20,0,49.6827
07/31/20,0,50.4277
07/30/20,0,50.1488
07/29/20,0,50.3615
07/28/20,0,49.7514
07/27/20,0,50.1373
07/24/20,0,50.8748
07/23/20,0,49.9192
07/22/20,0,50.4296
07/21/20,0,49.9659
07/20/20,0,49.5391
07/17/20,0,50.4691
07/16/20,0,50.5572
07/15/20,0,51.5584
07/14/20,0,49.8965
07/13/20,0,49.7851
07/10/20,0,50.3447
07/09/20,0,49.8029
07/08/20,0.6563,49.0941
07/07/20,0.5067,46.7433
07/06/20,0,46.0786
07/02/20,0,45.9909
07/01/20,0,46.5329
06/30/20,0,45.9466
06/29/20,0,45.4754
06/26/20,0.734,44.6527
06/25/20,0,44.8846
06/24/20,0.3746,44.8259
06/23/20,0,44.8764
06/22/20,-0.3774,44.7826
06/19/20,0,44.8284
06/18/20,0,45.1443
06/17/20,0,45.5801
06/16/20,0,46.0836
06/15/20,0,46.7429
06/12/20,0,46.6697
06/11/20,0,46.5611
06/10/20,0,46.9899
06/09/20,0,47.0658
06/08/20,0,47.6285
06/05/20,0,47.8327
06/04/20,0,48.3225
06/03/20,0,47.3643
06/02/20,0,47.0993
06/01/20,0,47.5435
05/29/20,0,47.816
05/28/20,0,47.4269
05/27/20,0,46.5944
05/26/20,0,46.8133
05/22/20,0,46.9512
05/21/20,0,47.4421
