Date,FUND_NET_ASSET_VAL,ALL_BROKERS_ADV_TOT_AGGR_VOL
11/27/20,14.3688,22478
11/25/20,14.1878,39793
11/24/20,14.3189,102501
11/23/20,14.3202,46315
11/20/20,14.1724,19117
11/19/20,14.141,46045
11/18/20,14.2312,36998
11/17/20,14.1378,45460
11/16/20,14.0912,67700
11/13/20,13.9611,46769
11/12/20,13.9136,146502
11/11/20,14.1296,43444
11/10/20,14.2141,77387
11/09/20,13.7784,40863
11/06/20,13.7247,47948
11/05/20,13.7379,73139
11/04/20,13.6328,50580
11/03/20,13.4804,23095
11/02/20,13.3596,39752
10/30/20,13.3895,41414
10/29/20,13.3002,133513
10/28/20,13.34,200902
10/27/20,13.7016,60247
10/26/20,13.7594,72622
10/23/20,13.8211,28198
10/22/20,13.8146,58501
10/21/20,13.821,79231
10/20/20,13.7597,68604
10/19/20,13.6686,74955
10/16/20,13.5638,84485
10/15/20,13.572,62333
10/14/20,13.4532,140214
10/13/20,13.4102,183824
10/12/20,13.3322,288591
10/09/20,13.5022,117009
10/08/20,13.2969,75820
10/07/20,13.3846,29574
10/06/20,13.3159,79064
10/05/20,13.1707,50419
10/02/20,13.1651,57235
10/01/20,13.2501,46121
09/30/20,13.1478,535136
09/29/20,12.7386,49700
09/28/20,12.7896,171471
09/25/20,12.7348,92543
09/24/20,12.7059,154679
09/23/20,12.8686,454052
09/22/20,12.905,114002
09/21/20,12.9199,275870
09/18/20,13.1574,186800
09/17/20,13.0334,283609
09/16/20,12.97,77153
09/15/20,12.8255,166330
09/14/20,12.9352,166811
09/11/20,12.9272,136348
09/10/20,12.8382,126095
09/09/20,12.7075,100187
09/08/20,12.7482,138872
09/04/20,12.6461,143251
09/03/20,12.5312,99303
09/02/20,12.6572,52121
09/01/20,12.6157,177558
08/31/20,12.5905,258763
08/28/20,12.6507,159769
08/27/20,12.6546,123514
08/26/20,12.549,143974
08/25/20,12.5638,220797
08/24/20,12.2886,225307
08/21/20,12.1603,162344
08/20/20,12.1388,123798
08/19/20,12.1565,93942
08/18/20,12.2204,332432
08/17/20,12.2872,258550
08/14/20,12.0718,154879
08/13/20,12.0853,452918
08/12/20,11.7286,348692
08/11/20,11.6263,390132
08/10/20,11.6211,189476
08/07/20,11.5615,98646
08/06/20,11.6527,137622
08/05/20,11.6528,84198
08/04/20,11.5567,194966
08/03/20,11.7611,36577
07/31/20,11.7238,84725
07/30/20,11.719,55365
07/29/20,11.7081,55607
07/28/20,11.8013,153487
07/27/20,11.9453,470601
07/24/20,11.9549,23784
07/23/20,11.953,29865
07/22/20,11.9254,49605
07/21/20,11.8084,116998
07/20/20,11.9667,84921
07/17/20,12.0681,113220
07/16/20,12.0052,61576
07/15/20,11.9174,809869
07/14/20,11.907,142796
07/13/20,12.0018,1016183
07/10/20,12.2536,292229
07/09/20,12.6135,48057
07/08/20,12.5362,33266
07/07/20,12.4633,51984
07/06/20,12.5477,52761
07/02/20,12.4669,99738
07/01/20,12.6788,142932
06/30/20,12.4041,376980
06/29/20,11.9987,416641
06/26/20,11.6991,138778
06/25/20,11.7691,397711
06/24/20,11.9556,172449
06/23/20,12.0581,337802
06/22/20,12.2048,866599
06/19/20,12.3127,206371
06/18/20,12.2563,17855
06/17/20,12.2428,5993
06/16/20,12.2404,6043
06/15/20,12.2191,17170
06/12/20,12.2607,60072
06/11/20,12.291,43255
06/10/20,12.2121,21992
06/09/20,12.2799,25199
06/08/20,12.4146,38987
06/05/20,12.3334,57315
06/04/20,12.2589,56478
06/03/20,12.0961,15007
06/02/20,12.0891,11300
06/01/20,12.0158,17635
05/29/20,12.1164,41946
05/28/20,12.1817,58575
05/27/20,11.9855,40348
05/26/20,11.9622,21294
05/22/20,11.9224,6394
05/21/20,11.9474,13454
05/20/20,11.9783,12956
05/19/20,11.984,12005
05/18/20,11.9385,14160
05/15/20,11.9155,15474
05/14/20,11.9062,12686
05/13/20,11.9256,10930
05/12/20,12.0361,28754
05/11/20,11.972,25700
05/08/20,12.0046,14977
05/07/20,11.9531,25778
05/06/20,11.8371,6236
05/05/20,11.9454,31772
05/04/20,11.9154,21652
05/01/20,12.0241,19713
04/30/20,12.0651,28436
04/29/20,11.8967,241216
04/28/20,11.7901,22137
04/27/20,11.7983,43049
04/24/20,12.1127,38527
04/23/20,12.2049,33057
04/22/20,12.1391,58875
04/21/20,11.915,148160
04/20/20,12.1056,37343
04/17/20,12.3554,27670
04/16/20,12.2565,39833
04/15/20,12.3027,21196
04/14/20,12.4731,17285
04/13/20,12.6092,48583
04/09/20,12.6404,36335
04/08/20,12.5947,17895
04/07/20,12.6602,46241
04/06/20,12.5438,33598
04/03/20,12.6522,69772
04/02/20,12.6623,17557
04/01/20,12.6208,29561
03/31/20,12.9461,30169
03/30/20,13.0201,18702
03/27/20,13.1782,31917
03/26/20,13.285,22758
03/25/20,13.2676,24329
03/24/20,13.2041,17358
03/23/20,13.1454,18037
03/20/20,13.1281,19918
03/19/20,13.1617,103107
03/18/20,12.8879,142761
03/17/20,13.1292,36513
03/16/20,13.3678,19187
03/13/20,13.6503,39076
03/12/20,13.6397,64478
03/11/20,13.908,22821
03/10/20,14.0263,86769
03/09/20,13.8605,62470
03/06/20,14.0184,8044
03/05/20,14.1743,7063
03/04/20,14.2675,8123
03/03/20,14.1785,9639
03/02/20,13.9975,11071
02/28/20,13.789,22748
02/27/20,13.7935,27075
02/26/20,13.9998,10478
02/25/20,14.0501,15948
02/24/20,14.0422,23444
02/21/20,14.1944,23921
02/20/20,14.277,53405
02/19/20,14.3698,11844
02/18/20,14.457,41900
02/14/20,14.2724,32154
02/13/20,14.3891,20179
02/12/20,14.4521,25545
02/11/20,14.3784,11750
02/10/20,14.4556,15100
02/07/20,14.5057,19454
02/06/20,14.3535,8350
02/05/20,14.449,7214
02/04/20,14.492,7507
02/03/20,14.3689,7582
01/31/20,14.4299,52388
01/30/20,14.3878,10558
01/29/20,14.5673,32843
01/28/20,14.6603,10255
01/27/20,14.5077,24500
01/24/20,14.6866,15391
01/23/20,14.8894,23263
01/22/20,14.7578,5740
01/21/20,14.7584,12836
01/17/20,14.8176,37698
01/16/20,14.407,53066
01/15/20,14.7959,25679
01/14/20,14.8648,52228
01/13/20,14.8808,20079
01/10/20,14.7738,55245
01/09/20,14.6738,19235
01/08/20,14.7116,20378
01/07/20,14.7059,6593
01/06/20,14.7094,38609
01/03/20,14.7533,32406
01/02/20,14.9222,16960
12/31/19,14.8217,57230
12/30/19,14.8409,68516
12/27/19,14.8816,7350
12/26/19,14.8374,12770
12/24/19,14.8069,6010
12/23/19,14.836,27431
12/20/19,14.7912,45843
12/19/19,14.7555,11274
12/18/19,14.7646,35293
12/17/19,14.861,22674
12/16/19,14.7938,67468
12/13/19,14.569,51111
12/12/19,14.4552,70288
12/11/19,14.235,33545
12/10/19,14.4049,20342
12/09/19,14.346,10396
12/06/19,14.3902,7871
12/05/19,14.3952,33864
12/04/19,14.4612,5831
12/03/19,14.5329,16831
12/02/19,14.5222,22269
11/29/19,14.5017,6598
11/27/19,14.2939,31938
11/26/19,14.4763,32032
11/25/19,14.5649,11871
11/22/19,14.4657,33583
11/21/19,14.4994,10912
11/20/19,14.4656,7784
11/19/19,14.5782,6906
11/18/19,14.4574,20699
11/15/19,14.5735,44128
11/14/19,14.7192,17107
11/13/19,14.6793,35986
11/12/19,14.7796,15130
11/11/19,14.6522,10979
11/08/19,14.8023,18490
11/07/19,14.72,32695
11/06/19,14.8357,9036
11/05/19,14.948,20059
11/04/19,15.0141,22459
11/01/19,15.1524,13667
10/31/19,15.1602,59388
10/30/19,15.1895,24236
10/29/19,15.1088,14130
10/28/19,15.0656,66653
10/25/19,15.1639,10487
10/24/19,15.1847,21903
10/23/19,15.2416,25374
10/22/19,15.2545,17958
10/21/19,15.2419,14733
10/18/19,15.3329,8715
10/17/19,15.4277,14220
10/16/19,15.3253,7983
10/15/19,15.3475,8984
10/14/19,15.4236,14490
10/11/19,15.4369,39463
10/10/19,14.9841,80939
10/09/19,15.3686,27674
10/08/19,15.3914,58171
10/07/19,15.1836,7660
10/04/19,15.1056,13755
10/03/19,15.2129,19183
10/02/19,15.1763,22390
10/01/19,15.3333,59585
09/30/19,15.224,90704
09/27/19,14.7828,6430
09/26/19,14.8278,12970
09/25/19,14.8533,12209
09/24/19,14.8348,23724
09/23/19,14.8097,25615
09/20/19,14.7287,12737
09/19/19,14.8242,41237
09/18/19,14.7901,12831
09/17/19,14.7272,39480
09/16/19,14.9566,58461
09/13/19,14.7993,60413
09/12/19,14.7575,116966
09/11/19,14.5144,26172
09/10/19,14.578,19569
09/09/19,14.325,23103
09/06/19,14.3446,32944
09/05/19,14.4581,15956
09/04/19,14.4613,35789
09/03/19,14.5225,57275
08/30/19,14.7996,31107
08/29/19,14.8267,16983
08/28/19,14.787,34505
08/27/19,14.687,15273
08/26/19,14.7636,18992
08/23/19,14.748,61672
08/22/19,14.8523,39689
08/21/19,14.8332,47507
08/20/19,14.7724,57633
08/19/19,14.9358,37306
08/16/19,15.1353,71553
08/15/19,14.8289,67393
08/14/19,14.8063,101568
08/13/19,15.0401,111846
08/12/19,15.404,194896
08/09/19,16.128,28852
08/08/19,16.139,50900
08/07/19,15.9875,14158
08/06/19,15.9106,10920
08/05/19,16.0624,57407
08/02/19,15.8944,26645
08/01/19,15.6712,108743
07/31/19,15.8889,82713
07/30/19,16.2167,26248
07/29/19,16.3862,21688
07/26/19,16.3072,18203
07/25/19,16.4038,4484
07/24/19,16.4793,14703
07/23/19,16.5051,65107
07/22/19,16.3713,45728
07/19/19,16.6022,23151
07/18/19,16.4344,65348
07/17/19,16.7461,15312
07/16/19,16.7228,48238
07/15/19,16.879,89990
07/12/19,17.2078,40735
07/11/19,16.9041,53257
