Date,FUND_NET_ASSET_VAL,ALL_BROKERS_ADV_TOT_AGGR_VOL
11/27/20,21.7219,12300
11/25/20,21.8085,15516
11/24/20,21.4656,27341
11/23/20,20.5414,39774
11/20/20,20.0828,6803
11/19/20,19.8996,13566
11/18/20,19.9515,28634
11/17/20,19.7837,72113
11/16/20,19.6845,146568
11/13/20,19.3183,17497
11/12/20,19.8628,17990
11/11/20,20.1859,34348
11/10/20,20.4987,62874
11/09/20,19.9258,66187
11/06/20,18.6172,21691
11/05/20,19.1582,48578
11/04/20,19.0247,89376
11/03/20,18.4895,47884
11/02/20,18.0625,35794
10/30/20,17.7233,20878
10/29/20,17.6519,44708
10/28/20,18.2633,38591
10/27/20,19.3828,90593
10/26/20,18.8357,124818
10/23/20,19.3533,39527
10/22/20,19.6662,47027
10/21/20,19.3557,17312
10/20/20,20.1356,13616
10/19/20,19.7238,8945
10/16/20,19.8109,27573
10/15/20,20.0011,78248
10/14/20,20.2914,13322
10/13/20,20.0476,8724
10/12/20,19.9294,84856
10/09/20,20.3966,21164
10/08/20,20.8784,82102
10/07/20,20.3585,21922
10/06/20,20.9385,48803
10/05/20,20.244,69916
10/02/20,19.0483,56157
10/01/20,19.5386,52407
09/30/20,20.034,8933
09/29/20,19.8564,10999
09/28/20,20.5706,17337
09/25/20,20.175,20519
09/24/20,19.8937,42301
09/23/20,19.6329,45263
09/22/20,19.3958,43894
09/21/20,19.576,46377
09/18/20,20.5152,71216
09/17/20,20.3799,66005
09/16/20,19.8327,44817
09/15/20,18.9855,40635
09/14/20,18.4639,59175
09/11/20,18.2665,14072
09/10/20,18.3136,31972
09/09/20,18.6744,35150
09/08/20,18.3994,75264
09/04/20,19.6426,79440
09/03/20,20.1052,51175
09/02/20,20.0573,52966
09/01/20,20.4364,55709
08/31/20,20.2532,37635
08/28/20,20.8019,89461
08/27/20,20.33,228696
08/26/20,21.0847,57255
08/25/20,21.1702,92656
08/24/20,21.0254,68594
08/21/20,20.2457,33592
08/20/20,20.4696,25906
08/19/20,20.505,28383
08/18/20,20.4453,51687
08/17/20,20.2537,35973
08/14/20,19.8496,11903
08/13/20,19.6936,19203
08/12/20,19.8374,21974
08/11/20,19.2108,51889
08/10/20,19.6068,38272
08/07/20,19.2616,15874
08/06/20,19.5889,13825
08/05/20,19.5047,61256
08/04/20,19.3694,27998
08/03/20,19.3506,34605
07/31/20,18.6815,30892
07/30/20,18.9961,133479
07/29/20,19.3537,35696
07/28/20,19.7049,23811
07/27/20,19.8568,28486
07/24/20,20.0381,16726
07/23/20,19.7241,51181
07/22/20,20.1072,25013
07/21/20,20.1092,76053
07/20/20,19.3548,60457
07/17/20,19.2457,30759
07/16/20,19.3937,28084
07/15/20,19.875,29368
07/14/20,19.6066,25602
07/13/20,20.0156,52333
07/10/20,20.169,44263
07/09/20,19.6568,63562
07/08/20,20.2923,69450
07/07/20,20.0425,110888
07/06/20,19.5051,35115
07/02/20,19.7956,117740
07/01/20,19.1309,58974
06/30/20,18.8891,49765
06/29/20,18.674,136998
06/26/20,18.189,77256
06/25/20,18.8228,103131
06/24/20,18.8545,135962
06/23/20,20.4128,52959
06/22/20,20.2888,56247
06/19/20,19.9847,104996
06/18/20,19.7727,72867
06/17/20,19.2131,53316
06/16/20,19.1033,54929
06/15/20,18.4453,90588
06/12/20,17.7908,121817
06/11/20,17.704,231726
06/10/20,19.146,198734
06/09/20,19.1526,122883
06/08/20,18.9108,111721
06/05/20,19.2059,152098
06/04/20,18.1838,53300
06/03/20,17.714,104271
06/02/20,17.6984,100030
06/01/20,16.8819,83729
05/29/20,17.0689,134200
05/28/20,16.2386,116716
05/27/20,16.1074,171524
05/26/20,16.853,160064
05/22/20,16.648,112957
05/21/20,16.8064,119966
05/20/20,16.7164,400785
05/19/20,16.6992,176107
05/18/20,16.503,392089
05/15/20,15.5724,141069
05/14/20,14.6783,156632
05/13/20,13.6862,237769
05/12/20,14.7428,111105
05/11/20,14.8344,263658
05/08/20,15.2845,205996
05/07/20,14.9507,208086
05/06/20,14.0756,190829
05/05/20,14.4673,228063
05/04/20,13.1865,187766
05/01/20,12.3006,109242
04/30/20,12.58,334847
04/29/20,12.1114,406647
04/28/20,11.3009,225929
04/27/20,10.9943,350559
04/24/20,11.2383,145282
04/23/20,10.9494,457580
04/22/20,11.0361,451275
04/21/20,9.1419,765085
04/20/20,11.6463,424639
04/17/20,12.2739,113716
04/16/20,12.1499,208659
04/15/20,12.4134,146186
04/14/20,12.4066,128104
04/13/20,12.1187,149329
04/09/20,11.6707,297170
04/08/20,11.6825,176736
04/07/20,11.1688,251597
04/06/20,12.0889,257197
04/03/20,11.9166,204462
04/02/20,11.4203,509915
04/01/20,9.4159,329794
03/31/20,10.2121,492428
03/30/20,10.6271,294595
03/27/20,10.5719,249308
03/26/20,10.3029,338161
03/25/20,10.4302,336758
03/24/20,8.7957,499834
03/23/20,8.5214,421541
03/20/20,10.8178,128750
03/19/20,11.939,49221
03/18/20,11.1256,51898
03/17/20,12.3821,52271
03/16/20,12.0057,113197
03/13/20,15.6513,74384
03/12/20,15.6211,217390
03/11/20,19.3277,35475
03/10/20,20.142,412298
03/09/20,19.7869,98554
03/06/20,24.1655,30003
03/05/20,26.4723,7804
03/04/20,27.0574,7872
03/03/20,26.6363,10265
03/02/20,26.7798,18050
02/28/20,25.7917,22628
02/27/20,26.4471,18426
02/26/20,27.2091,23107
02/25/20,28.5532,28735
02/24/20,29.7913,961
02/21/20,30.6232,7981
02/20/20,31.0273,3319
02/19/20,30.9815,4157
02/18/20,30.2944,25037
02/14/20,30.0293,3008
02/13/20,29.9699,5814
02/12/20,29.9844,7491
02/11/20,28.7164,5102
02/10/20,28.8506,3188
02/07/20,28.898,17612
02/06/20,28.4054,9293
02/05/20,28.1821,11978
02/04/20,27.3652,12008
02/03/20,27.9427,12513
01/31/20,28.518,5905
01/30/20,28.5439,23295
01/29/20,29.2136,14018
01/28/20,28.7096,4067
01/27/20,28.3042,90294
01/24/20,28.9268,2994
01/23/20,29.8205,4200
01/22/20,30.2072,8066
01/21/20,31.2985,3741
01/17/20,31.3714,2500
01/16/20,31.6422,1201
01/15/20,31.297,15536
01/14/20,31.6329,1800
01/13/20,31.6876,23519
01/10/20,31.7291,114
01/09/20,31.5948,409
01/08/20,31.5193,21564
01/07/20,32.9228,57881
01/06/20,33.538,4440
01/03/20,33.4283,5850
01/02/20,32.574,1540
12/31/19,32.3101,30417
12/30/19,32.9502,8870
12/27/19,33.3436,34164
12/26/19,33.5183,21219
12/24/19,33.0102,14193
12/23/19,32.61,5081
12/20/19,32.6209,6386
12/19/19,32.6678,16341
12/18/19,32.2886,5305
12/17/19,32.2877,3845
12/16/19,31.8464,1663
12/13/19,31.8535,3540
12/12/19,31.1843,4500
12/11/19,31.1414,7676
12/10/19,31.6462,240
12/09/19,31.6894,1000
12/06/19,31.5451,3803
12/05/19,31.0406,540
12/04/19,30.7161,3640
12/03/19,29.9243,4355
12/02/19,30.1226,11489
11/29/19,30.4599,8470
11/27/19,32.0948,3406
11/26/19,32.4981,4755
11/25/19,31.9973,3355
11/22/19,31.9617,13777
11/21/19,32.5069,8087
11/20/19,31.5921,18608
11/19/19,30.5892,1923
11/18/19,30.9274,313
11/15/19,31.2084,1761
11/14/19,30.8412,610
11/13/19,31.2353,#N/A N/A
11/12/19,30.8127,300
11/11/19,30.726,600
11/08/19,31.1776,4168
11/07/19,31.2111,400
11/06/19,31.0328,3138
11/05/19,31.9555,2793
11/04/19,31.7468,3437
11/01/19,31.5915,5500
10/31/19,30.4248,2632
10/30/19,30.8666,5289
10/29/19,31.3197,4100
10/28/19,31.1814,3776
10/25/19,31.2016,5159
10/24/19,31.0156,4640
