Date,FUND_NET_ASSET_VAL,ALL_BROKERS_ADV_TOT_AGGR_VOL
11/27/20,31.2948,1145448
11/25/20,31.3776,2414074
11/24/20,30.8604,3446087
11/23/20,29.6854,1821577
11/20/20,29.2978,1944998
11/19/20,28.9811,1471860
11/18/20,29.0906,1714964
11/17/20,28.8666,1492676
11/16/20,28.8168,2013231
11/13/20,28.1082,1898404
11/12/20,28.788,2505514
11/11/20,29.0108,2272062
11/10/20,28.9324,2668526
11/09/20,28.296,3969803
11/06/20,26.2797,2095515
11/05/20,27.3289,2248977
11/04/20,27.5809,2766071
11/03/20,26.6073,4701252
11/02/20,26.0896,2931109
10/30/20,25.3502,2275794
10/29/20,25.5414,4134088
10/28/20,26.3594,3468697
10/27/20,27.7776,1307168
10/26/20,27.1273,2074395
10/23/20,27.961,1655892
10/22/20,28.4993,1927798
10/21/20,28.0826,1788606
10/20/20,29.196,1653684
10/19/20,28.7756,938290
10/16/20,28.8139,1155928
10/15/20,28.9098,2031449
10/14/20,29.0071,1281823
10/13/20,28.4857,1805968
10/12/20,27.9934,1666137
10/09/20,28.7586,1859119
10/08/20,29.134,3195395
10/07/20,28.3203,2057154
10/06/20,28.7923,2697945
10/05/20,27.8649,3345515
10/02/20,26.3962,3035037
10/01/20,27.5216,2247576
09/30/20,28.4872,1500392
09/29/20,27.8555,2002295
09/28/20,28.7422,1005594
09/25/20,28.4929,1039044
09/24/20,28.5596,1178288
09/23/20,28.2951,1928326
09/22/20,28.2096,1117121
09/21/20,28.0594,2132591
09/18/20,29.2502,1134670
09/17/20,29.2206,1931047
09/16/20,28.704,2576686
09/15/20,27.5399,1502290
09/14/20,26.9016,1414230
09/11/20,26.9591,1266775
09/10/20,26.9895,1861741
09/09/20,27.4816,2114044
09/08/20,26.6877,4799683
09/04/20,28.6727,3445461
09/03/20,29.6986,3284307
09/02/20,29.7671,2511865
09/01/20,30.5701,1377269
08/31/20,30.4225,1282508
08/28/20,30.7109,1075969
08/27/20,30.6906,1437387
08/26/20,30.9647,2793359
08/25/20,30.9302,2146787
08/24/20,30.4739,1431097
08/21/20,30.2308,2342737
08/20/20,30.5614,2807200
08/19/20,30.7561,1280755
08/18/20,30.7898,2934420
08/17/20,30.8049,1500832
08/14/20,30.259,1249172
08/13/20,30.3659,1702035
08/12/20,30.6207,1872886
08/11/20,29.9165,1643108
08/10/20,30.1227,1715733
08/07/20,29.6884,1664944
08/06/20,30.189,1231284
08/05/20,30.2994,3087550
08/04/20,29.9262,2503140
08/03/20,29.5529,1879977
07/31/20,29.0033,1447896
07/30/20,28.7761,2907214
07/29/20,29.6044,860030
07/28/20,29.4109,1189967
07/27/20,29.7393,1956239
07/24/20,29.4919,1468207
07/23/20,29.2804,1670466
07/22/20,29.8203,1273161
07/21/20,29.8105,3179941
07/20/20,29.1963,1049579
07/17/20,29.1011,1211618
07/16/20,29.1853,1316854
07/15/20,29.4863,2163051
07/14/20,28.9393,1443462
07/13/20,28.7772,1904160
07/10/20,29.0949,2153220
07/09/20,28.4792,2285893
07/08/20,29.2369,1571655
07/07/20,28.9888,1773228
07/06/20,29.0064,2437613
07/02/20,29.0123,2111036
07/01/20,28.454,3166744
06/30/20,28.0173,2394839
06/29/20,28.354,1896203
06/26/20,27.5611,2104704
06/25/20,27.778,2490483
06/24/20,27.2842,3921641
06/23/20,28.8105,2527071
06/22/20,29.0374,3315563
06/19/20,28.3919,3563296
06/18/20,27.9608,1801533
06/17/20,27.4253,2175740
06/16/20,27.8151,3057406
06/15/20,27.0312,3240479
06/12/20,26.3437,3264099
06/11/20,26.3477,7304504
06/10/20,28.474,2911619
06/09/20,28.0899,3439625
06/08/20,27.5787,5633593
06/05/20,28.524,4630367
