Business Date,RB-01,RB-02,RB-03,RB-04,RB-05,RB-06,RB-07,RB-08,RB-09,RB-10,RB-11,RB-12,RB-13,RB-14,RB-15,RB-16,RB-17,RB-18,RB-19,RB-20,RB-21,RB-22,RB-23,RB-24,RB-25,RB-26,RB-27,RB-28,RB-29,RB-30,RB-31,RB-32,RB-33,RB-34,RB-35,RB-36,RB-37,RB-38,RB-39,RB-40,RB-41,RB-42,RB-43,RB-44,RB-45,RB-46,RB-47,RB-48,RB-49
2009-01-02,7000,6500,6750,6750,6750,6750,6750,6750,6750,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,,,,,,,,,,,,
2009-01-05,7000,6500,6750,6750,6750,6750,6750,6750,6750,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,,,,,,,,,,,,
2009-01-06,7000,6500,6750,6750,6750,6750,6750,6750,6750,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,,,,,,,,,,,,
2009-01-07,7000,6500,6750,6750,6750,6750,6750,6750,6750,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,,,,,,,,,,,,
2009-01-08,7000,6500,6750,6750,6750,6750,6750,6750,6750,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,,,,,,,,,,,,
2009-01-09,7000,6500,6750,6750,6750,6750,6750,6750,6750,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,,,,,,,,,,,,
2009-01-12,7000,6500,6750,6750,6750,6750,6750,6750,6750,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,,,,,,,,,,,,
2009-01-13,7000,6500,6750,6750,6750,6750,6750,6750,6750,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,,,,,,,,,,,,
2009-01-14,7000,6500,6750,6750,6750,6750,6750,6750,6750,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,,,,,,,,,,,,
2009-01-15,7000,6500,6750,6750,6750,6750,6750,6750,6750,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,,,,,,,,,,,,
