DATE,WEAT_MID,F1(.35),F2(.3),F3(.35),WEAT_NAV,ROLL,W Day Before Roll,W Day After Roll,W Jan,W Feb,W Mar,W April,W May,W June,W July,W Aug,W Sept,W Oct,W Nov,W Dec,W 2012,W 2013,W 2014,W 2015,W 2016,W 2017,W 2018,W2019,W2020,W WASDE,W WASDE + CP,W Grain Stocks,W Prospective Plantings,W Acreage Report,W Cattle on Feed,W Hogs & Pigs,,
7/31/2020,5.41,538.75,545.75,562.25,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/30/2020,5.36,536.00,542.50,559.00,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/29/2020,5.39,538.50,544.25,561.50,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/28/2020,5.32,530.25,537.25,556.75,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/27/2020,5.35,534.75,541.75,560.25,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/24/2020,5.46,545.25,551.00,564.50,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,
7/23/2020,5.35,534.75,540.50,554.00,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/22/2020,5.40,539.75,545.50,560.50,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/21/2020,5.34,533.75,540.00,556.75,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/20/2020,5.29,528.75,535.50,552.25,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/17/2020,5.39,540.50,546.25,560.00,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/16/2020,5.41,540.75,546.50,562.00,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/15/2020,5.52,553.75,558.00,570.00,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/14/2020,5.34,532.75,539.00,555.75,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
7/13/2020,5.31,531.25,537.50,554.75,1.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
